,logFC,logCPM,PValue,QValue
ENSGALG00010027079,0.546272260887232,5.16199805097764,0.0174962633702775,0.280487630106903
ENSGALG00010024234,2.34873400026879,-1.73161119020652,0.0176937118939429,0.282971944599168
ENSGALG00010020733,0.637712160136944,6.41280450825159,0.0180969912720818,0.286603475967004
ENSGALG00010015834,0.599356220787755,7.51801517193382,0.0181144067530564,0.286603475967004
ENSGALG00010005282,1.22684028578534,3.99044748686179,0.0181090976049481,0.286603475967004
ENSGALG00010001185,0.542832031243116,6.2982593250209,0.0182161111702094,0.287870739038589
ENSGALG00010016458,0.57793261325262,6.62066786112897,0.018328662910661,0.289197376930164
ENSGALG00010010698,1.9844393678642,-0.566135533057556,0.0187831638359401,0.294734167988685
ENSGALG00010029492,5.09350990743758,-2.42118701532082,0.0191285926454819,0.296941794713425
ENSGALG00010004369,0.53791871538683,6.24109657867493,0.0192215082674983,0.296941794713425
ENSGALG00010023168,5.09350990743758,-2.42118701532082,0.0191285926454819,0.296941794713425
ENSGALG00010015145,0.594699355672167,8.03109470454819,0.0193247254981446,0.297149807226986
ENSGALG00010010894,0.770831548113152,4.2937790256605,0.0198638943710245,0.303498174930234
ENSGALG00010024954,5.04768933442969,-2.43070370347234,0.020008683685562,0.304635067496065
ENSGALG00010003825,1.51954661403076,-0.0083576389045944,0.0201723433053094,0.306776207207
ENSGALG00010027383,0.744343816098315,8.18179847361081,0.0203496112059109,0.308415836729403
ENSGALG00010028488,2.82831095161356,-1.74249654553338,0.0206244197784594,0.309995842923954
ENSGALG00010025229,0.533017284205394,6.2719835636427,0.0206770352835499,0.309995842923954
ENSGALG00010023028,3.46178295208787,-1.49040440164521,0.020668809346532,0.309995842923954
ENSGALG00010002825,0.517988283026434,6.30859217403167,0.0206656203411057,0.309995842923954
ENSGALG00010000822,0.602069125630924,8.36571249042643,0.0206792480288331,0.309995842923954
ENSGALG00010012956,0.821689840493334,6.87589608003371,0.0207860746306665,0.311137175539033
ENSGALG00010005913,0.74024125833696,8.08299729105346,0.0209181012195011,0.312411372697527
ENSGALG00010027171,1.037162618286,1.93461266914034,0.0211327854346068,0.314208669151598
