,logFC,logCPM,PValue,QValue
ENSGALG00010017557,1.14412146042849,5.92511756447556,0.0034310095896092,0.0195324630553833
ENSGALG00010004553,1.16383755123933,2.68100455510608,0.0034683055747149,0.019678832757746
ENSGALG00010028800,2.64984918621232,-0.815113403695244,0.0034657727359406,0.019678832757746
ENSGALG00010022304,0.955030983249423,4.85877040501153,0.0034670528672309,0.019678832757746
ENSGALG00010010255,1.30739405027734,1.79348449994183,0.0034920530217005,0.0197887858681774
ENSGALG00010021994,5.83198260601576,-2.13559109110015,0.0035037568983053,0.0198385635379463
ENSGALG00010022328,1.89289872845857,1.05496950573785,0.0035180621837727,0.0199029754435005
ENSGALG00010014734,1.15997415223892,2.93423423985386,0.0035326580443685,0.0199696004067907
ENSGALG00010025656,6.0869595375583,-1.98559756763492,0.0035720910298599,0.0201666576671238
ENSGALG00010009013,1.068292715221,3.52065127430753,0.0035966084517248,0.0202797976143108
ENSGALG00010019017,1.084287557178,7.09873209320703,0.0036046903702915,0.0203169379684332
ENSGALG00010011997,1.06243533582506,3.43150987529798,0.0036282100219527,0.0204393707162993
ENSGALG00010028493,0.827266899656048,5.93430274176561,0.0036314580852573,0.0204393707162993
ENSGALG00010002375,6.03378714234993,-1.95615431238052,0.0036355961841917,0.0204487237363334
ENSGALG00010015119,1.19213163667514,5.34128672588778,0.0036381365304224,0.0204545458468807
ENSGALG00010014350,0.837316005620295,6.08267138845,0.0036434863993487,0.0204761524734287
ENSGALG00010009085,0.777980392347774,6.64678133549597,0.0036546208309551,0.0205240714632667
ENSGALG00010005918,3.10296184793921,-1.8316479049741,0.0036723774806813,0.0206129440664928
ENSGALG00010017127,2.66415429871367,-0.740202357686728,0.0036845058970585,0.0206639499113199
ENSGALG00010005003,2.10545950305296,-0.0568439231962287,0.003695491747123,0.020691403935581
ENSGALG00010001838,0.866795106795748,4.1424721507504,0.0036944965093761,0.020691403935581
ENSGALG00010022232,2.21301682367922,-0.702692619116927,0.0037163305741216,0.0207909494325808
ENSGALG00010029456,1.50686963936565,3.92316353061427,0.0037474299271873,0.0209304666175707
ENSGALG00010005668,1.69822902950935,0.3739560849596,0.0037823816905962,0.0210910073014001
ENSGALG00010020806,0.822083925265171,4.75378955903374,0.003812089327632,0.0212131375402097
ENSGALG00010028322,1.17809602593904,2.82258710084567,0.0038237617717345,0.0212606786890756
ENSGALG00010008859,1.51613465131803,2.41709444503448,0.0038552835054201,0.0214009181189357
ENSGALG00010025357,2.31080216997331,0.296414374855345,0.0039119458347078,0.0216977273256508
ENSGALG00010021661,1.77581162560962,1.38167706591973,0.0039242505584593,0.0217393562327373
ENSGALG00010001672,2.25969970427314,-0.89827126615468,0.0039289912917245,0.0217567492515257
ENSGALG00010010770,3.45894733688977,-1.52998887896816,0.0039550775179908,0.0218878339998934
ENSGALG00010017725,1.38163173355775,2.0898538314424,0.0039989044855717,0.0220988666345808
ENSGALG00010011498,1.66971666129691,0.752547373140105,0.0040039432965215,0.0221177176652162
ENSGALG00010016016,1.40465770118685,1.36187015978876,0.0040109431233951,0.0221473815943993
ENSGALG00010011317,0.782239297157722,5.25785131588473,0.004027357587127,0.0222109424721873
ENSGALG00010027898,0.797603017119408,6.57065313860857,0.0040368017668278,0.022253995622484
ENSGALG00010023666,0.972387579315021,6.35027900472753,0.0040615831167547,0.0223543349427219
ENSGALG00010024983,5.94077898702855,-2.02083908176873,0.0040668905029261,0.0223744838235884
ENSGALG00010016966,0.825843786198979,7.34854569756545,0.0040771533362444,0.0224218683473192
ENSGALG00010000659,5.63883967411421,-2.23016349097577,0.0041343909053178,0.0226724124343679
ENSGALG00010004892,5.63883967411421,-2.23016349097577,0.0041343909053178,0.0226724124343679
ENSGALG00010012243,1.22922036983029,2.22136214910397,0.0041482768378425,0.0227393844088107
ENSGALG00010029371,2.38155630635028,-0.992065727209067,0.0041669561766084,0.022823364564261
ENSGALG00010015540,0.785827241659088,6.00720010032022,0.0042446684548439,0.0231556803022377
ENSGALG00010023272,3.04151336263537,-0.747679218970569,0.004314777923011,0.023519260808583
ENSGALG00010003364,1.15004997579522,2.7643381159158,0.0043143837713599,0.023519260808583
ENSGALG00010003582,1.77417698843932,2.37429981452081,0.0043252981170372,0.0235410641556975
ENSGALG00010029671,2.37916463833743,-1.13181489920656,0.0043257073512971,0.0235410641556975
ENSGALG00010008059,0.787198340830609,5.05828126293196,0.0043299914096296,0.0235549452623929
ENSGALG00010029733,2.45958571116347,-1.06766699120541,0.0043337517931555,0.0235659676339298
ENSGALG00010004689,0.877571828771839,5.31898170977435,0.0043621361516662,0.0236803737075223
ENSGALG00010017772,3.09339211991745,-1.83542596896212,0.0044027851304206,0.0238840108332482
ENSGALG00010005414,1.60439265616431,0.448010063142724,0.0044061275378339,0.0238926045936253
ENSGALG00010008444,1.86645398999866,1.28659536036555,0.0044088841059023,0.0238950060820266
ENSGALG00010003372,2.3188459654893,-1.03173356470134,0.0044105652251214,0.0238950060820266
ENSGALG00010014214,1.09304057743252,4.89640469242099,0.0044118456295389,0.0238950060820266
ENSGALG00010007593,0.795053110402123,6.92652978557484,0.0044163215805009,0.0239097187081382
ENSGALG00010027940,0.973517195372013,3.85982959492935,0.0044345304567542,0.0239987392978231
ENSGALG00010015028,1.52164095057844,0.945667550219121,0.0045266715928822,0.0244487044020975
ENSGALG00010016834,0.854451243009918,7.32251259677818,0.0045373094334363,0.0244964234767447
ENSGALG00010027877,0.983435293668328,9.31717560475762,0.0045411200235658,0.0245072597300384
ENSGALG00010000476,0.771952858082893,5.57873498775982,0.0045757927378613,0.0246649930641803
ENSGALG00010026149,0.797901126567914,7.16577719419489,0.0045995498401551,0.024773397850919
ENSGALG00010001277,0.739425289884905,5.71114995111617,0.0046212518588966,0.0248804245287424
ENSGALG00010019173,5.84113424472914,-2.08853566025834,0.0046310441619616,0.0249134042426351
ENSGALG00010022441,0.897600167190328,4.25955595156465,0.0046791173026254,0.0251322233301889
ENSGALG00010011414,0.835311881449686,10.69025689232,0.0046855448737506,0.0251568033541673
ENSGALG00010022425,1.58194355464772,1.77065128894405,0.0046892887426766,0.0251588122934093
ENSGALG00010025204,0.869949644466746,4.82346670927182,0.0047063420462519,0.0252376219681253
ENSGALG00010006033,1.21215853235544,2.46434963436877,0.0047080264691439,0.0252376219681253
ENSGALG00010027135,0.923010333051032,4.20692464550698,0.0047234180100956,0.0252835883471659
ENSGALG00010024258,1.28728113594589,5.5416608923826,0.0047251890280484,0.0252835883471659
