	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_8h	chicken_d_lps_8h
ENSGALG00000015073	927	613	1086	694
ENSGALG00000035804	5544	5570	6164	3822
ENSGALG00000032820	215	83	338	13
ENSGALG00000041226	2749	1787	2633	1373
ENSGALG00000012006	2	2	0	0
ENSGALG00000036443	381	216	473	177
ENSGALG00000011423	553	243	591	221
ENSGALG00000015617	6877	4952	7508	3978
ENSGALG00000015069	173	118	251	153
ENSGALG00000048752	29	13	33	9
ENSGALG00000050568	4	0	5	1
ENSGALG00000005678	27055	24735	16357	7605
ENSGALG00000013365	2372	1914	2248	1264
ENSGALG00000047597	117	32	140	21
ENSGALG00000037220	10	7	4	2
ENSGALG00000014711	532	194	440	198
ENSGALG00000022891	345	199	355	161
ENSGALG00000011426	5715	1546	11537	4917
ENSGALG00000005924	124	83	110	73
ENSGALG00000017158	51	15	55	21
ENSGALG00000004528	14	3	4	1
ENSGALG00000052725	77	57	31	35
ENSGALG00000014182	49	13	57	8
ENSGALG00000021193	959	606	927	557
ENSGALG00000004532	117	96	100	57
ENSGALG00000052504	285	88	325	66
ENSGALG00000050638	6	4	3	0
ENSGALG00000003484	16	4	32	4
ENSGALG00000029276	3909	2167	4002	2092
ENSGALG00000004559	119	66	109	62
ENSGALG00000031312	213	143	295	181
ENSGALG00000007641	1578	1561	1409	824
ENSGALG00000017159	827	406	648	427
ENSGALG00000034253	1107	639	930	375
ENSGALG00000012903	198	102	202	141
ENSGALG00000047192	46	22	36	45
ENSGALG00000041520	762	593	607	452
ENSGALG00000028347	26	15	17	11
ENSGALG00000051142	6	2	5	3
ENSGALG00000011831	42	28	11	14
ENSGALG00000041181	250	168	253	154
ENSGALG00000003570	1612	1025	1850	1013
ENSGALG00000051188	1482	1223	1467	699
ENSGALG00000034413	656	454	474	258
ENSGALG00000048556	25	25	51	12
ENSGALG00000004519	1341	1322	805	403
ENSGALG00000011489	171	78	120	37
ENSGALG00000031274	86	47	84	35
ENSGALG00000049455	3	0	0	2
ENSGALG00000009234	1216	827	1187	825
ENSGALG00000007590	918	512	817	377
ENSGALG00000033428	20	20	24	21
ENSGALG00000007181	286	212	290	153
ENSGALG00000008567	534	416	438	313
ENSGALG00000006399	1000	983	896	452
ENSGALG00000004630	2	1	4	4
ENSGALG00000052156	10	5	6	7
ENSGALG00000035230	2	2	1	0
ENSGALG00000011537	2	3	1	0
ENSGALG00000015603	225	164	196	126
ENSGALG00000004648	1477	847	1621	578
ENSGALG00000011834	149	97	175	99
ENSGALG00000009229	33648	18428	31531	17284
ENSGALG00000054070	101	58	70	0
ENSGALG00000039121	272	148	111	98
ENSGALG00000011450	2	4	6	2
ENSGALG00000043394	2058	1300	1767	1191
ENSGALG00000010259	3	0	3	2
ENSGALG00000050856	12	21	9	8
ENSGALG00000027786	269	87	1886	1236
ENSGALG00000035156	6011	4555	5230	3149
ENSGALG00000006113	1370	809	1375	639
ENSGALG00000009728	1909	1069	1586	732
ENSGALG00000009217	1381	761	987	429
ENSGALG00000004671	261	142	245	142
ENSGALG00000011555	1794	1168	1193	751
ENSGALG00000027822	118	42	756	595
ENSGALG00000000109	151	113	227	175
ENSGALG00000030800	934	782	596	284
ENSGALG00000010699	858	860	786	349
ENSGALG00000026007	409	341	354	194
ENSGALG00000007599	378	306	250	169
ENSGALG00000017163	1621	1070	1640	1028
ENSGALG00000025751	769	722	746	164
ENSGALG00000020805	2568	1344	1977	737
ENSGALG00000007608	150	65	97	64
ENSGALG00000010700	199	132	310	86
ENSGALG00000029072	26	10	22	4
ENSGALG00000006194	180	154	264	150
ENSGALG00000006170	228	139	160	65
ENSGALG00000031120	14667	9938	13993	7261
ENSGALG00000007666	4	1	6	3
ENSGALG00000023189	311	136	406	168
ENSGALG00000052223	699	451	723	261
ENSGALG00000006167	1650	483	1086	281
ENSGALG00000038708	208	107	84	111
ENSGALG00000035239	1697	637	1478	514
ENSGALG00000034527	72	49	92	50
ENSGALG00000032156	308	182	231	155
ENSGALG00000006547	0	3	0	3
ENSGALG00000005701	1419	1352	1252	628
ENSGALG00000006188	200	47	153	59
ENSGALG00000054095	68	16	167	1
ENSGALG00000006543	418	267	498	460
ENSGALG00000014716	1093	788	884	476
ENSGALG00000001812	12	12	4	0
ENSGALG00000007697	6601	7105	4874	2526
ENSGALG00000009205	187	218	131	94
ENSGALG00000008597	1079	791	1246	713
ENSGALG00000003578	1506	2496	751	973
ENSGALG00000021647	5	7	3	0
ENSGALG00000040620	3	4	1	7
ENSGALG00000026276	4	2	3	1
ENSGALG00000004613	978	610	772	256
ENSGALG00000004675	120	90	128	67
ENSGALG00000027902	3605	1925	4870	2544
ENSGALG00000026757	31	17	59	15
ENSGALG00000007646	5	4	3	1
ENSGALG00000053332	483	285	387	246
ENSGALG00000030384	2733	2088	2273	1360
ENSGALG00000029484	518	330	470	221
ENSGALG00000004704	9	3	1	2
ENSGALG00000051043	41	21	45	25
ENSGALG00000038671	5028	4268	5222	3330
ENSGALG00000035029	851	466	782	415
ENSGALG00000044727	3	3	1	0
ENSGALG00000015577	21	2	26	25
ENSGALG00000039791	189	148	192	90
ENSGALG00000052581	23	5	14	14
ENSGALG00000011562	14	10	11	11
ENSGALG00000040956	157	58	135	52
ENSGALG00000032329	354	216	554	524
ENSGALG00000053164	166	149	102	12
ENSGALG00000045074	7	9	5	4
ENSGALG00000026741	149	60	175	96
ENSGALG00000049397	2872	2548	1672	172
ENSGALG00000011571	505	346	418	214
ENSGALG00000014718	1528	892	1170	712
ENSGALG00000007683	726	360	702	326
ENSGALG00000017170	115	66	140	80
ENSGALG00000043209	90	57	47	37
ENSGALG00000028327	5	3	3	3
ENSGALG00000007753	831	745	844	566
ENSGALG00000047687	146	87	148	75
ENSGALG00000011805	431	457	537	417
ENSGALG00000020534	246	136	291	140
ENSGALG00000012898	1078	696	905	622
ENSGALG00000051054	49	41	64	32
ENSGALG00000026492	584	394	609	380
ENSGALG00000012023	7	2	4	2
ENSGALG00000003265	1863	1274	1990	939
ENSGALG00000001792	853	604	892	471
ENSGALG00000034769	1251	620	870	408
ENSGALG00000005789	3365	2252	3408	2199
ENSGALG00000034534	91	79	89	33
ENSGALG00000009939	1411	911	1289	650
ENSGALG00000039861	2695	1953	1778	927
ENSGALG00000053552	314	155	384	209
ENSGALG00000015094	54	31	37	44
ENSGALG00000006201	1612	763	1138	634
ENSGALG00000051980	226	142	92	31
ENSGALG00000006237	1533	1090	1171	830
ENSGALG00000006252	51	14	54	18
ENSGALG00000004814	25	8	15	7
ENSGALG00000035047	240	125	222	108
ENSGALG00000031248	161	89	177	110
ENSGALG00000035913	106	78	113	104
ENSGALG00000031966	119	85	155	69
ENSGALG00000037483	2559	1952	2637	1743
ENSGALG00000012658	2373	1372	1766	584
ENSGALG00000008127	9483	5738	11232	5710
ENSGALG00000004839	806	620	643	363
ENSGALG00000006482	3	3	5	0
ENSGALG00000017171	437	271	519	190
ENSGALG00000028423	199	93	166	86
ENSGALG00000024378	482	253	467	229
ENSGALG00000010718	429	362	138	67
ENSGALG00000053063	575	476	666	403
ENSGALG00000052703	8	0	2	0
ENSGALG00000016350	41	33	44	32
ENSGALG00000007820	547	388	481	326
ENSGALG00000008609	1970	1368	1891	1324
ENSGALG00000035561	1366	540	1016	349
ENSGALG00000004378	642	554	513	378
ENSGALG00000042073	150	55	92	51
ENSGALG00000006261	427	214	416	284
ENSGALG00000037485	1355	834	1241	789
ENSGALG00000042521	118	43	97	36
ENSGALG00000051771	132	91	82	52
ENSGALG00000015551	4	2	4	0
ENSGALG00000053464	102	66	85	45
ENSGALG00000006284	1380	885	1321	668
ENSGALG00000033997	138	36	65	38
ENSGALG00000007750	1414	922	1076	645
ENSGALG00000014727	4669	2848	2624	716
ENSGALG00000035254	3505	1990	2639	1353
ENSGALG00000015123	214	228	170	81
ENSGALG00000052532	96	25	76	61
ENSGALG00000032029	1524	1314	1508	776
ENSGALG00000026449	393	274	339	173
ENSGALG00000007237	1474	986	1839	815
ENSGALG00000034510	1435	1016	1355	942
ENSGALG00000004293	25	55	87	14
ENSGALG00000012659	676	368	711	413
ENSGALG00000003812	1005	686	1034	558
ENSGALG00000004660	7	4	8	1
ENSGALG00000046708	4	3	12	4
ENSGALG00000006471	28	3	42	2
ENSGALG00000044431	57	18	74	30
ENSGALG00000040434	15	18	28	16
ENSGALG00000026311	533	153	288	128
ENSGALG00000020002	171	152	130	32
ENSGALG00000001616	31	7	36	4
ENSGALG00000033157	70	33	50	21
ENSGALG00000046568	5	5	0	0
ENSGALG00000010722	61	67	14	0
ENSGALG00000042810	1957	921	427	53
ENSGALG00000053779	14	2	7	3
ENSGALG00000055056	9	5	10	13
ENSGALG00000012039	2714	1990	3063	1687
ENSGALG00000009929	3	2	3	0
ENSGALG00000003408	474	316	433	241
ENSGALG00000002042	790	486	825	316
ENSGALG00000001486	1343	694	1244	614
ENSGALG00000046863	46	38	28	12
ENSGALG00000049072	743	352	602	264
ENSGALG00000032365	1633	1090	1343	617
ENSGALG00000007286	1077	950	1018	572
ENSGALG00000007800	69	35	41	45
ENSGALG00000036678	5	4	1	1
ENSGALG00000039571	1	2	3	3
ENSGALG00000002119	1883	1002	1771	790
ENSGALG00000036076	528	252	543	251
ENSGALG00000008701	1100	520	644	952
ENSGALG00000032335	324	73	3377	2692
ENSGALG00000011875	2304	2731	1295	617
ENSGALG00000007843	4968	3850	5306	1920
ENSGALG00000006804	21	11	18	7
ENSGALG00000011579	10	13	0	8
ENSGALG00000055118	28	0	35	7
ENSGALG00000033957	1355	1067	1156	746
ENSGALG00000016739	6132	3939	3878	2615
ENSGALG00000026302	1552	960	1518	823
ENSGALG00000012041	794	460	867	610
ENSGALG00000035203	2251	1686	2549	1794
ENSGALG00000007861	1734	732	1611	910
ENSGALG00000031021	81	44	83	23
ENSGALG00000010770	5261	1146	2121	319
ENSGALG00000011880	1522	1907	1046	544
ENSGALG00000032031	3	0	2	0
ENSGALG00000006534	17	7	4	9
ENSGALG00000012691	27	54	32	11
ENSGALG00000011621	8703	5168	6028	3563
ENSGALG00000006267	172	134	207	48
ENSGALG00000033857	188	102	150	97
ENSGALG00000005909	1102	1276	868	325
ENSGALG00000054902	48	32	41	20
ENSGALG00000016359	477	271	393	142
ENSGALG00000017179	2	2	2	0
ENSGALG00000052421	71	30	34	12
ENSGALG00000035879	29	28	20	7
ENSGALG00000048448	32	22	31	15
ENSGALG00000040759	346	126	267	197
ENSGALG00000007300	122	89	167	111
ENSGALG00000007902	652	456	448	365
ENSGALG00000054106	1101	1054	1215	693
ENSGALG00000023709	70	21	106	22
ENSGALG00000023612	197	116	183	102
ENSGALG00000011884	507	315	467	303
ENSGALG00000041560	27	3	7	6
ENSGALG00000014719	265	371	262	179
ENSGALG00000000812	10349	5607	13109	5948
ENSGALG00000017627	447	333	427	308
ENSGALG00000012697	228	126	230	48
ENSGALG00000004180	1292	819	1259	717
ENSGALG00000046704	745	646	719	464
ENSGALG00000014730	102	6	95	15
ENSGALG00000048991	14	0	16	2
ENSGALG00000034988	276	190	221	175
ENSGALG00000001652	1754	1303	1715	833
ENSGALG00000036346	60	62	34	38
ENSGALG00000052768	587	284	372	112
ENSGALG00000011833	271	162	281	183
ENSGALG00000038604	1076	729	1101	684
ENSGALG00000008658	428	421	387	176
ENSGALG00000012085	87	140	98	45
ENSGALG00000003313	1128	1086	1149	647
ENSGALG00000004165	1217	958	1304	761
ENSGALG00000030095	196	77	190	94
ENSGALG00000027757	708	263	749	382
ENSGALG00000004691	133	75	146	99
ENSGALG00000005931	560	333	551	298
ENSGALG00000003337	2061	1672	2316	1357
ENSGALG00000049209	36	14	9	17
ENSGALG00000008025	754	606	497	311
ENSGALG00000055094	7916	7346	11386	6379
ENSGALG00000031527	28	1	14	3
ENSGALG00000012916	381	253	304	222
ENSGALG00000052401	2	1	1	2
ENSGALG00000006426	5296	3278	3923	2630
ENSGALG00000008797	361	114	304	84
ENSGALG00000047323	372	144	414	223
ENSGALG00000001279	779	625	615	354
ENSGALG00000053095	444	260	341	272
ENSGALG00000016362	8	5	2	1
ENSGALG00000014732	230	103	232	94
ENSGALG00000033683	67	77	54	56
ENSGALG00000046727	2034	1268	2585	700
ENSGALG00000043015	3	9	0	0
ENSGALG00000034806	16	4	14	6
ENSGALG00000043257	20	0	9	4
ENSGALG00000012098	632	274	538	200
ENSGALG00000050335	32	7	36	0
ENSGALG00000048125	796	486	727	150
ENSGALG00000004935	4097	2621	3371	1526
ENSGALG00000012101	1388	977	1522	758
ENSGALG00000030342	1916	1906	1761	935
ENSGALG00000008211	4167	2761	4147	2795
ENSGALG00000007976	15	6	3	0
ENSGALG00000008821	535	363	554	339
ENSGALG00000016363	1016	483	1059	550
ENSGALG00000001688	9340	6026	9283	5293
ENSGALG00000045136	359	182	360	229
ENSGALG00000035345	1991	2018	1865	1125
ENSGALG00000008661	4828	4881	5564	1335
ENSGALG00000046649	137	82	124	53
ENSGALG00000008218	567	458	725	382
ENSGALG00000052976	861	391	730	327
ENSGALG00000008836	29852	11421	24824	10319
ENSGALG00000037200	107	68	76	55
ENSGALG00000053365	1236	792	928	804
ENSGALG00000049811	1814	923	1722	604
ENSGALG00000051178	14	4	11	16
ENSGALG00000014734	414	324	298	171
ENSGALG00000021529	2632	3815	2502	1349
ENSGALG00000041193	605	336	545	221
ENSGALG00000032984	253	329	176	92
ENSGALG00000016364	0	0	2	2
ENSGALG00000001309	447	339	488	282
ENSGALG00000037686	306	148	246	162
ENSGALG00000041182	196	116	91	57
ENSGALG00000028744	147	42	153	44
ENSGALG00000001925	275	184	297	156
ENSGALG00000001330	1258	863	1360	1030
ENSGALG00000054033	4	5	4	3
ENSGALG00000007364	838	644	721	319
ENSGALG00000004052	1487	826	1164	635
ENSGALG00000051372	66	33	56	56
ENSGALG00000017145	984	866	984	389
ENSGALG00000010803	35	68	36	18
ENSGALG00000044760	8	0	6	0
ENSGALG00000012526	2980	1916	2940	1287
ENSGALG00000008231	600	619	541	246
ENSGALG00000004943	219	139	249	124
ENSGALG00000027540	1808	1344	1670	861
ENSGALG00000013369	2170	1459	1949	1348
ENSGALG00000039538	869	415	779	467
ENSGALG00000039595	186	73	284	128
ENSGALG00000037166	120	77	207	30
ENSGALG00000001030	2194	1618	2138	1276
ENSGALG00000008725	884	488	750	337
ENSGALG00000015660	318	233	260	166
ENSGALG00000009752	2317	1417	1913	656
ENSGALG00000032803	85	52	113	46
ENSGALG00000020528	778	267	786	333
ENSGALG00000037828	172	139	258	244
ENSGALG00000047526	5	7	8	5
ENSGALG00000017181	484	253	487	238
ENSGALG00000008709	1699	1344	1513	864
ENSGALG00000048759	1553	1424	1612	1099
ENSGALG00000014589	2525	2215	2752	1855
ENSGALG00000012124	60	30	117	239
ENSGALG00000046915	2715	1600	2338	1111
ENSGALG00000015136	29	27	24	25
ENSGALG00000050026	972	673	1025	650
ENSGALG00000008076	602	216	278	249
ENSGALG00000004956	5560	3741	6284	3687
ENSGALG00000052411	38	42	33	13
ENSGALG00000008086	3921	2638	3345	1637
ENSGALG00000005999	2416	2039	1869	1096
ENSGALG00000006392	578	422	498	221
ENSGALG00000004793	160	106	148	19
ENSGALG00000041953	2930	2495	2924	1908
ENSGALG00000008953	42	11	22	10
ENSGALG00000053304	33	19	40	31
ENSGALG00000042577	2	1	4	3
ENSGALG00000026999	611	369	659	322
ENSGALG00000016769	882	594	680	291
ENSGALG00000033884	32068	25032	29246	17263
ENSGALG00000008722	1906	1280	1208	548
ENSGALG00000052784	23	12	24	21
ENSGALG00000012710	6	5	7	2
ENSGALG00000011962	18	16	34	3
ENSGALG00000004799	237	177	234	156
ENSGALG00000001043	1584	1328	1507	807
ENSGALG00000032740	2	0	2	1
ENSGALG00000010809	2183	1225	2111	1054
ENSGALG00000004817	1735	1148	1605	1062
ENSGALG00000006385	603	402	320	261
ENSGALG00000042503	1177	655	1191	696
ENSGALG00000019063	1	3	7	0
ENSGALG00000032644	1643	1341	1825	1030
ENSGALG00000003899	719	600	700	249
ENSGALG00000011967	109	50	114	37
ENSGALG00000001084	93	92	51	39
ENSGALG00000042122	2696	1450	2255	1249
ENSGALG00000044851	47	21	56	22
ENSGALG00000015152	19	14	11	7
ENSGALG00000023689	7465	2701	11263	6640
ENSGALG00000006522	4	1	11	4
ENSGALG00000033567	123	106	123	88
ENSGALG00000040480	591	415	718	374
ENSGALG00000040890	2	0	2	0
ENSGALG00000015172	5	11	2	2
ENSGALG00000036466	4	1	7	3
ENSGALG00000016772	832	617	863	509
ENSGALG00000008092	594	270	563	180
ENSGALG00000011974	1972	1065	2058	1281
ENSGALG00000003420	75	48	66	61
ENSGALG00000032974	0	3	2	1
ENSGALG00000011625	783	590	780	483
ENSGALG00000036785	2626	2093	2099	1228
ENSGALG00000002239	276	234	266	131
ENSGALG00000016774	2	0	5	12
ENSGALG00000034742	70	43	345	175
ENSGALG00000006568	1135	889	1090	630
ENSGALG00000040716	50	41	41	0
ENSGALG00000006586	319	242	199	113
ENSGALG00000014743	5	3	4	1
ENSGALG00000040120	1435	817	1311	692
ENSGALG00000034316	1539	588	1146	490
ENSGALG00000017553	533	325	518	294
ENSGALG00000032980	1	2	2	1
ENSGALG00000027389	4	3	1	0
ENSGALG00000011982	11	7	8	3
ENSGALG00000039535	336	230	285	163
ENSGALG00000006857	940	754	833	597
ENSGALG00000006317	1156	895	1015	581
ENSGALG00000003904	7	3	3	0
ENSGALG00000041659	27	33	47	9
ENSGALG00000003517	704	493	776	407
ENSGALG00000008282	663	462	616	324
ENSGALG00000025999	989	827	1116	571
ENSGALG00000023279	56	29	55	53
ENSGALG00000015620	110	51	105	57
ENSGALG00000041522	4	17	11	1
ENSGALG00000036642	570	373	528	300
ENSGALG00000042679	22	20	27	5
ENSGALG00000021025	50	22	275	367
ENSGALG00000014747	278	176	270	151
ENSGALG00000004900	2	1	2	4
ENSGALG00000007661	275	145	244	100
ENSGALG00000008247	1595	1144	1489	923
ENSGALG00000025796	571	366	654	479
ENSGALG00000006056	100	86	114	113
ENSGALG00000012543	1423	970	1238	583
ENSGALG00000040068	998	514	973	767
ENSGALG00000017184	540	315	812	1
ENSGALG00000019768	306	185	342	206
ENSGALG00000003941	1059	625	1022	504
ENSGALG00000027240	646	454	602	188
ENSGALG00000002273	436	292	394	214
ENSGALG00000039099	147	77	95	50
ENSGALG00000016776	127	132	193	152
ENSGALG00000041010	1945	1434	1736	704
ENSGALG00000014753	33	12	50	8
ENSGALG00000037171	572	368	552	355
ENSGALG00000016392	5952	4370	6390	3031
ENSGALG00000043435	12	20	11	2
ENSGALG00000029571	524	166	634	289
ENSGALG00000053792	298	63	470	13
ENSGALG00000006298	2418	1949	1554	1206
ENSGALG00000016775	3824	2918	4087	2449
ENSGALG00000007673	704	343	833	405
ENSGALG00000008255	26	21	26	28
ENSGALG00000008780	783	341	683	348
ENSGALG00000006097	8207	5173	5051	4747
ENSGALG00000008287	314	203	390	232
ENSGALG00000035057	1969	1360	1669	1203
ENSGALG00000050002	13	15	11	0
ENSGALG00000006750	188	121	192	132
ENSGALG00000041337	1162	379	1172	468
ENSGALG00000006777	658	516	773	472
ENSGALG00000008784	10	7	6	5
ENSGALG00000032181	15	34	3	5
ENSGALG00000054642	124	92	98	56
ENSGALG00000027561	2751	1803	3029	1745
ENSGALG00000023576	688	548	804	481
ENSGALG00000006630	556	444	560	310
ENSGALG00000010836	396	296	466	146
ENSGALG00000006782	417	281	460	278
ENSGALG00000015677	3717	3157	3316	1290
ENSGALG00000007676	95	51	118	43
ENSGALG00000011673	199	228	142	48
ENSGALG00000053417	97	81	59	29
ENSGALG00000051950	51	16	52	11
ENSGALG00000035853	239	158	238	133
ENSGALG00000053374	104	129	68	50
ENSGALG00000008326	16	7	5	8
ENSGALG00000003539	186	105	168	112
ENSGALG00000014765	337	298	236	119
ENSGALG00000040947	14	9	30	11
ENSGALG00000051549	62	39	47	7
ENSGALG00000040784	1490	720	1112	573
ENSGALG00000054615	14	8	23	1
ENSGALG00000046955	14	10	14	15
ENSGALG00000015197	904	404	707	286
ENSGALG00000028982	1945	2024	1650	389
ENSGALG00000020575	282	96	199	45
ENSGALG00000053283	26	11	31	0
ENSGALG00000041461	173	86	114	43
