	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_24h	chicken_d_lps_24h
ENSGALG00000007750	1414	922	1025	954
ENSGALG00000014727	4669	2848	1280	424
ENSGALG00000035254	3505	1990	1830	1141
ENSGALG00000028236	1	2	3	4
ENSGALG00000015123	214	228	82	69
ENSGALG00000052532	96	25	73	86
ENSGALG00000032029	1524	1314	1332	718
ENSGALG00000026449	393	274	287	354
ENSGALG00000007237	1474	986	1931	1188
ENSGALG00000034510	1435	1016	1363	1145
ENSGALG00000004293	25	55	54	2
ENSGALG00000012659	676	368	731	685
ENSGALG00000003812	1005	686	1064	836
ENSGALG00000004660	7	4	1	4
ENSGALG00000046708	4	3	5	1
ENSGALG00000006471	28	3	18	12
ENSGALG00000044431	57	18	85	63
ENSGALG00000040434	15	18	21	33
ENSGALG00000026311	533	153	311	373
ENSGALG00000020002	171	152	254	27
ENSGALG00000001616	31	7	233	186
ENSGALG00000033157	70	33	42	30
ENSGALG00000046568	5	5	1	0
ENSGALG00000010722	61	67	7	0
ENSGALG00000042810	1957	921	1714	314
ENSGALG00000053779	14	2	16	1
ENSGALG00000055056	9	5	8	11
ENSGALG00000012039	2714	1990	2856	2386
ENSGALG00000009929	3	2	1	2
ENSGALG00000003408	474	316	304	201
ENSGALG00000002042	790	486	1254	564
ENSGALG00000001486	1343	694	805	439
ENSGALG00000046863	46	38	62	20
ENSGALG00000049072	743	352	526	366
ENSGALG00000032365	1633	1090	1171	668
ENSGALG00000007286	1077	950	884	475
ENSGALG00000007800	69	35	54	61
ENSGALG00000036678	5	4	12	2
ENSGALG00000039571	1	2	3	0
ENSGALG00000002119	1883	1002	1739	1333
ENSGALG00000036076	528	252	513	370
ENSGALG00000008701	1100	520	707	1411
ENSGALG00000032335	324	73	3166	3475
ENSGALG00000011875	2304	2731	565	344
ENSGALG00000007843	4968	3850	4634	2723
ENSGALG00000006804	21	11	15	8
ENSGALG00000011579	10	13	7	0
ENSGALG00000055118	28	0	52	20
ENSGALG00000033957	1355	1067	1149	786
ENSGALG00000016739	6132	3939	3079	2626
ENSGALG00000026302	1552	960	1432	1135
ENSGALG00000012041	794	460	919	905
ENSGALG00000035203	2251	1686	2630	2137
ENSGALG00000007861	1734	732	1479	1717
ENSGALG00000031021	81	44	86	73
ENSGALG00000010770	5261	1146	7197	473
ENSGALG00000011880	1522	1907	505	371
ENSGALG00000006534	17	7	6	4
ENSGALG00000012691	27	54	36	4
ENSGALG00000011621	8703	5168	6363	5845
ENSGALG00000006267	172	134	1038	836
ENSGALG00000033857	188	102	133	118
ENSGALG00000005909	1102	1276	334	182
ENSGALG00000054902	48	32	38	20
ENSGALG00000016359	477	271	378	273
ENSGALG00000017179	2	2	0	0
ENSGALG00000052421	71	30	38	17
ENSGALG00000035879	29	28	59	9
ENSGALG00000048448	32	22	21	13
ENSGALG00000040759	346	126	233	159
ENSGALG00000007300	122	89	129	78
ENSGALG00000007902	652	456	337	408
ENSGALG00000054106	1101	1054	1135	963
ENSGALG00000023709	70	21	48	21
ENSGALG00000023612	197	116	165	108
ENSGALG00000011884	507	315	371	345
ENSGALG00000041560	27	3	3	2
ENSGALG00000014719	265	371	178	137
ENSGALG00000000812	10349	5607	19172	12515
ENSGALG00000017627	447	333	404	227
ENSGALG00000012697	228	126	173	77
ENSGALG00000004180	1292	819	1213	1107
ENSGALG00000046704	745	646	746	523
ENSGALG00000014730	102	6	177	24
ENSGALG00000048991	14	0	10	0
ENSGALG00000034988	276	190	187	168
ENSGALG00000001652	1754	1303	2173	1346
ENSGALG00000036346	60	62	12	23
ENSGALG00000052768	587	284	512	214
ENSGALG00000011833	271	162	228	229
ENSGALG00000038604	1076	729	1096	793
ENSGALG00000008658	428	421	288	259
ENSGALG00000012085	87	140	116	76
ENSGALG00000003313	1128	1086	696	437
ENSGALG00000004165	1217	958	1199	956
ENSGALG00000030095	196	77	198	162
ENSGALG00000027757	708	263	446	567
ENSGALG00000004691	133	75	128	103
ENSGALG00000005931	560	333	733	510
ENSGALG00000003337	2061	1672	2268	1892
ENSGALG00000016356	0	0	5	4
ENSGALG00000049209	36	14	9	13
ENSGALG00000008025	754	606	361	324
ENSGALG00000055094	7916	7346	11268	9391
ENSGALG00000031527	28	1	14	5
ENSGALG00000012916	381	253	340	300
ENSGALG00000052401	2	1	3	0
ENSGALG00000006426	5296	3278	3457	2673
ENSGALG00000008797	361	114	343	217
ENSGALG00000047323	372	144	441	375
ENSGALG00000001279	779	625	605	532
ENSGALG00000053095	444	260	399	351
ENSGALG00000016362	8	5	8	1
ENSGALG00000014732	230	103	173	88
ENSGALG00000033683	67	77	78	78
ENSGALG00000046727	2034	1268	1312	623
ENSGALG00000043015	3	9	1	3
ENSGALG00000034806	16	4	25	38
ENSGALG00000043257	20	0	16	3
ENSGALG00000012098	632	274	495	322
ENSGALG00000050335	32	7	17	1
ENSGALG00000048125	796	486	433	126
ENSGALG00000004935	4097	2621	3009	2047
ENSGALG00000012101	1388	977	1694	1108
ENSGALG00000030342	1916	1906	1325	961
ENSGALG00000008211	4167	2761	4070	4297
ENSGALG00000007976	15	6	8	1
ENSGALG00000008821	535	363	658	484
ENSGALG00000016363	1016	483	1068	749
ENSGALG00000001688	9340	6026	7505	5630
ENSGALG00000045136	359	182	260	219
ENSGALG00000035345	1991	2018	2142	1638
ENSGALG00000008661	4828	4881	1537	629
ENSGALG00000046649	137	82	96	48
ENSGALG00000008218	567	458	516	450
ENSGALG00000052976	861	391	627	397
ENSGALG00000008836	29852	11421	30741	19455
ENSGALG00000037200	107	68	162	153
ENSGALG00000053365	1236	792	643	589
ENSGALG00000049811	1814	923	1595	906
ENSGALG00000051178	14	4	8	7
ENSGALG00000014734	414	324	349	215
ENSGALG00000021529	2632	3815	1273	713
ENSGALG00000041193	605	336	471	277
ENSGALG00000032984	253	329	155	101
ENSGALG00000001309	447	339	465	403
ENSGALG00000037686	306	148	208	185
ENSGALG00000041182	196	116	49	32
ENSGALG00000028744	147	42	162	91
ENSGALG00000001925	275	184	203	182
ENSGALG00000001330	1258	863	1440	1452
ENSGALG00000054033	4	5	2	4
ENSGALG00000007364	838	644	497	365
ENSGALG00000004052	1487	826	1139	998
ENSGALG00000051372	66	33	57	45
ENSGALG00000017145	984	866	693	459
ENSGALG00000010803	35	68	19	9
ENSGALG00000044760	8	0	4	0
ENSGALG00000012526	2980	1916	2779	1963
ENSGALG00000008231	600	619	682	363
ENSGALG00000004943	219	139	212	145
ENSGALG00000027540	1808	1344	1258	752
ENSGALG00000013369	2170	1459	1738	1408
ENSGALG00000039538	869	415	820	713
ENSGALG00000039595	186	73	235	104
ENSGALG00000037166	120	77	710	106
ENSGALG00000001030	2194	1618	2349	1949
ENSGALG00000008725	884	488	788	590
ENSGALG00000015660	318	233	310	272
ENSGALG00000016370	0	2	2	0
ENSGALG00000009752	2317	1417	1985	1361
ENSGALG00000032803	85	52	111	72
ENSGALG00000020528	778	267	722	688
ENSGALG00000037828	172	139	269	392
ENSGALG00000047526	5	7	9	4
ENSGALG00000017181	484	253	561	359
ENSGALG00000008709	1699	1344	945	1424
ENSGALG00000048759	1553	1424	1533	1115
ENSGALG00000014589	2525	2215	2528	2095
ENSGALG00000012124	60	30	91	258
ENSGALG00000046915	2715	1600	1979	1180
ENSGALG00000015136	29	27	31	26
ENSGALG00000050026	972	673	1352	948
ENSGALG00000008076	602	216	348	310
ENSGALG00000004956	5560	3741	8311	5019
ENSGALG00000052411	38	42	20	9
ENSGALG00000008086	3921	2638	3871	2552
ENSGALG00000005999	2416	2039	1767	1273
ENSGALG00000053648	0	3	3	0
ENSGALG00000006392	578	422	533	361
ENSGALG00000004793	160	106	156	42
ENSGALG00000041953	2930	2495	2391	1858
ENSGALG00000008953	42	11	25	10
ENSGALG00000053304	33	19	47	23
ENSGALG00000042577	2	1	1	5
ENSGALG00000026999	611	369	659	538
ENSGALG00000016769	882	594	675	428
ENSGALG00000033884	32068	25032	25545	20127
ENSGALG00000008722	1906	1280	1966	1885
ENSGALG00000052784	23	12	34	36
ENSGALG00000012710	6	5	3	2
ENSGALG00000011962	18	16	15	4
ENSGALG00000004799	237	177	327	188
ENSGALG00000001043	1584	1328	1329	937
ENSGALG00000010809	2183	1225	2324	1754
ENSGALG00000004817	1735	1148	1868	1455
ENSGALG00000006385	603	402	261	272
ENSGALG00000042503	1177	655	1080	719
ENSGALG00000032644	1643	1341	1483	1099
ENSGALG00000003899	719	600	1386	1205
ENSGALG00000011967	109	50	389	317
ENSGALG00000001084	93	92	40	42
ENSGALG00000042122	2696	1450	2412	1368
ENSGALG00000044851	47	21	54	32
ENSGALG00000015152	19	14	20	32
ENSGALG00000023689	7465	2701	11656	15765
ENSGALG00000006522	4	1	4	10
ENSGALG00000033567	123	106	94	81
ENSGALG00000040480	591	415	1056	619
ENSGALG00000040890	2	0	2	1
ENSGALG00000015172	5	11	1	1
ENSGALG00000036466	4	1	5	2
ENSGALG00000016772	832	617	834	693
ENSGALG00000008092	594	270	530	259
ENSGALG00000011974	1972	1065	2035	1752
ENSGALG00000003420	75	48	53	60
ENSGALG00000032974	0	3	10	6
ENSGALG00000011625	783	590	808	573
ENSGALG00000036785	2626	2093	1922	1178
ENSGALG00000002239	276	234	226	179
ENSGALG00000016774	2	0	8	14
ENSGALG00000034742	70	43	654	585
ENSGALG00000006568	1135	889	1002	856
ENSGALG00000040716	50	41	129	27
ENSGALG00000006586	319	242	144	143
ENSGALG00000014743	5	3	2	4
ENSGALG00000040120	1435	817	651	396
ENSGALG00000034316	1539	588	1167	851
ENSGALG00000017553	533	325	486	326
ENSGALG00000032980	1	2	0	3
ENSGALG00000027389	4	3	14	0
ENSGALG00000011982	11	7	14	16
ENSGALG00000039535	336	230	269	249
ENSGALG00000006857	940	754	643	507
ENSGALG00000006317	1156	895	849	713
ENSGALG00000003904	7	3	1	0
ENSGALG00000041659	27	33	23	10
ENSGALG00000003517	704	493	709	491
ENSGALG00000008282	663	462	669	458
ENSGALG00000025999	989	827	1164	751
ENSGALG00000023279	56	29	74	26
ENSGALG00000015620	110	51	107	97
ENSGALG00000041522	4	17	2	3
ENSGALG00000036642	570	373	466	356
ENSGALG00000042679	22	20	51	34
ENSGALG00000021025	50	22	72	148
ENSGALG00000014747	278	176	232	228
ENSGALG00000004900	2	1	2	1
ENSGALG00000007661	275	145	223	109
ENSGALG00000008247	1595	1144	1332	1019
ENSGALG00000025796	571	366	653	814
ENSGALG00000006056	100	86	109	153
ENSGALG00000012543	1423	970	1420	910
ENSGALG00000040068	998	514	905	909
ENSGALG00000017184	540	315	4241	464
ENSGALG00000019768	306	185	531	578
ENSGALG00000003941	1059	625	970	607
ENSGALG00000027240	646	454	255	92
ENSGALG00000002273	436	292	334	237
ENSGALG00000039099	147	77	92	82
ENSGALG00000016776	127	132	249	493
ENSGALG00000041010	1945	1434	876	530
ENSGALG00000014753	33	12	157	122
ENSGALG00000037171	572	368	641	425
ENSGALG00000016392	5952	4370	4894	3388
ENSGALG00000043435	12	20	16	6
ENSGALG00000029571	524	166	551	564
ENSGALG00000053792	298	63	1080	39
ENSGALG00000006298	2418	1949	2058	1619
ENSGALG00000016775	3824	2918	3586	2573
ENSGALG00000007673	704	343	794	514
ENSGALG00000008255	26	21	32	30
ENSGALG00000008780	783	341	870	755
ENSGALG00000006097	8207	5173	10257	9643
ENSGALG00000008287	314	203	515	396
ENSGALG00000035057	1969	1360	1435	1371
ENSGALG00000050002	13	15	3	1
ENSGALG00000006750	188	121	197	189
ENSGALG00000041337	1162	379	1250	728
ENSGALG00000006777	658	516	806	656
ENSGALG00000008784	10	7	8	8
ENSGALG00000032181	15	34	25	9
ENSGALG00000054642	124	92	52	18
ENSGALG00000027561	2751	1803	2769	2527
ENSGALG00000023576	688	548	882	600
ENSGALG00000006630	556	444	490	485
ENSGALG00000010836	396	296	618	233
ENSGALG00000006782	417	281	485	331
ENSGALG00000015677	3717	3157	3437	2736
ENSGALG00000007676	95	51	127	94
ENSGALG00000011673	199	228	146	44
ENSGALG00000053417	97	81	37	39
ENSGALG00000051950	51	16	55	1
ENSGALG00000035853	239	158	189	242
ENSGALG00000053374	104	129	49	27
ENSGALG00000008326	16	7	7	12
ENSGALG00000003539	186	105	137	99
ENSGALG00000014765	337	298	147	82
ENSGALG00000040947	14	9	18	25
ENSGALG00000051549	62	39	16	7
ENSGALG00000040784	1490	720	770	455
ENSGALG00000054615	14	8	38	2
ENSGALG00000046955	14	10	27	24
ENSGALG00000015197	904	404	703	714
ENSGALG00000028982	1945	2024	503	191
ENSGALG00000020575	282	96	147	42
ENSGALG00000053283	26	11	53	6
ENSGALG00000041461	173	86	45	15
