	chicken_a_control_1	chicken_a_control_2	chicken_a_pic_4h	chicken_d_pic_4h
ENSGALG00000048991	14	0	9	15
ENSGALG00000034988	276	190	228	208
ENSGALG00000001652	1754	1303	1281	861
ENSGALG00000036346	60	62	64	57
ENSGALG00000052049	0	0	3	21
ENSGALG00000052768	587	284	299	259
ENSGALG00000011833	271	162	125	105
ENSGALG00000038604	1076	729	552	374
ENSGALG00000008658	428	421	322	252
ENSGALG00000012085	87	140	91	51
ENSGALG00000003313	1128	1086	1991	837
ENSGALG00000004165	1217	958	1888	1201
ENSGALG00000030095	196	77	72	68
ENSGALG00000027757	708	263	334	371
ENSGALG00000004691	133	75	63	41
ENSGALG00000005931	560	333	287	255
ENSGALG00000003337	2061	1672	1513	914
ENSGALG00000049209	36	14	21	24
ENSGALG00000008025	754	606	1161	1198
ENSGALG00000055094	7916	7346	7332	3525
ENSGALG00000031527	28	1	10	7
ENSGALG00000012916	381	253	228	133
ENSGALG00000052401	2	1	1	5
ENSGALG00000006426	5296	3278	2185	1509
ENSGALG00000008797	361	114	277	166
ENSGALG00000047323	372	144	190	111
ENSGALG00000001279	779	625	355	269
ENSGALG00000053095	444	260	197	141
ENSGALG00000016362	8	5	4	5
ENSGALG00000014732	230	103	160	158
ENSGALG00000033683	67	77	50	130
ENSGALG00000046727	2034	1268	5703	2590
ENSGALG00000043015	3	9	274	251
ENSGALG00000034806	16	4	138	69
ENSGALG00000043257	20	0	19446	8689
ENSGALG00000012098	632	274	386	429
ENSGALG00000050335	32	7	101	115
ENSGALG00000048125	796	486	1447	782
ENSGALG00000004935	4097	2621	3010	3110
ENSGALG00000012101	1388	977	1304	843
ENSGALG00000031205	0	0	7	3
ENSGALG00000030342	1916	1906	2129	1564
ENSGALG00000008211	4167	2761	2496	1470
ENSGALG00000007976	15	6	5	12
ENSGALG00000008821	535	363	298	218
ENSGALG00000016363	1016	483	676	353
ENSGALG00000001688	9340	6026	6538	3936
ENSGALG00000045136	359	182	168	157
ENSGALG00000035345	1991	2018	2127	1707
ENSGALG00000008661	4828	4881	23251	14200
ENSGALG00000046649	137	82	254	233
ENSGALG00000008218	567	458	392	310
ENSGALG00000052976	861	391	722	383
ENSGALG00000008836	29852	11421	12233	5943
ENSGALG00000037200	107	68	71	58
ENSGALG00000053365	1236	792	946	828
ENSGALG00000049811	1814	923	1005	670
ENSGALG00000051178	14	4	8	21
ENSGALG00000014734	414	324	380	340
ENSGALG00000021529	2632	3815	1708	2156
ENSGALG00000041193	605	336	439	355
ENSGALG00000032984	253	329	73	77
ENSGALG00000001309	447	339	328	224
ENSGALG00000037686	306	148	2368	2051
ENSGALG00000041182	196	116	334	265
ENSGALG00000028744	147	42	87	56
ENSGALG00000001925	275	184	151	151
ENSGALG00000001330	1258	863	632	461
ENSGALG00000054033	4	5	14	11
ENSGALG00000007364	838	644	844	616
ENSGALG00000004052	1487	826	832	733
ENSGALG00000051372	66	33	35	43
ENSGALG00000017145	984	866	994	912
ENSGALG00000010803	35	68	51	50
ENSGALG00000044760	8	0	6	0
ENSGALG00000012526	2980	1916	2663	2060
ENSGALG00000008231	600	619	571	259
ENSGALG00000004943	219	139	209	187
ENSGALG00000027540	1808	1344	1910	1450
ENSGALG00000013369	2170	1459	1034	830
ENSGALG00000054732	1	0	59	42
ENSGALG00000039538	869	415	473	327
ENSGALG00000039595	186	73	262	81
ENSGALG00000037166	120	77	1710	862
ENSGALG00000001030	2194	1618	671	446
ENSGALG00000008725	884	488	1347	857
ENSGALG00000015660	318	233	130	84
ENSGALG00000009752	2317	1417	1133	740
ENSGALG00000032803	85	52	521	245
ENSGALG00000020528	778	267	221	198
ENSGALG00000037828	172	139	73	41
ENSGALG00000047526	5	7	7	4
ENSGALG00000017181	484	253	298	269
ENSGALG00000008709	1699	1344	687	756
ENSGALG00000048759	1553	1424	1292	984
ENSGALG00000014589	2525	2215	1789	1210
ENSGALG00000012124	60	30	44	74
ENSGALG00000033154	1	0	30	122
ENSGALG00000046915	2715	1600	2214	2043
ENSGALG00000015136	29	27	26	12
ENSGALG00000050026	972	673	569	228
ENSGALG00000008076	602	216	172	143
ENSGALG00000004956	5560	3741	2486	1384
ENSGALG00000052411	38	42	48	39
ENSGALG00000008086	3921	2638	2094	1477
ENSGALG00000005999	2416	2039	1758	1531
ENSGALG00000053648	0	3	7	4
ENSGALG00000006392	578	422	470	401
ENSGALG00000004793	160	106	52	23
ENSGALG00000041953	2930	2495	2296	1920
ENSGALG00000008953	42	11	92	54
ENSGALG00000053304	33	19	16	22
ENSGALG00000042577	2	1	4	1
ENSGALG00000026999	611	369	395	234
ENSGALG00000016769	882	594	485	467
ENSGALG00000033884	32068	25032	23508	18277
ENSGALG00000008722	1906	1280	1399	711
ENSGALG00000052784	23	12	6	5
ENSGALG00000012710	6	5	28	12
ENSGALG00000011962	18	16	95	25
ENSGALG00000004799	237	177	174	148
ENSGALG00000001043	1584	1328	1400	1016
ENSGALG00000032740	2	0	3	5
ENSGALG00000010809	2183	1225	1134	678
ENSGALG00000004817	1735	1148	910	614
ENSGALG00000006385	603	402	558	347
ENSGALG00000042503	1177	655	600	579
ENSGALG00000019063	1	3	424	475
ENSGALG00000032644	1643	1341	1629	1373
ENSGALG00000003899	719	600	171	23
ENSGALG00000011967	109	50	84	76
ENSGALG00000001084	93	92	82	99
ENSGALG00000042122	2696	1450	1329	1204
ENSGALG00000044851	47	21	56	36
ENSGALG00000015152	19	14	11	8
ENSGALG00000023689	7465	2701	13194	7508
ENSGALG00000006522	4	1	29	10
ENSGALG00000033567	123	106	95	60
ENSGALG00000040480	591	415	342	246
ENSGALG00000040890	2	0	0	2
ENSGALG00000015172	5	11	4	3
ENSGALG00000036466	4	1	4	7
ENSGALG00000016772	832	617	363	205
ENSGALG00000008092	594	270	347	399
ENSGALG00000011974	1972	1065	1249	987
ENSGALG00000003420	75	48	83	65
ENSGALG00000026297	0	0	9	11
ENSGALG00000011625	783	590	415	275
ENSGALG00000036785	2626	2093	2016	1673
ENSGALG00000002239	276	234	173	193
ENSGALG00000016774	2	0	109	101
ENSGALG00000034742	70	43	160	21
ENSGALG00000006568	1135	889	668	419
ENSGALG00000040716	50	41	13	0
ENSGALG00000006586	319	242	242	227
ENSGALG00000014743	5	3	0	1
ENSGALG00000040120	1435	817	3711	3834
ENSGALG00000034316	1539	588	933	1078
ENSGALG00000017553	533	325	290	210
ENSGALG00000032980	1	2	9	10
ENSGALG00000027389	4	3	0	0
ENSGALG00000011982	11	7	4	7
ENSGALG00000039535	336	230	679	511
ENSGALG00000006857	940	754	787	878
ENSGALG00000006317	1156	895	951	955
ENSGALG00000003904	7	3	1	0
ENSGALG00000041659	27	33	29	20
ENSGALG00000003517	704	493	531	459
ENSGALG00000008282	663	462	587	464
ENSGALG00000025999	989	827	580	321
ENSGALG00000023279	56	29	54	145
ENSGALG00000015620	110	51	73	50
ENSGALG00000041522	4	17	7	2
ENSGALG00000036642	570	373	255	221
ENSGALG00000042679	22	20	7	16
ENSGALG00000021025	50	22	50	17
ENSGALG00000014747	278	176	157	100
ENSGALG00000007661	275	145	202	185
ENSGALG00000008247	1595	1144	1047	779
ENSGALG00000025796	571	366	277	302
ENSGALG00000006056	100	86	71	70
ENSGALG00000001863	1	4	5	1
ENSGALG00000012543	1423	970	816	819
ENSGALG00000040068	998	514	446	350
ENSGALG00000017184	540	315	731	23
ENSGALG00000019768	306	185	258	194
ENSGALG00000003941	1059	625	620	440
ENSGALG00000027240	646	454	303	333
ENSGALG00000002273	436	292	275	199
ENSGALG00000049891	0	3	0	3
ENSGALG00000039099	147	77	149	120
ENSGALG00000016776	127	132	314	183
ENSGALG00000041010	1945	1434	5500	5011
ENSGALG00000014753	33	12	9	14
ENSGALG00000037171	572	368	347	230
ENSGALG00000016392	5952	4370	6406	3437
ENSGALG00000043435	12	20	1	6
ENSGALG00000029571	524	166	145	193
ENSGALG00000053792	298	63	380	12
ENSGALG00000006298	2418	1949	574	361
ENSGALG00000016775	3824	2918	4051	1841
ENSGALG00000007673	704	343	327	252
ENSGALG00000008255	26	21	6	8
ENSGALG00000008780	783	341	317	203
ENSGALG00000006097	8207	5173	5441	2672
ENSGALG00000008287	314	203	159	84
ENSGALG00000035057	1969	1360	587	493
ENSGALG00000050002	13	15	32	12
ENSGALG00000006750	188	121	111	100
ENSGALG00000041337	1162	379	329	282
ENSGALG00000006777	658	516	320	234
ENSGALG00000008784	10	7	4	27
ENSGALG00000032181	15	34	5	6
ENSGALG00000054642	124	92	181	152
ENSGALG00000027561	2751	1803	1390	1145
ENSGALG00000023576	688	548	1559	1517
ENSGALG00000006630	556	444	285	218
ENSGALG00000010836	396	296	251	205
ENSGALG00000006782	417	281	252	172
