,gene_ids,n_cells,MT,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts
ENSGALG00010027377,ENSGALG00010027377,3,False,3,0.00015024791,99.98497520909501,3.0
ASS1,ENSGALG00010027383,352,False,352,0.049631894,98.23709120048079,991.0
URM1,ENSGALG00010027388,1938,False,1938,0.12941353,90.29398507537437,2584.0
SLC27A4,ENSGALG00010027394,235,False,235,0.013372064,98.82305804577553,267.0
MAPKAP1,ENSGALG00010027399,757,False,757,0.04161867,96.2087444283067,831.0
PBX3,ENSGALG00010027414,649,False,649,0.036460157,96.74963690088646,728.0
UBAC1,ENSGALG00010027427,835,False,835,0.048930734,95.81809986477688,977.0
CAMSAP1,ENSGALG00010027450,642,False,642,0.040316522,96.78469474633144,805.0
KCNT1,ENSGALG00010027497,11,False,11,0.00060099165,99.94490910001502,12.0
B3GALT4_1,ENSGALG00010027521,3,False,3,0.00015024791,99.98497520909501,3.0
PSMD5,ENSGALG00010027522,1196,False,1196,0.07762808,94.0101166925427,1550.0
CUTA,ENSGALG00010027525,23,False,23,0.0013021486,99.88480993639504,26.0
PHF19,ENSGALG00010027530,224,False,224,0.012520659,98.8781489457605,250.0
DDR2_2,ENSGALG00010027539,108,False,108,0.0060099163,99.45910752742024,120.0
TUBB4B,ENSGALG00010027543,1423,False,1423,0.08559123,92.87324084739821,1709.0
ENTPD2_1,ENSGALG00010027559,164,False,164,0.011468924,99.17864476386036,229.0
NELFB,ENSGALG00010027568,858,False,858,0.04858016,95.70290980117193,970.0
GLUL_2,ENSGALG00010027578,1002,False,1002,0.07357139,94.98171983773226,1469.0
GLE1,ENSGALG00010027583,551,False,551,0.030149747,97.24044673711624,602.0
PRDM12,ENSGALG00010027588,8,False,8,0.00045074374,99.95993389092001,9.0
EXOSC2,ENSGALG00010027597,460,False,460,0.026694044,97.69619872790103,533.0
ABL1,ENSGALG00010027607,403,False,403,0.021134872,97.98166975509591,422.0
PPP1R26,ENSGALG00010027618,830,False,830,0.05438974,95.84314118295187,1086.0
C9ORF116,ENSGALG00010027628,24,False,24,0.0012520659,99.87980167276005,25.0
MRPS2,ENSGALG00010027638,749,False,749,0.045925777,96.24881053738669,917.0
FAM69B,ENSGALG00010027642,5,False,5,0.00025041317,99.97495868182502,5.0
AIF1L,ENSGALG00010027654,304,False,304,0.03495768,98.47748785496069,698.0
TRAF1,ENSGALG00010027665,520,False,520,0.02924826,97.39570290980117,584.0
CNTRL,ENSGALG00010027672,3245,False,3245,0.27991185,83.74818450443232,5589.0
RAB14,ENSGALG00010027693,2447,False,2447,0.16166675,87.74477888516051,3228.0
GSN,ENSGALG00010027706,2771,False,2771,0.17924576,86.12210146742125,3579.0
STOM,ENSGALG00010027712,1340,False,1340,0.082936846,93.28892672910301,1656.0
ENSGALG00010027716,ENSGALG00010027716,3,False,3,0.00015024791,99.98497520909501,3.0
DAB2IP,ENSGALG00010027720,6470,False,6470,0.5701908,67.59653428156457,11385.0
TTLL11,ENSGALG00010027724,120,False,120,0.006610908,99.39900836380026,132.0
OLFML2A,ENSGALG00010027731,340,False,340,0.019031402,98.29719036410076,380.0
RPL35,ENSGALG00010027733,10520,False,10520,1.4794911,47.31306655982371,29541.0
SCAI,ENSGALG00010027752,995,False,995,0.060850404,95.01677768317724,1215.0
MVB12B,ENSGALG00010027775,1182,False,1182,0.06711073,94.08023238343266,1340.0
UAP1L1,ENSGALG00010027789,218,False,218,0.015074873,98.90819852757049,301.0
SAPCD2,ENSGALG00010027803,51,False,51,0.0026042971,99.74457855461512,52.0
ZMYND19,ENSGALG00010027816,325,False,325,0.017729253,98.37231431862573,354.0
DPH7,ENSGALG00010027822,624,False,624,0.03510793,96.87484349176141,701.0
PNPLA7,ENSGALG00010027861,218,False,218,0.01176942,98.90819852757049,235.0
NSMF,ENSGALG00010027869,80,False,80,0.0048580156,99.59933890920018,97.0
ANAPC2,ENSGALG00010027876,626,False,626,0.035658836,96.86482696449141,712.0
SSNA1_2,ENSGALG00010027881,119,False,119,0.00646066,99.40401662743527,129.0
