lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
MAPK7_2,3.100023508,0.782176152,1,0.00661157,0.001468429,no
VWA5B2,2.36079073,0.782354072,1,0.00661157,0.001468429,VWA5B2
ANGPT2_1,2.456356049,0.782376313,1,0.00661157,0.001468429,no
NFKBID,1.881510258,0.782509762,1,0.00661157,0.001468429,NFKBID
CLGN,2.095508337,0.782554246,1,0.00661157,0.001468429,CLGN
GLS_2,0.084317029,0.782643217,1,0.203305785,0.201174743,no
MAP3K4,0.367260128,0.782910146,1,0.090358127,0.087616251,MAP3K4
SOWAHB,1.033063054,0.78311036,1,0.014876033,0.009789525,SOWAHB
PITPNB_3,0.62237519,0.784089389,1,0.022589532,0.017621145,no
AGO1,0.527226567,0.784111644,1,0.052892562,0.04845815,AGO1
SLC6A16,0.842438757,0.784523387,1,0.018732782,0.013705335,no
TNFAIP6,1.04502666,0.784668067,1,0.01046832,0.005384239,TNFAIP6
PPP1R16B,3.512361288,0.784801625,1,0.006060606,0.000978953,PPP1R16B
RUNX3,1.456546903,0.784912929,1,0.014325069,0.009300049,RUNX3
FAM26F_1,1.403869867,0.785091023,1,0.006060606,0.000978953,no
CSNK2B,0.152059123,0.785291392,1,0.167493113,0.166911405,CSNK2B
ENSVKKG00000016718,0.223644152,0.78538045,1,0.07107438,0.066568771,no
FOSL2,0.209891245,0.785502909,1,0.107438017,0.10474792,FOSL2
AP5Z1,0.260551602,0.785914855,1,0.089807163,0.086147822,AP5Z1
SUDS3,0.048355531,0.785981663,1,0.529476584,0.548702888,SUDS3
DCUN1D1,0.005500193,0.786215502,1,0.126721763,0.121879589,DCUN1D1
GIPC1,0.760165691,0.786337997,1,0.014325069,0.009300049,GIPC1
NFAM1,1.291916847,0.786816892,1,0.009917355,0.004894763,NFAM1
TRUB1,0.282182157,0.787384989,1,0.031404959,0.026431718,TRUB1
ENSVKKG00000000513,4.846334934,0.787407269,1,0.005509642,0.000489476,no
TIMM17B,0.366264522,0.78744069,1,0.044077135,0.039158101,TIMM17B
ARHGEF18,0.813265562,0.787774924,1,0.009917355,0.004894763,ARHGEF18
PNISR,0.168226361,0.788320923,1,0.360330579,0.373959863,PNISR
MALSU1,0.149206415,0.789279458,1,0.055096419,0.050416055,MALSU1
CDK16,0.51730293,0.789346345,1,0.025895317,0.021047479,CDK16
GTF3A_2,1.489035368,0.789502419,1,0.009366391,0.004405286,no
SDCCAG8,0.434319228,0.78958046,1,0.038567493,0.033773862,SDCCAG8
DKK1,22.13791084,0.790059897,1,0.004958678,0,DKK1
MMP13_2,21.74831009,0.790059897,1,0.004958678,0,no
SEMA3F,21.95360374,0.790059897,1,0.004958678,0,SEMA3F
ANKFY1,0.21396862,0.790082198,1,0.092561983,0.088595203,ANKFY1
WWP2,0.395632476,0.790639788,1,0.049035813,0.04454234,WWP2
FGFR1OP2,0.274758935,0.790740165,1,0.101928375,0.099363681,FGFR1OP2
SUMO3_2,0.01220779,0.791554466,1,0.679338843,0.685266765,no
RAB4B,1.586568475,0.79178876,1,0.008815427,0.00391581,no
TMEM41B,0.148195207,0.791866862,1,0.212672176,0.215859031,TMEM41B
C17ORF104,1.648932695,0.791944966,1,0.008815427,0.00391581,no
FZR1,0.500527203,0.792168131,1,0.03415978,0.029368576,FZR1
TUBA1A_3,1.390782118,0.792302039,1,0.008815427,0.00391581,no
MMP9,-0.25045529,0.792625674,1,0.269421488,0.255506608,MMP9
POMK,0.328597605,0.792670317,1,0.037465565,0.032794909,POMK
