lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
ARHGEF5,0.507434845,0.00230069,0.023257166,0.32231405,0.284385707,ARHGEF5
SESN2,0.609940052,0.002364459,0.023824809,0.202203857,0.149779736,SESN2
ZDHHC14,1.645006895,0.002374824,0.023916417,0.093663912,0.038179148,ZDHHC14
FAM120A,0.335996985,0.002438598,0.024453715,0.45785124,0.437591777,FAM120A
MAML2,2.971822739,0.002487571,0.024891622,0.065564738,0.009300049,MAML2
UBE2B,0.392012298,0.002528242,0.025244763,0.354269972,0.319138522,UBE2B
COG3,0.562275767,0.002657344,0.02639347,0.28815427,0.250611845,COG3
CTDSP2,2.766134501,0.002721801,0.026976584,0.068319559,0.012726383,CTDSP2
EIF3A,0.192938328,0.002792048,0.027614503,0.775206612,0.759667156,EIF3A
DIMT1,0.922540069,0.002798274,0.027661511,0.12892562,0.074889868,DIMT1
SERINC5,0.861866534,0.002824243,0.027888843,0.170798898,0.120900636,SERINC5
PLAA,0.515967846,0.002846927,0.028083296,0.276033058,0.235438081,PLAA
TSR1,0.479061246,0.002876569,0.028345911,0.298071625,0.261380323,TSR1
BRD2,0.266900867,0.002882423,0.028388687,0.653443526,0.645619187,BRD2
RBM3,0.011471683,0.00297967,0.029178075,0.910192837,0.926578561,RBM3
LIN7C,0.575537205,0.003089759,0.030083485,0.220936639,0.175232501,LIN7C
MTMR6,0.583189249,0.003103869,0.0302052,0.236914601,0.190895742,MTMR6
IKBKE,1.314169288,0.00311716,0.030287434,0.116253444,0.063631914,IKBKE
TGM1,0.445284188,0.00325523,0.031550282,0.398898072,0.377875673,TGM1
ING3,0.853465557,0.003262392,0.031594467,0.166942149,0.117474302,ING3
TTLL12,0.707320929,0.003295184,0.03183592,0.256198347,0.218795888,TTLL12
POLR1B,1.151724696,0.003383681,0.032657309,0.117906336,0.065100343,POLR1B
TRMT10C,0.682430863,0.003429056,0.033078231,0.236363636,0.195790504,TRMT10C
CD80,0.423395097,0.00344441,0.033192233,0.273278237,0.226138032,CD80
BTF3L4,0.284956545,0.003450826,0.033237,0.384573003,0.348017621,BTF3L4
SLC4A7,0.417668492,0.003491499,0.033577055,0.370247934,0.34165443,SLC4A7
PNRC2,0.937032104,0.003526543,0.033846278,0.139393939,0.088595203,PNRC2
PRRC2A,0.331122398,0.003528509,0.033846278,0.4,0.372491434,PRRC2A
RNPS1,0.54367882,0.003545419,0.033973769,0.225344353,0.179148311,RNPS1
SGPL1,0.756196856,0.003633775,0.034749477,0.173002755,0.122858541,SGPL1
SF3B4,0.237795696,0.003764937,0.035930555,0.541046832,0.536465981,SF3B4
POLR3E,0.806210697,0.003780432,0.036060098,0.190633609,0.144395497,POLR3E
TMEM127,0.760850966,0.00384565,0.036533675,0.156473829,0.105237396,TMEM127
DDX26B,0.613564134,0.003851323,0.03656906,0.202754821,0.153695546,DDX26B
KLHL11,0.525717318,0.003988857,0.037722329,0.29476584,0.259422418,KLHL11
RUVBL2,0.62960434,0.004037288,0.038103552,0.244077135,0.205580029,RUVBL2
RIOK2,0.404994458,0.004094121,0.038601121,0.364738292,0.336270191,RIOK2
