lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
EIF4A3,0.548315704,1.02066e-07,2.29735e-06,0.425895317,0.355849241,EIF4A3,-0.089531131,0.096477221,0.735635211,0.246933187,0.254473484,EIF4A3
MARK3,0.548056781,1.53335e-07,3.34698e-06,0.478236915,0.426333823,MARK3,-0.06321796,0.873046209,1.0,0.137020811,0.13669884,MARK3
PPRC1,0.547629893,0.00086543,0.009792563,0.300275482,0.255996084,PPRC1,-0.127239987,0.614294513,1.0,0.032365827,0.035408307,PPRC1
CETN3,0.547604978,1.51175e-12,5.83922e-11,0.619283747,0.575624082,CETN3,-0.06458772,0.419652516,1.0,0.087404162,0.092397788,CETN3
CTSH,0.545296788,1.60209e-21,1.23256e-19,0.82369146,0.753303965,CTSH,-0.254170835,2.5027e-08,7.65376e-07,0.268455641,0.2980154,CTSH
EBNA1BP2,0.544256568,1.98481e-11,7.07001e-10,0.517906336,0.443954968,EBNA1BP2,-0.145224944,0.126623556,0.894951323,0.08543264,0.094620974,EBNA1BP2
GLIPR2,0.544212937,9.88601e-16,5.02927e-14,0.68815427,0.640234949,GLIPR2,0.086671948,0.109022268,0.807047839,0.242004381,0.233271879,GLIPR2
LTV1,0.543855846,1.60719e-07,3.49597e-06,0.423140496,0.366128243,LTV1,-0.1018802,0.319335924,1.0,0.061445783,0.067617395,LTV1
RNPS1,0.54367882,0.003545419,0.033973769,0.225344353,0.179148311,RNPS1,-0.011491904,0.996405175,1.0,0.366484118,0.36129487,RNPS1
RAE1,0.542575181,0.000711869,0.008188242,0.271625344,0.220264317,RAE1,0.012654135,0.570251868,1.0,0.097645126,0.093753389,RAE1
HIF1A,0.538643777,3.06962e-07,6.38835e-06,0.444077135,0.389623103,HIF1A,0.58986485,1.27622e-71,2.67128e-69,0.449233297,0.364819434,HIF1A
SLC13A3,0.534142911,3.96962e-08,9.65256e-07,0.425344353,0.342143906,SLC13A3,-0.708730936,0.951017591,1.0,0.000985761,0.001355601,SLC13A3
SIRT7,0.533635557,0.002013556,0.020668206,0.2815427,0.239843368,SIRT7,-0.141758293,0.07591683,0.614858805,0.122124863,0.132523587,SIRT7
YY1,0.53114903,6.50197e-05,0.000918397,0.377410468,0.330885952,YY1,-0.141270489,0.000776941,0.012239337,0.292552026,0.31005314,YY1
PTPRJ,0.527971625,9.92348e-05,0.00135184,0.352066116,0.299559471,PTPRJ,0.028478405,0.262304268,1.0,0.268784228,0.259841666,PTPRJ
DUSP1,0.526823103,9.48558e-08,2.15052e-06,0.574655647,0.529123837,DUSP1,0.290543228,0.013836645,0.153024064,0.089047097,0.074395402,DUSP1
KLHL11,0.525717318,0.003988857,0.037722329,0.29476584,0.259422418,KLHL11,-0.130833343,0.477973377,1.0,0.053614458,0.057802841,KLHL11
SUZ12,0.521104276,0.005148925,0.04651377,0.267768595,0.226627509,SUZ12,-0.010338582,0.981502299,1.0,0.26407448,0.262010628,SUZ12
CHD9,0.5206545,0.000897246,0.010115975,0.324517906,0.279490945,CHD9,-0.02046207,0.694069303,1.0,0.18592552,0.181542132,CHD9
DDX5,0.519587159,7.729550000000001e-32,1.0514400000000001e-29,0.926721763,0.885462555,DDX5,0.02139912,0.483371982,1.0,0.901369113,0.892690598,DDX5
PSMA2,0.519071996,7.3572900000000005e-28,8.02971e-26,0.799449036,0.773861968,PSMA2,0.216402993,5.31755e-15,2.58154e-13,0.48762322,0.437045874,PSMA2
PA2G4,0.51886642,3.71216e-06,6.56783e-05,0.426446281,0.380323054,PA2G4,-0.211230814,2.41445e-09,8.11688e-08,0.320317634,0.353649279,PA2G4
NPEPPS,0.518762708,3.08694e-05,0.000465447,0.32892562,0.261869799,NPEPPS,0.222051769,0.008506061,0.100143283,0.121193866,0.105411561,NPEPPS
PTPN2,0.51664865,1.49394e-13,6.34484e-12,0.600550964,0.539402839,PTPN2,0.526330173,4.00053e-59,7.34947e-57,0.419222344,0.328760438,PTPN2
PLAA,0.515967846,0.002846927,0.028083296,0.276033058,0.235438081,PLAA,-0.026671225,0.772038324,1.0,0.055805038,0.053844485,PLAA
HEATR5B,0.51545167,1.51071e-11,5.43278e-10,0.592286501,0.525208027,HEATR5B,-0.066971891,0.520521849,1.0,0.0550931,0.059049995,HEATR5B
PPIG,0.514902532,2.98352e-09,8.3096e-08,0.590082645,0.562408223,PPIG,-0.083530739,0.050393422,0.446666579,0.330887185,0.340255938,PPIG
NAIP,0.514151812,0.001516859,0.016151146,0.322865014,0.284385707,NAIP,,,,,,
ARF1,0.513680279,2.84005e-35,4.29946e-33,0.845179063,0.808125306,ARF1,-0.038249657,0.541735254,1.0,0.351204819,0.345515671,ARF1
COPS8,0.512891233,1.75954e-07,3.82293e-06,0.43415978,0.374938815,COPS8,-0.036664024,0.805602831,1.0,0.10230011,0.103567943,COPS8
PPDPF,0.511911213,3.7189200000000004e-23,3.11659e-21,0.846831956,0.806656877,PPDPF,-0.288996935,3.25905e-25,2.7376e-23,0.492332968,0.537468821,PPDPF
TCF3,0.511808693,0.004161184,0.039201225,0.276033058,0.235927558,TCF3,-0.006058697,0.926920322,1.0,0.075739321,0.074937642,TCF3
RAB22A,0.510816932,0.000835056,0.009483162,0.302479339,0.259911894,RAB22A,0.017757833,0.512181165,1.0,0.169550931,0.164841124,RAB22A
ARHGEF5,0.507434845,0.00230069,0.023257166,0.32231405,0.284385707,ARHGEF5,0.0,1.0,1.0,0.0,0.0,ARHGEF5
