pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
DTX1,0.009034378,0.983036496,1,0.013954548,0.013827134,DTX1
DZIP1,0.241355047,0.98316802,1,0.001537848,0.001409825,DZIP1
LOC107511386,1.291030407,0.983265955,1,0.000398701,0.00027112,no
LOC118612915,2.366127968,0.983269193,1,0.000398701,0.00027112,no
LOC118608178,1.185476303,0.983270812,1,0.000398701,0.00027112,no
SYN3,0.721095741,0.983274049,1,0.000398701,0.00027112,SYN3
LOC118601160,0.711047769,0.983275668,1,0.000398701,0.00027112,no
ICA1L,0.966393054,0.983277287,1,0.000398701,0.00027112,no
LOC118602861,0.60043031,0.983277287,1,0.000398701,0.00027112,no
ALOX15,0.700813115,0.983277287,1,0.000398701,0.00027112,no
LSR,0.672901809,0.983277287,1,0.000398701,0.00027112,LSR
TTC23L,0.649121106,0.983278905,1,0.000398701,0.00027112,TTC23L
LOC118606426,0.60377425,0.983280524,1,0.000398701,0.00027112,no
SH2D5,0.594683051,0.983280524,1,0.000398701,0.00027112,SH2D5
PGLYRP2,0.196736008,0.983281334,1,0.000398701,0.00027112,PGLYRP2
LOC118602905,0.401349813,0.983282952,1,0.000398701,0.00027112,no
LOC118601478,0.192668721,0.983285381,1,0.000398701,0.00027112,no
CAND2,0.383405566,0.983285381,1,0.000398701,0.00027112,CAND2
PLEKHB1,0.165753335,0.983371985,1,0.002620038,0.002494306,no
LOC118605485,0.39177078,0.983381697,1,0.003702227,0.003578788,no
LOC107500497,0.122823507,0.983470325,1,0.009227089,0.009109641,no
NNAT,0.282601178,0.983549646,1,0.001480891,0.001355601,no
LOC118612405,0.18475315,0.983573927,1,0.001480891,0.001355601,no
LOC118602860,1.558003545,0.98363018,1,0.000341744,0.000216896,no
SHANK1,1.275597334,0.983632608,1,0.000341744,0.000216896,SHANK1
ATP8B3,1.194182992,0.983633418,1,0.000341744,0.000216896,ATP8B3
CUNH8orf89,0.711704671,0.983634227,1,0.000341744,0.000216896,no
NHS,1.175296545,0.983635036,1,0.000341744,0.000216896,NHS
FBLN7,0.608135939,0.983635846,1,0.000341744,0.000216896,no
TRNAT-UGU_1,0.934678614,0.983635846,1,0.000341744,0.000216896,no
LOC107498049,0.880467653,0.983636655,1,0.000341744,0.000216896,no
CITED1,0.740653455,0.983638274,1,0.000341744,0.000216896,no
LOC118610429,0.411892891,0.983638274,1,0.000341744,0.000216896,no
FNDC9,0.804899514,0.983638274,1,0.000341744,0.000216896,no
IGFBP4,0.806486368,0.983638274,1,0.000341744,0.000216896,IGFBP4
LOC107502448,0.482840002,0.983638274,1,0.000341744,0.000216896,no
LOC107501627,0.540452659,0.983638274,1,0.000341744,0.000216896,no
LOC107502173,0.590838253,0.983639893,1,0.000341744,0.000216896,no
INSM1,0.223693892,0.983640702,1,0.000341744,0.000216896,no
GPA33,0.535589397,0.983641511,1,0.000341744,0.000216896,GPA33
MOGAT3_LOC107511778_P,0.244286731,0.983641511,1,0.000341744,0.000216896,no
LOC118604448,0.375585318,0.983642321,1,0.000341744,0.000216896,no
WDR87,0.473706126,0.983642321,1,0.000341744,0.000216896,no
LOC107515284,0.482961684,0.98364313,1,0.000341744,0.000216896,no
SLC9C2,0.30906108,0.98364313,1,0.000341744,0.000216896,no
ADCY6,0.525764227,0.98384386,1,0.001423933,0.001301377,ADCY6
SYNE4,0.063826725,0.983963651,1,0.001423933,0.001301377,no
LOC118613650,-0.021245498,0.983987933,1,0.001423933,0.001301377,no
LOC118602901,2.362509251,0.983990361,1,0.000284787,0.000162672,no
RTBDN,1.233615756,0.98399117,1,0.000284787,0.000162672,no
SAXO2,1.146887302,0.98399198,1,0.000284787,0.000162672,no
LOC118603292,2.057036638,0.983992789,1,0.000284787,0.000162672,no
PAX6,1.179657698,0.983992789,1,0.000284787,0.000162672,PAX6
LOC107519241,1.340589404,0.983993599,1,0.000284787,0.000162672,no
LOC118604529,1.058644176,0.983993599,1,0.000284787,0.000162672,no
LOC107507862,1.464181423,0.983993599,1,0.000284787,0.000162672,no
LOC118610116,1.153393507,0.983994408,1,0.000284787,0.000162672,no
HOXD8,0.790431142,0.983994408,1,0.000284787,0.000162672,HOXD8
LOC107516966,1.097021103,0.983994408,1,0.000284787,0.000162672,no
ZP2,1.003019452,0.983994408,1,0.000284787,0.000162672,ZP2
STOML3,1.504879713,0.983994408,1,0.000284787,0.000162672,no
LOC118610877,1.299364805,0.983994408,1,0.000284787,0.000162672,no
LOC118614446,0.507801652,0.983995217,1,0.000284787,0.000162672,no
TMPRSS4,0.946174145,0.983996027,1,0.000284787,0.000162672,TMPRSS4
CCN1,1.053052068,0.983996027,1,0.000284787,0.000162672,no
KIF26A,0.643715322,0.983996027,1,0.000284787,0.000162672,KIF26A
ANGPTL6,0.794311941,0.983996027,1,0.000284787,0.000162672,no
LOC118602859,0.999271989,0.983996027,1,0.000284787,0.000162672,no
LOC118602826,0.674367487,0.983996836,1,0.000284787,0.000162672,no
LOC107504120,0.711500466,0.983996836,1,0.000284787,0.000162672,no
AACS,0.711120665,0.983997646,1,0.000284787,0.000162672,AACS
WWTR1,-0.275304377,0.983998455,1,0.000284787,0.000162672,WWTR1
LOC118611377,0.499003232,0.983998455,1,0.000284787,0.000162672,no
ALS2CL,0.324061871,0.984000074,1,0.000284787,0.000162672,ALS2CL
FBXL21_LOC107506822,0.530611932,0.984000074,1,0.000284787,0.000162672,FBXL21
CENPF,0.081054181,0.984096392,1,0.01133451,0.011224379,no
LOC107501701,-0.023361748,0.984142124,1,0.007119667,0.006994903,no
LOC118603986,0.253569543,0.984259487,1,0.001366976,0.001247153,no
CALHM5,0.090260126,0.984284174,1,0.001366976,0.001247153,no
DOK7_LOC118608632_P,2.182753086,0.984351355,1,0.000227829,0.000108448,no
LOC118603149,2.169739008,0.984351355,1,0.000227829,0.000108448,no
MEGF11,1.215008259,0.984351355,1,0.000227829,0.000108448,MEGF11
LOC107509753,2.226327896,0.984351355,1,0.000227829,0.000108448,no
LOC118603293,1.528014421,0.984351355,1,0.000227829,0.000108448,no
MXRA5,2.429757595,0.984352164,1,0.000227829,0.000108448,MXRA5
SLC26A5,1.532330632,0.984352164,1,0.000227829,0.000108448,SLC26A5
LOC118614386,1.861302137,0.984352164,1,0.000227829,0.000108448,no
AKAP4,1.919382334,0.984352164,1,0.000227829,0.000108448,no
NHLRC1,1.884143114,0.984352974,1,0.000227829,0.000108448,NHLRC1
LOC107497852,1.619149446,0.984352974,1,0.000227829,0.000108448,no
GYS2,1.280290484,0.984352974,1,0.000227829,0.000108448,no
CUNH2orf66,1.267256975,0.984352974,1,0.000227829,0.000108448,no
LHX9,2.90035224,0.984352974,1,0.000227829,0.000108448,LHX9
AP1M2,1.361975193,0.984352974,1,0.000227829,0.000108448,AP1M2
LOC118601719,1.099141598,0.984353783,1,0.000227829,0.000108448,no
CFAP44,1.208117962,0.984353783,1,0.000227829,0.000108448,CFAP44
ACE2,1.586105108,0.984353783,1,0.000227829,0.000108448,ACE2
LY6D_LOC107507854_P,1.340109825,0.984353783,1,0.000227829,0.000108448,no
LOC107520022,1.704584837,0.984353783,1,0.000227829,0.000108448,no
EGR4,1.176448107,0.984353783,1,0.000227829,0.000108448,EGR4
LOC107503640,1.481165051,0.984354592,1,0.000227829,0.000108448,no
LOC107517777,1.236216784,0.984354592,1,0.000227829,0.000108448,no
LOC107507734,1.338190913,0.984354592,1,0.000227829,0.000108448,no
HPCAL4,1.125529647,0.984354592,1,0.000227829,0.000108448,HPCAL4
LOC107511304,1.114770532,0.984354592,1,0.000227829,0.000108448,no
SOX30,0.85507828,0.984354592,1,0.000227829,0.000108448,SOX30
