	Turtle-5-control-2	Turtle-5-control-1	Turtle-5-8h-PIC	Turtle-3-8h-PIC
ENSCPBG00000009847	226	123	261	281
ENSCPBG00000005719	30	9	29	73
ENSCPBG00000014042	247	226	228	6316
ENSCPBG00000013893	111	76	40	82
ENSCPBG00000013889	432	385	205	581
ENSCPBG00000002440	2	8	3	15
ENSCPBG00000013887	439	484	306	966
ENSCPBG00000013879	78	76	49	52
ENSCPBG00000013877	6	11	8	44
ENSCPBG00000017480	1090	1168	837	1546
ENSCPBG00000009718	493	476	365	7039
ENSCPBG00000025962	832	740	597	1225
ENSCPBG00000025814	431	315	586	280
ENSCPBG00000002970	216	180	151	435
ENSCPBG00000022372	121	141	90	102
ENSCPBG00000027455	57	74	39	61
ENSCPBG00000013846	989	798	725	2282
ENSCPBG00000019486	245	271	100	330
ENSCPBG00000013835	36	31	31	31
ENSCPBG00000026979	505	387	456	372
ENSCPBG00000013832	211	255	114	234
ENSCPBG00000013830	142	126	130	142
ENSCPBG00000009295	93	123	29	1
ENSCPBG00000013827	4	1	3	3
ENSCPBG00000011194	855	851	637	765
ENSCPBG00000017868	218	168	177	212
ENSCPBG00000000026	10	9	25	33
ENSCPBG00000020282	179	196	231	458
ENSCPBG00000016829	2	2	4	5
ENSCPBG00000023220	78	53	59	30
ENSCPBG00000013797	1	0	2	2
ENSCPBG00000013795	251	202	262	258
ENSCPBG00000013792	64	38	28	39
ENSCPBG00000013788	22	11	13	19
ENSCPBG00000023509	10	6	6	9
ENSCPBG00000020135	360	314	192	410
ENSCPBG00000013778	82	106	81	101
ENSCPBG00000022437	778	625	848	443
ENSCPBG00000027443	68	64	120	110
ENSCPBG00000013774	898	1017	937	1043
ENSCPBG00000013772	247	205	129	120
ENSCPBG00000013771	525	499	358	347
ENSCPBG00000028028	4	0	4	3
ENSCPBG00000003481	990	1026	820	1121
ENSCPBG00000017949	1604	1544	1833	936
ENSCPBG00000013757	151	149	150	118
ENSCPBG00000027565	466	525	309	2265
ENSCPBG00000007652	136	170	85	129
ENSCPBG00000013750	70	71	62	55
ENSCPBG00000023657	4	0	3	19
ENSCPBG00000011148	1198	1088	1021	1115
ENSCPBG00000013744	122	119	171	3104
ENSCPBG00000012946	442	461	191	149
ENSCPBG00000017223	152	121	102	848
ENSCPBG00000001407	421	318	214	210
ENSCPBG00000013734	353	310	149	953
ENSCPBG00000013731	121	161	85	169
ENSCPBG00000013725	447	408	235	2030
ENSCPBG00000013717	11	20	19	18
ENSCPBG00000018601	20	27	30	171
ENSCPBG00000013714	7171	6625	5450	9434
ENSCPBG00000003378	910	619	889	682
ENSCPBG00000028391	121	93	84	97
ENSCPBG00000015868	4	10	8	10
ENSCPBG00000013705	3	5	2	0
ENSCPBG00000013704	1026	721	1039	739
ENSCPBG00000013699	45	44	21	16
ENSCPBG00000013694	180	139	238	498
ENSCPBG00000013693	67	62	70	130
ENSCPBG00000013688	335	343	145	293
ENSCPBG00000012670	66	53	47	55
ENSCPBG00000013686	216	173	120	1026
ENSCPBG00000013685	165	89	175	228
ENSCPBG00000027355	127	109	60	198
ENSCPBG00000019696	118	139	113	32
ENSCPBG00000013671	621	536	606	300
ENSCPBG00000013670	314	282	286	381
ENSCPBG00000015839	377	538	426	945
ENSCPBG00000013821	209	141	173	146
ENSCPBG00000013338	131	196	94	225
ENSCPBG00000013657	1537	1175	1429	2894
ENSCPBG00000023947	2211	2221	2105	3104
ENSCPBG00000013656	3913	3253	3490	4084
ENSCPBG00000013653	36	46	30	60
ENSCPBG00000013652	418	340	484	276
ENSCPBG00000021070	930	1092	534	878
ENSCPBG00000016506	20	11	12	44
ENSCPBG00000016953	20	18	14	28
ENSCPBG00000013638	956	784	894	1388
ENSCPBG00000013624	24	31	11	29
ENSCPBG00000013622	141	121	216	247
ENSCPBG00000019569	1734	2116	2264	4154
ENSCPBG00000023169	2	0	0	680
ENSCPBG00000013608	12	11	16	1
ENSCPBG00000007883	352	270	262	255
ENSCPBG00000013602	3	7	4	3
ENSCPBG00000013364	1934	1547	2069	3411
ENSCPBG00000028302	4	3	6	3
ENSCPBG00000013591	10785	5286	16925	5469
ENSCPBG00000020888	796	816	858	1539
ENSCPBG00000024880	585	611	387	859
ENSCPBG00000023200	38	42	13	178
ENSCPBG00000025146	200	175	84	196
ENSCPBG00000013568	2123	2000	2688	37965
ENSCPBG00000013565	153	143	192	155
ENSCPBG00000013562	14	31	15	24
ENSCPBG00000013556	31	21	5	25
ENSCPBG00000013455	5	1	0	3
ENSCPBG00000013551	746	638	683	2462
ENSCPBG00000017551	2	0	2	1
ENSCPBG00000018352	42	47	16	239
ENSCPBG00000013532	65	64	48	91
ENSCPBG00000011014	3	3	1	1
ENSCPBG00000004307	500	473	381	610
ENSCPBG00000013528	4	3	1	6
ENSCPBG00000013523	141	139	90	181
ENSCPBG00000023226	922	866	631	1487
ENSCPBG00000013518	445	551	491	969
ENSCPBG00000013517	29	20	17	29
ENSCPBG00000013506	366	205	550	384
ENSCPBG00000004026	288	196	320	265
ENSCPBG00000019417	532	426	245	1299
ENSCPBG00000019898	145	149	122	130
ENSCPBG00000013491	849	705	542	1363
ENSCPBG00000013489	473	409	410	698
ENSCPBG00000020589	3035	2688	2518	1178
ENSCPBG00000013486	11	14	8	21
ENSCPBG00000004058	27	12	12	16
ENSCPBG00000011831	344	267	352	376
ENSCPBG00000012513	3064	2686	1762	2856
ENSCPBG00000013477	603	489	379	498
ENSCPBG00000012530	81	78	43	74
ENSCPBG00000006324	54	74	57	53
ENSCPBG00000019038	7	8	6	31
ENSCPBG00000017116	124	83	67	429
ENSCPBG00000013505	15	19	26	22
ENSCPBG00000018089	446	430	202	207
ENSCPBG00000013424	47	48	15	38
ENSCPBG00000013417	995	1105	978	1162
ENSCPBG00000013398	1987	1721	2493	4731
ENSCPBG00000013397	44	22	64	35
ENSCPBG00000013389	1110	1066	722	5030
ENSCPBG00000028215	94	64	31	226
ENSCPBG00000013081	738	533	697	616
ENSCPBG00000013382	92	45	104	33
ENSCPBG00000019487	1026	908	750	1512
ENSCPBG00000020556	329	200	328	348
ENSCPBG00000013381	74	80	48	2055
ENSCPBG00000013379	64	50	26	47
ENSCPBG00000027330	7	3	13	33
ENSCPBG00000013376	480	416	426	677
ENSCPBG00000002223	292	311	189	210
ENSCPBG00000013372	37	47	14	148
ENSCPBG00000013366	230	291	201	232
ENSCPBG00000026809	517	550	290	770
ENSCPBG00000013363	148	79	130	62
ENSCPBG00000013361	265	308	264	395
ENSCPBG00000019610	116	114	81	255
ENSCPBG00000003899	16787	13235	11254	10172
ENSCPBG00000013353	252	243	162	253
ENSCPBG00000027070	19	11	14	72
ENSCPBG00000023189	268	236	338	556
ENSCPBG00000013334	4	3	4	8
ENSCPBG00000027036	2267	1330	4268	390
ENSCPBG00000013461	58	40	41	13
ENSCPBG00000013333	47	38	50	74
ENSCPBG00000018990	1421	1128	1165	2358
ENSCPBG00000013325	43	34	61	733
ENSCPBG00000013322	801	682	631	959
ENSCPBG00000013319	127	110	110	53
ENSCPBG00000013314	172	116	91	115
ENSCPBG00000013313	818	688	673	964
ENSCPBG00000011847	255	188	233	2905
ENSCPBG00000013310	924	991	799	14806
ENSCPBG00000013288	206	208	189	796
ENSCPBG00000013285	15	16	12	184
ENSCPBG00000013770	4	2	5	31
ENSCPBG00000013222	992	1149	733	1326
ENSCPBG00000008337	186	144	179	267
ENSCPBG00000000455	2	0	0	3
ENSCPBG00000028080	1	0	2	9
ENSCPBG00000005292	29	36	25	43
ENSCPBG00000013259	42	50	55	2648
ENSCPBG00000022718	284	254	218	363
ENSCPBG00000013250	370	363	282	211
ENSCPBG00000023954	2086	1991	1342	1884
ENSCPBG00000013243	1040	862	1049	2033
ENSCPBG00000023873	83	50	83	44
ENSCPBG00000013236	258	219	212	265
ENSCPBG00000009182	3	0	5	7
ENSCPBG00000003184	585	476	435	2901
ENSCPBG00000009101	583	416	647	754
ENSCPBG00000013220	13	14	16	9
ENSCPBG00000005563	52	47	55	1317
ENSCPBG00000013216	40	53	37	102
ENSCPBG00000013210	127	82	101	208
ENSCPBG00000013198	541	444	615	646
ENSCPBG00000002409	4	6	5	566
ENSCPBG00000000437	138	143	121	310
ENSCPBG00000016468	166	122	118	3187
ENSCPBG00000013191	78	81	70	103
ENSCPBG00000013189	37	28	60	190
ENSCPBG00000001411	474	403	432	7
ENSCPBG00000013184	2	6	7	53
ENSCPBG00000021957	245	234	128	551
ENSCPBG00000006540	371	229	392	375
ENSCPBG00000013950	304	272	178	359
ENSCPBG00000004667	45	39	31	39
ENSCPBG00000022660	206	184	195	269
ENSCPBG00000026235	60	72	72	165
ENSCPBG00000004243	1404	1386	581	2778
ENSCPBG00000019131	352	414	307	227
ENSCPBG00000013162	26	9	32	19
ENSCPBG00000013159	589	587	582	665
ENSCPBG00000020185	315	354	429	138
ENSCPBG00000013139	571	442	472	1139
ENSCPBG00000013137	1423	1025	1658	8989
ENSCPBG00000001975	4	2	3	0
ENSCPBG00000005858	3027	2356	3181	2138
ENSCPBG00000015771	226	186	110	757
ENSCPBG00000013101	12	17	14	22
ENSCPBG00000013100	21	13	15	5
ENSCPBG00000013099	112	91	85	47
ENSCPBG00000013098	1	1	4	6
ENSCPBG00000013095	242	188	256	313
ENSCPBG00000013092	786	593	927	793
ENSCPBG00000021636	281	254	242	993
ENSCPBG00000013086	14	9	17	14
ENSCPBG00000008147	372	248	317	400
ENSCPBG00000015871	362	344	315	738
ENSCPBG00000013082	11	13	13	10
ENSCPBG00000013079	185	160	172	1854
ENSCPBG00000027726	18	20	10	64
ENSCPBG00000006418	90	109	76	22
ENSCPBG00000013067	11	5	9	6
ENSCPBG00000015608	52	59	29	72
ENSCPBG00000013064	10	6	5	50
ENSCPBG00000019530	5	5	3	28
ENSCPBG00000016540	217	158	144	304
ENSCPBG00000013035	752	682	945	462
ENSCPBG00000013033	4	2	7	26
ENSCPBG00000013020	120	66	111	307
ENSCPBG00000013019	244	127	332	172
ENSCPBG00000024207	938	987	899	1655
ENSCPBG00000013015	207	180	163	195
ENSCPBG00000018856	2281	2073	3094	2275
ENSCPBG00000013013	249	196	332	310
ENSCPBG00000013011	13	22	6	17
ENSCPBG00000024695	807	611	717	625
ENSCPBG00000013009	778	625	766	630
ENSCPBG00000013004	483	390	373	637
ENSCPBG00000013904	73	78	53	69
ENSCPBG00000015723	10	8	15	5
ENSCPBG00000006942	10	5	1	5
ENSCPBG00000011582	9	11	35	6
ENSCPBG00000028311	242	243	211	375
ENSCPBG00000022702	1	3	1	2
ENSCPBG00000012978	207	177	172	266
ENSCPBG00000012977	9	10	3	3
ENSCPBG00000012975	840	783	392	1884
ENSCPBG00000007493	617	473	445	818
ENSCPBG00000012972	25	23	24	10
ENSCPBG00000014223	436	232	367	322
ENSCPBG00000012966	3624	3408	1424	8654
ENSCPBG00000012960	1253	1194	1211	2067
ENSCPBG00000015707	66	78	14	23
ENSCPBG00000012948	183	133	209	286
ENSCPBG00000012943	117	162	103	212
ENSCPBG00000012928	21	12	10	10
ENSCPBG00000012239	111	65	92	60
ENSCPBG00000006182	178	163	173	225
ENSCPBG00000012925	364	329	268	441
ENSCPBG00000012923	382	471	265	674
ENSCPBG00000024642	169	158	138	135
ENSCPBG00000010781	146	140	142	202
ENSCPBG00000013231	95	119	38	462
ENSCPBG00000013773	48	76	71	30
ENSCPBG00000012897	18	15	25	219
ENSCPBG00000011634	2	1	3	3
ENSCPBG00000000521	75	72	86	84
ENSCPBG00000027000	426	327	205	544
ENSCPBG00000012881	2616	2153	3270	1624
ENSCPBG00000012874	16	5	3	5
ENSCPBG00000012869	80	78	66	16
ENSCPBG00000002311	49	39	31	49
ENSCPBG00000027140	2174	2021	1779	2986
ENSCPBG00000013187	1	4	0	6
ENSCPBG00000012847	29	24	21	59
ENSCPBG00000012845	55	45	79	113
ENSCPBG00000012840	2840	2777	2276	5071
ENSCPBG00000012929	18	29	23	83
ENSCPBG00000022430	79	57	77	106
ENSCPBG00000012839	1327	1133	1293	4000
ENSCPBG00000012836	561	469	537	128
ENSCPBG00000004078	4	2	2	1
ENSCPBG00000012820	3141	3093	2346	2769
ENSCPBG00000011936	3627	2835	3396	2473
ENSCPBG00000001847	686	898	930	8897
ENSCPBG00000012650	3757	3282	4131	4186
ENSCPBG00000012798	283	203	278	1798
ENSCPBG00000020036	202	189	141	299
ENSCPBG00000022774	17186	10699	23749	7644
ENSCPBG00000013905	966	1034	525	1822
ENSCPBG00000023034	291	236	171	240
ENSCPBG00000012782	3	1	2	99
ENSCPBG00000021886	196	195	168	352
ENSCPBG00000012777	23	32	34	76
ENSCPBG00000019065	205	119	321	174
ENSCPBG00000012770	720	612	702	425
ENSCPBG00000017431	0	2	2	12
ENSCPBG00000002842	1	2	3	11
ENSCPBG00000012763	112	100	63	1113
ENSCPBG00000026349	3190	2488	3097	5479
ENSCPBG00000012752	799	616	734	646
ENSCPBG00000016483	9	9	6	1
ENSCPBG00000022281	8	8	4	7
ENSCPBG00000006958	135	120	103	84
ENSCPBG00000008750	289	311	172	238
ENSCPBG00000006193	1081	987	687	1381
ENSCPBG00000012678	2	1	0	3
ENSCPBG00000012725	131	105	134	218
ENSCPBG00000012719	586	604	334	767
ENSCPBG00000011082	590	508	275	603
ENSCPBG00000006514	195	155	96	79
ENSCPBG00000012709	149	143	142	80
ENSCPBG00000010286	7	3	8	23
ENSCPBG00000012700	202	192	180	140
ENSCPBG00000009893	629	572	296	214
ENSCPBG00000012688	10	11	14	4
ENSCPBG00000012685	29466	26047	31293	56458
ENSCPBG00000012682	74	52	94	49
ENSCPBG00000012681	181	281	154	437
ENSCPBG00000012672	19	18	17	20
ENSCPBG00000017185	189	158	256	196
ENSCPBG00000012668	437	434	461	173
ENSCPBG00000012665	1794	1993	1754	3580
ENSCPBG00000011367	343	238	531	1305
ENSCPBG00000012664	389	426	392	638
ENSCPBG00000012663	105	118	49	233
ENSCPBG00000007936	2971	3084	2163	4762
ENSCPBG00000026520	3	2	1	8
ENSCPBG00000012660	93	62	151	20
ENSCPBG00000012656	48	49	29	210
ENSCPBG00000012930	35	24	18	34
ENSCPBG00000003129	337	327	301	935
ENSCPBG00000028182	545	380	490	476
ENSCPBG00000012649	1922	1602	1438	2603
ENSCPBG00000020167	2674	2361	2377	2140
ENSCPBG00000012644	3092	2493	2747	3179
ENSCPBG00000012642	80	44	99	35
ENSCPBG00000024848	1	6	0	2
ENSCPBG00000012641	14	8	26	12
ENSCPBG00000017042	268	261	240	774
ENSCPBG00000003733	494	447	454	514
ENSCPBG00000012638	1184	950	1583	676
ENSCPBG00000012631	1578	1577	1340	2487
ENSCPBG00000012628	235	179	337	228
ENSCPBG00000012625	388	368	321	394
ENSCPBG00000020576	948	848	867	590
ENSCPBG00000012620	211	177	224	227
ENSCPBG00000012619	689	653	496	558
ENSCPBG00000005581	3	3	2	2
ENSCPBG00000017394	655	606	448	626
ENSCPBG00000012618	2705	2353	2605	3434
ENSCPBG00000012617	127	104	69	97
ENSCPBG00000012606	525	435	465	889
ENSCPBG00000012597	810	680	555	436
ENSCPBG00000012584	430	378	434	393
ENSCPBG00000012894	7	7	2	1
ENSCPBG00000012583	50	36	32	70
ENSCPBG00000010977	96	51	67	41
ENSCPBG00000012580	145	146	109	80
ENSCPBG00000012567	62	38	55	42
ENSCPBG00000012565	83	107	54	633
ENSCPBG00000015783	0	0	2	2
ENSCPBG00000012563	19	29	15	33
ENSCPBG00000014998	161	194	135	337
ENSCPBG00000017905	930	905	593	220
ENSCPBG00000012543	52	40	55	87
ENSCPBG00000008782	329	334	208	2532
ENSCPBG00000018286	1218	937	1493	1549
ENSCPBG00000022057	106	109	100	196
ENSCPBG00000012541	32	60	26	90
ENSCPBG00000028156	2	5	8	5
ENSCPBG00000021543	2048	1809	2013	2397
ENSCPBG00000003806	37	27	42	36
ENSCPBG00000012539	10	21	17	8
ENSCPBG00000012535	22	9	26	0
ENSCPBG00000008472	155	184	108	821
ENSCPBG00000012527	160	140	138	4640
ENSCPBG00000012523	253	221	312	497
ENSCPBG00000016218	10	16	20	33
ENSCPBG00000012510	10	7	5	7
ENSCPBG00000012505	301	280	185	1508
ENSCPBG00000026158	334	350	171	378
ENSCPBG00000012504	1874	1365	2356	1962
ENSCPBG00000005912	12	16	8	15
ENSCPBG00000012490	39	27	51	148
ENSCPBG00000010167	274	183	352	1492
ENSCPBG00000017602	7	5	12	28
ENSCPBG00000012485	360	262	320	276
ENSCPBG00000023996	131	142	80	252
ENSCPBG00000012477	187	188	189	1218
ENSCPBG00000012469	2	5	4	2
ENSCPBG00000012467	215	108	175	129
ENSCPBG00000012464	70	66	61	67
ENSCPBG00000012459	1175	1245	666	1635
ENSCPBG00000012451	300	223	262	253
ENSCPBG00000020347	1378	1246	1186	1109
ENSCPBG00000023433	7857	5337	9846	6197
ENSCPBG00000012444	342	306	243	2077
ENSCPBG00000016851	3158	2953	2425	10056
ENSCPBG00000012433	561	569	344	97
ENSCPBG00000013202	232	222	201	949
ENSCPBG00000018803	16	15	16	35
ENSCPBG00000007194	14	24	9	13
ENSCPBG00000007649	190	179	102	202
ENSCPBG00000012407	4884	3999	4956	4579
ENSCPBG00000020283	103	102	52	90
ENSCPBG00000025887	2	1	4	2
ENSCPBG00000012396	2	3	4	15
ENSCPBG00000020739	136	153	68	166
ENSCPBG00000012395	1087	1255	686	2863
ENSCPBG00000012393	518	496	395	576
ENSCPBG00000012392	368	362	316	559
ENSCPBG00000003915	182	174	144	1003
ENSCPBG00000012959	3541	2581	4312	5123
ENSCPBG00000023301	359	297	475	520
ENSCPBG00000027738	2	4	0	2
ENSCPBG00000012371	18	17	16	55
ENSCPBG00000027452	0	2	0	2
ENSCPBG00000012363	812	540	944	846
