	turtle_3_control_1	turtle_3_control_2	turtle_3_lps_8h	turtle_5_lps_8h
ENSCPBG00000013518	1519	516	1408	587
ENSCPBG00000013517	85	27	61	11
ENSCPBG00000013506	639	299	496	303
ENSCPBG00000004026	573	265	485	297
ENSCPBG00000019417	1418	680	1511	243
ENSCPBG00000019898	288	150	281	118
ENSCPBG00000013491	1613	713	1454	462
ENSCPBG00000013489	1367	451	1170	386
ENSCPBG00000020589	2106	992	1621	2203
ENSCPBG00000013486	33	10	34	9
ENSCPBG00000004058	39	14	29	19
ENSCPBG00000011831	386	177	426	219
ENSCPBG00000012513	3849	1776	4354	1680
ENSCPBG00000013477	1075	477	1065	355
ENSCPBG00000012530	169	65	137	41
ENSCPBG00000006324	115	42	84	48
ENSCPBG00000019038	72	23	47	8
ENSCPBG00000000202	2	0	0	3
ENSCPBG00000017116	1140	482	807	49
ENSCPBG00000013437	512	225	515	0
ENSCPBG00000013505	22	10	18	20
ENSCPBG00000018089	241	129	432	171
ENSCPBG00000013424	55	22	45	27
ENSCPBG00000013417	1539	610	1262	865
ENSCPBG00000013398	9088	3989	8873	1960
ENSCPBG00000013397	69	22	57	33
ENSCPBG00000013389	3614	1367	3562	654
ENSCPBG00000028215	241	83	374	31
ENSCPBG00000013081	1269	582	1139	584
ENSCPBG00000008460	25	3	8	3
ENSCPBG00000013382	163	52	119	83
ENSCPBG00000019487	2662	977	2393	657
ENSCPBG00000020556	755	328	675	221
ENSCPBG00000013381	1995	1070	1997	48
ENSCPBG00000013379	89	32	68	34
ENSCPBG00000027330	19	17	27	2
ENSCPBG00000013376	1158	443	1076	330
ENSCPBG00000002223	272	118	281	180
ENSCPBG00000013372	400	201	295	32
ENSCPBG00000013366	431	158	417	179
ENSCPBG00000013365	20	13	21	2
ENSCPBG00000026809	1056	398	1212	330
ENSCPBG00000013363	135	48	133	108
ENSCPBG00000013361	743	232	582	270
ENSCPBG00000019610	789	310	810	73
ENSCPBG00000003899	18218	9067	15461	9894
ENSCPBG00000013353	376	184	400	196
ENSCPBG00000027070	74	31	55	7
ENSCPBG00000023189	979	379	765	229
ENSCPBG00000013334	7	7	15	8
ENSCPBG00000027036	710	390	587	2506
ENSCPBG00000013461	30	9	30	20
ENSCPBG00000013333	178	61	161	31
ENSCPBG00000018990	3606	1695	3530	1055
ENSCPBG00000013325	1897	791	2209	48
ENSCPBG00000013322	1572	749	1424	504
ENSCPBG00000013319	65	30	49	72
ENSCPBG00000013865	9	5	9	0
ENSCPBG00000013314	272	99	239	87
ENSCPBG00000013313	1575	652	1451	554
ENSCPBG00000011847	4303	1736	4381	188
ENSCPBG00000013310	24292	7406	25486	851
ENSCPBG00000013303	7	1	6	0
ENSCPBG00000013288	1689	653	1643	151
ENSCPBG00000013285	416	209	417	19
ENSCPBG00000013770	48	15	29	2
ENSCPBG00000013222	2542	955	2319	814
ENSCPBG00000008337	521	174	338	132
ENSCPBG00000000455	19	4	17	3
ENSCPBG00000028080	4	7	15	1
ENSCPBG00000005292	85	34	62	24
ENSCPBG00000013259	8202	3784	7566	37
ENSCPBG00000022718	587	266	590	223
ENSCPBG00000013250	355	180	457	280
ENSCPBG00000023954	4982	1990	5099	1373
ENSCPBG00000013243	3884	1669	3348	867
ENSCPBG00000023873	88	36	83	39
ENSCPBG00000013236	712	267	765	188
ENSCPBG00000009182	10	3	8	3
ENSCPBG00000003184	1381	551	1503	411
ENSCPBG00000009101	1449	670	1135	489
ENSCPBG00000013220	5	2	5	8
ENSCPBG00000005563	824	436	854	31
ENSCPBG00000013216	105	57	60	61
ENSCPBG00000013210	244	111	157	81
ENSCPBG00000013198	1132	385	1154	461
ENSCPBG00000002409	483	178	455	0
ENSCPBG00000013194	2	4	2	0
ENSCPBG00000000437	259	146	266	123
ENSCPBG00000016468	9669	3390	6911	112
ENSCPBG00000013191	112	51	97	79
ENSCPBG00000013189	183	83	186	53
ENSCPBG00000001411	21	10	19	369
ENSCPBG00000013184	190	76	117	2
ENSCPBG00000021957	699	290	737	131
ENSCPBG00000006540	758	378	678	255
ENSCPBG00000013950	534	208	545	209
ENSCPBG00000004667	43	22	44	22
ENSCPBG00000022660	426	186	356	149
ENSCPBG00000026235	514	227	380	66
ENSCPBG00000004243	4046	1772	4347	683
ENSCPBG00000019131	641	227	795	316
ENSCPBG00000013162	45	16	25	21
ENSCPBG00000013159	1145	471	987	596
ENSCPBG00000020185	198	52	194	330
ENSCPBG00000013139	1428	636	1146	427
ENSCPBG00000013137	4037	1851	3292	1178
ENSCPBG00000001975	26	16	25	0
ENSCPBG00000013524	2	3	3	0
ENSCPBG00000005858	3717	1672	3064	2267
ENSCPBG00000015771	305	139	311	133
ENSCPBG00000013101	55	13	60	9
ENSCPBG00000013100	12	3	7	10
ENSCPBG00000013099	71	35	50	66
ENSCPBG00000013098	1	1	4	2
ENSCPBG00000013095	642	335	531	168
ENSCPBG00000013092	1644	683	979	710
ENSCPBG00000004603	9	0	6	0
ENSCPBG00000021636	1442	498	1367	221
ENSCPBG00000013086	41	26	52	10
ENSCPBG00000008147	527	165	659	231
ENSCPBG00000015871	917	349	757	231
ENSCPBG00000013082	18	7	44	14
ENSCPBG00000013079	1689	668	1434	173
ENSCPBG00000027726	55	26	89	14
ENSCPBG00000006418	47	13	52	60
ENSCPBG00000013067	10	4	11	6
ENSCPBG00000015608	29	23	50	32
ENSCPBG00000013064	67	32	56	12
ENSCPBG00000019530	57	22	60	9
ENSCPBG00000016540	489	254	479	136
ENSCPBG00000013035	1498	716	1332	843
ENSCPBG00000013033	32	19	41	2
ENSCPBG00000013020	773	331	620	53
ENSCPBG00000013019	627	277	551	229
ENSCPBG00000024207	2838	882	2491	933
ENSCPBG00000013015	459	149	365	123
ENSCPBG00000018856	4214	1575	3754	2780
ENSCPBG00000013013	534	271	476	228
ENSCPBG00000013011	27	18	27	14
ENSCPBG00000024695	1170	540	1036	616
ENSCPBG00000013009	1164	439	1105	677
ENSCPBG00000013004	1791	786	1536	295
ENSCPBG00000013904	98	42	114	47
ENSCPBG00000015723	3	0	4	11
ENSCPBG00000006942	6	2	4	5
ENSCPBG00000011582	4	3	5	12
ENSCPBG00000024173	57	27	43	0
ENSCPBG00000028311	612	221	535	186
ENSCPBG00000022702	3	3	4	3
ENSCPBG00000012978	486	202	460	187
ENSCPBG00000012977	11	7	18	1
ENSCPBG00000012975	3045	1318	3124	345
ENSCPBG00000007493	1410	587	1378	396
ENSCPBG00000012972	31	11	23	12
ENSCPBG00000014223	1024	467	822	204
ENSCPBG00000012966	9313	3995	9343	1486
ENSCPBG00000012960	3401	1298	2960	1151
ENSCPBG00000015707	60	13	59	28
ENSCPBG00000012948	462	233	389	176
ENSCPBG00000012943	423	125	330	92
ENSCPBG00000012928	30	6	16	13
ENSCPBG00000012239	164	67	147	89
ENSCPBG00000006182	469	160	400	144
ENSCPBG00000012925	1103	436	952	280
ENSCPBG00000012923	561	229	752	272
ENSCPBG00000024642	231	91	246	146
ENSCPBG00000010781	397	129	341	91
ENSCPBG00000012906	5	0	1	4
ENSCPBG00000013231	211	91	292	52
ENSCPBG00000013773	128	61	73	99
ENSCPBG00000012897	1696	751	1089	8
ENSCPBG00000012896	46	31	31	1
ENSCPBG00000011634	10	7	13	2
ENSCPBG00000000521	131	49	107	82
ENSCPBG00000027000	762	479	791	203
ENSCPBG00000012881	2402	978	1818	2183
ENSCPBG00000012874	3	1	11	1
ENSCPBG00000012869	17	4	14	69
ENSCPBG00000002311	104	45	112	28
ENSCPBG00000027140	4888	2180	4404	1825
ENSCPBG00000013187	24	12	14	4
ENSCPBG00000012847	70	39	65	32
ENSCPBG00000012845	89	44	136	73
ENSCPBG00000012840	8827	3483	8519	2148
ENSCPBG00000012929	230	88	146	21
ENSCPBG00000022430	178	59	176	50
ENSCPBG00000012839	4835	1864	4937	1162
ENSCPBG00000012836	265	131	224	499
ENSCPBG00000012820	5362	2396	4784	2369
ENSCPBG00000011936	6201	2250	4733	2482
ENSCPBG00000001847	3056	1354	2457	774
ENSCPBG00000012650	7654	3242	6311	3665
ENSCPBG00000012798	5707	2598	4745	260
ENSCPBG00000020036	380	159	360	188
ENSCPBG00000022774	13193	5898	9841	13658
ENSCPBG00000013905	2695	1070	2603	684
ENSCPBG00000023034	414	218	418	218
ENSCPBG00000012782	261	133	240	2
ENSCPBG00000021886	557	230	561	130
ENSCPBG00000012777	102	50	72	29
ENSCPBG00000019065	15	2	15	220
ENSCPBG00000012770	1102	376	839	656
ENSCPBG00000017431	21	10	15	0
ENSCPBG00000002842	1	1	3	3
ENSCPBG00000012763	836	685	957	67
ENSCPBG00000026349	8776	3495	8246	2433
ENSCPBG00000012752	1409	722	1426	740
ENSCPBG00000016483	8	2	14	4
ENSCPBG00000022281	27	8	17	8
ENSCPBG00000006958	177	68	122	118
ENSCPBG00000008750	602	272	647	169
ENSCPBG00000006193	1735	572	1691	662
ENSCPBG00000012678	3	5	4	3
ENSCPBG00000012725	229	91	208	155
ENSCPBG00000012719	1098	476	1112	315
ENSCPBG00000011082	1170	542	988	212
ENSCPBG00000006514	185	76	184	124
ENSCPBG00000012709	184	87	173	131
ENSCPBG00000010286	16	17	33	9
ENSCPBG00000012700	124	46	86	194
ENSCPBG00000009893	245	82	277	353
ENSCPBG00000012688	7	0	2	7
ENSCPBG00000012685	28546	34691	42684	23748
ENSCPBG00000012682	73	54	81	42
ENSCPBG00000012681	867	312	926	198
ENSCPBG00000012672	22	11	22	11
ENSCPBG00000017185	354	185	340	178
ENSCPBG00000012668	154	53	169	473
ENSCPBG00000012665	3407	916	3135	1756
ENSCPBG00000011367	1487	783	1200	394
ENSCPBG00000012664	1036	478	985	518
ENSCPBG00000012663	173	63	163	30
ENSCPBG00000007936	8618	2979	7380	2220
ENSCPBG00000026520	6	1	2	0
ENSCPBG00000012660	20	18	31	99
ENSCPBG00000012656	134	47	85	31
ENSCPBG00000012930	145	53	93	16
ENSCPBG00000003129	483	267	525	297
ENSCPBG00000028182	887	373	749	368
ENSCPBG00000012649	3186	1543	2677	1363
ENSCPBG00000020167	3767	1511	2975	2203
ENSCPBG00000012644	7306	3299	6959	2303
ENSCPBG00000012642	140	60	113	62
ENSCPBG00000024848	2	2	3	0
ENSCPBG00000012641	21	5	24	5
ENSCPBG00000017042	1904	681	2054	239
ENSCPBG00000003733	1137	468	836	375
ENSCPBG00000012638	1196	482	958	1128
ENSCPBG00000012631	4902	1987	4308	1304
ENSCPBG00000012628	505	204	433	246
ENSCPBG00000012625	896	364	821	269
ENSCPBG00000020576	668	266	689	794
ENSCPBG00000012620	482	221	422	193
ENSCPBG00000012619	1293	624	1180	480
ENSCPBG00000017394	1001	408	1118	451
ENSCPBG00000012618	6524	2574	5805	2109
ENSCPBG00000012617	345	150	337	79
ENSCPBG00000012606	1726	576	1615	488
ENSCPBG00000012597	1069	484	1058	520
ENSCPBG00000012584	707	328	554	383
ENSCPBG00000012894	3	3	2	4
ENSCPBG00000012583	80	34	74	45
ENSCPBG00000010977	115	55	111	55
ENSCPBG00000012580	192	97	174	82
ENSCPBG00000012567	176	54	154	38
ENSCPBG00000012565	759	199	825	51
ENSCPBG00000012563	42	17	46	16
ENSCPBG00000014998	112	59	119	91
ENSCPBG00000017905	337	157	345	592
ENSCPBG00000012543	93	32	81	25
ENSCPBG00000008782	1015	358	1176	196
ENSCPBG00000018286	3042	1099	2748	1066
ENSCPBG00000022057	461	178	378	96
ENSCPBG00000012541	86	23	64	25
ENSCPBG00000028156	15	5	7	3
ENSCPBG00000021543	5026	2122	3922	1734
ENSCPBG00000003806	63	26	58	34
ENSCPBG00000012539	12	3	14	3
ENSCPBG00000008472	468	220	510	89
ENSCPBG00000012527	6887	2644	8373	121
ENSCPBG00000012523	421	227	421	268
ENSCPBG00000016218	101	54	71	11
ENSCPBG00000012510	5	3	8	2
ENSCPBG00000012505	1732	700	1350	166
ENSCPBG00000026158	640	249	708	180
ENSCPBG00000012504	4302	1880	3686	1625
ENSCPBG00000005912	16	9	16	16
ENSCPBG00000012490	121	59	88	43
ENSCPBG00000010167	626	243	462	183
ENSCPBG00000017602	113	36	102	12
ENSCPBG00000012485	496	252	485	224
ENSCPBG00000023996	599	251	516	107
ENSCPBG00000012477	3720	1189	3051	217
ENSCPBG00000012467	335	140	281	102
ENSCPBG00000012464	104	52	103	59
ENSCPBG00000008274	4	2	10	1
ENSCPBG00000012459	2050	1045	2627	708
ENSCPBG00000012451	471	176	373	169
ENSCPBG00000020347	2148	723	1836	1009
ENSCPBG00000023433	9755	3846	8191	6143
ENSCPBG00000012444	2458	921	2538	272
ENSCPBG00000016851	13412	5313	11576	2408
ENSCPBG00000012433	185	58	172	423
ENSCPBG00000013202	1099	421	1074	219
