lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
ACTL7B,-0.58824259,0.943494572,1,0.000657174,0.001084481,no
ZNF791_LOC107519424,-0.578734517,0.943493003,1,0.000657174,0.001084481,no
TTLL7,-0.613185525,0.943425169,1,0.00060241,0.001030257,TTLL7
LOC118605167,-0.785064042,0.943413406,1,0.00060241,0.001030257,no
SLIT1,-0.775691986,0.943411053,1,0.00060241,0.001030257,SLIT1
GSDMB,-0.754454553,0.943408701,1,0.00060241,0.001030257,no
GFRA4,-0.815803587,0.943408701,1,0.00060241,0.001030257,GFRA4
LOC118600435,-1.141300678,0.943382822,1,0.00060241,0.001030257,no
IL17RC,-1.364882112,0.943382037,1,0.00060241,0.001030257,IL17RC
ZNF768,-0.086226553,0.943369098,1,0.018346112,0.018761523,no
COL11A2,-0.775464058,0.943358119,1,0.000547645,0.000976033,no
DMRTA1,-0.751604378,0.943341651,1,0.000547645,0.000976033,DMRTA1
E2F8,-0.783614933,0.943340867,1,0.000547645,0.000976033,E2F8
ITGA11,-0.918091416,0.943338514,1,0.000547645,0.000976033,ITGA11
LOC107511535,-0.93663913,0.943318909,1,0.000547645,0.000976033,no
MICAL3,-1.182512522,0.943302441,1,0.000547645,0.000976033,MICAL3
RNF212B,-0.595799387,0.943285581,1,0.000492881,0.000921809,no
LOC107502820,-0.853916109,0.94326676,1,0.000492881,0.000921809,no
GDF9,-0.929296851,0.943265976,1,0.000492881,0.000921809,GDF9
GJA9,-1.081379414,0.943259702,1,0.000492881,0.000921809,no
CKMT1B_LOC107510957,-1.120177388,0.943200495,1,0.000438116,0.000867585,CKMT1B
DLG2,-1.483002186,0.943177754,1,0.000438116,0.000867585,no
PODXL2,-1.180014491,0.943056989,1,0.000328587,0.000759137,PODXL2
LOC118600365,-1.099551439,0.943053852,1,0.000328587,0.000759137,no
LOC107516439,0.0171085,0.943049931,1,0.005476451,0.005910422,no
LOC118610674,-1.284373879,0.94299151,1,0.000273823,0.000704913,no
HEMGN,-1.180210233,0.942985236,1,0.000273823,0.000704913,no
LOC107512838,-1.330105066,0.942982884,1,0.000273823,0.000704913,no
ERG,-1.477874517,0.942977394,1,0.000273823,0.000704913,ERG
CAVIN1,-1.47655189,0.94297661,1,0.000273823,0.000704913,no
LOC118603880,-1.653316379,0.942971905,1,0.000273823,0.000704913,no
BCL2L14,-1.08112359,0.942917405,1,0.000219058,0.000650689,BCL2L14
COPZ2,-1.348146081,0.942916621,1,0.000219058,0.000650689,COPZ2
CA11,-1.508333683,0.942914268,1,0.000219058,0.000650689,CA11
RGMA,-1.908072233,0.942901722,1,0.000219058,0.000650689,RGMA
NRG1,-1.64196229,0.942842517,1,0.000164294,0.000596465,NRG1
LOC107516111,-1.692143202,0.942842517,1,0.000164294,0.000596465,no
RUFY4,-2.539036036,0.94283938,1,0.000164294,0.000596465,no
VASN,-1.935371399,0.942838596,1,0.000164294,0.000596465,VASN
RAPGEF5,-0.131306514,0.942773118,1,0.013198248,0.013610238,RAPGEF5
RBFOX1,-1.902598023,0.94277155,1,0.000109529,0.000542241,no
SLC10A6,-2.180295706,0.942770766,1,0.000109529,0.000542241,SLC10A6
LOC107504407,-2.128405094,0.942769981,1,0.000109529,0.000542241,no
TMEM271,-2.360197544,0.942769197,1,0.000109529,0.000542241,no
MB21D2,-0.22430402,0.942753906,1,0.006078861,0.006506886,MB21D2
HIST2H3A_LOC107499055_P,-2.700648069,0.942699015,1,5.47645E-05,0.000488016,no
TSKU,-3.123117924,0.942698231,1,5.47645E-05,0.000488016,TSKU
UACA,-3.164895058,0.942697446,1,5.47645E-05,0.000488016,UACA
LOC118615016,-3.843305588,0.942696662,1,5.47645E-05,0.000488016,no
MAPK8IP2,-3.698664904,0.942695878,1,5.47645E-05,0.000488016,MAPK8IP2
REPS2,-4.004715443,0.942695878,1,5.47645E-05,0.000488016,REPS2
RNF170,-0.038263641,0.942255582,1,0.016538883,0.016972129,RNF170
F12,-0.278191835,0.942194421,1,0.005695509,0.006127318,F12
PREP_LOC107516217,-0.054376762,0.942185011,1,0.037294633,0.037685717,PREP
EID3,-0.089863755,0.942117185,1,0.011391019,0.011820844,no
FAM120B,-0.057283491,0.942086996,1,0.022946331,0.023370567,FAM120B
LOC118605505,-0.057925858,0.942065433,1,0.01067908,0.011115931,no
FBXL18,-0.146159574,0.94205916,1,0.005147864,0.005585078,FBXL18
TMEM67,-0.007100974,0.941975261,1,0.01516977,0.015616527,no
PIEZO1,-0.005818653,0.941918413,1,0.03203724,0.032480208,PIEZO1
SH3BGRL2,-0.212733269,0.94182981,1,0.004874042,0.005313957,SH3BGRL2
KIAA0753,-0.070039488,0.941741599,1,0.031763417,0.032154864,KIAA0753
LOC118613615,-0.230738357,0.941508727,1,0.005038335,0.005476629,no
ABCD1,-0.004337181,0.941507551,1,0.009693319,0.010139898,ABCD1
KCNQ5,-0.059422471,0.941382884,1,0.024972618,0.025376857,KCNQ5
FLACC1,-0.165891871,0.941338977,1,0.00449069,0.004934389,no
CUNH11orf95,-0.355182707,0.941336625,1,0.005312158,0.00574775,no
ATG14,-0.102754243,0.941259395,1,0.051314348,0.051512851,ATG14
LOC107514797,-0.148678631,0.941240186,1,0.004600219,0.005042837,no
LOC107518155,0.002367663,0.941112778,1,0.024808324,0.025268409,no
GYPA,-0.164296329,0.941014381,1,0.004381161,0.004825941,no
EFCAB2,0.020189112,0.940991644,1,0.02864184,0.029118317,EFCAB2
TCAP_LOC107520682,-0.226102829,0.940900304,1,0.00449069,0.004934389,TCAP
LOC107512554,-0.390381575,0.940793284,1,0.00449069,0.004934389,no
PCYT1B,-0.134123266,0.940684698,1,0.003943045,0.004392148,PCYT1B
LOC118613819,-0.226957232,0.940607081,1,0.004107338,0.004554821,no
LOC107507024,-0.144952565,0.940506337,1,0.010295728,0.010736363,no
TTLL13_LOC107514133,-0.237300947,0.940495361,1,0.004052574,0.004500596,TTLL13
ND4L,-0.019507218,0.940460081,1,0.169550931,0.169558616,ND4L
SCN8A,-0.166241497,0.940343658,1,0.003723987,0.004175252,SCN8A
LOC118606500,-0.220298707,0.94017863,1,0.003778751,0.004229476,no
LOC118602987,-0.284276098,0.939923449,1,0.003559693,0.00401258,no
SORBS2,-0.061324667,0.939820359,1,0.009309967,0.00976033,SORBS2
PALM3,-0.258367598,0.939744316,1,0.0033954,0.003849908,no
ZNF140,-0.052053683,0.939583609,1,0.01407448,0.014532046,no
CHEK2,-0.170434237,0.939404482,1,0.003012048,0.003470339,CHEK2
CDKL3,-0.340578347,0.939397035,1,0.003231106,0.003687236,CDKL3
WDR97,-0.173984051,0.939392723,1,0.003012048,0.003470339,no
DBR1,-0.012381178,0.93938606,1,0.062102957,0.062520334,DBR1
MYO5B,-0.223476931,0.939352744,1,0.010186199,0.010627915,MYO5B
LOC118612968,-0.162620932,0.939241037,1,0.008598028,0.009055417,no
OTUD6B,-0.035550304,0.939167742,1,0.108324206,0.108393884,OTUD6B
SERGEF,-0.124736063,0.939114828,1,0.01686747,0.017297473,SERGEF
ZNF154_LOC107502297_P,-0.007223438,0.939113653,1,0.013088719,0.013556013,no
PNMAL1_LOC118611376_P,-0.180243015,0.93905682,1,0.002683461,0.003144995,no
SEC62,-0.006924869,0.939013706,1,0.412705367,0.408307125,SEC62
ADNP2,-0.079899698,0.938975688,1,0.060569551,0.06073094,ADNP2
CEBPE,-0.070007183,0.938886325,1,0.020317634,0.020767813,CEBPE
LOC118605464,-0.2793836,0.938851835,1,0.002628697,0.003090771,no
LOC107514377,-0.129412368,0.938833414,1,0.002519168,0.002982323,no
LOC107504661,-0.215929613,0.938738173,1,0.002464403,0.002928099,no
ERP27,-0.098722301,0.93871936,1,0.026889376,0.027274699,ERP27
DAPK2,-0.050571829,0.938697804,1,0.021631982,0.02206919,DAPK2
PPP1R13L,-0.281861275,0.938624121,1,0.002464403,0.002928099,PPP1R13L
CLTB,-0.007622183,0.938608052,1,0.043263965,0.043758811,CLTB
SLITRK1,-0.320542336,0.938608052,1,0.002464403,0.002928099,SLITRK1
CUNH9orf153,-0.117620885,0.938607268,1,0.008324206,0.008784297,no
CACNA1B,-0.243411243,0.938528491,1,0.002354874,0.002819651,CACNA1B
LOC107505016,-0.443150938,0.938488122,1,0.002464403,0.002928099,no
RHOT2,-0.048990622,0.938486947,1,0.013800657,0.014260926,RHOT2
PARP16,-0.263792247,0.938431685,1,0.00230011,0.002765427,PARP16
FAM186A,-0.08664237,0.938351342,1,0.002081051,0.002548531,no
PM20D2,-0.205975518,0.93832861,1,0.002190581,0.002656979,PM20D2
LOC107520830,-0.393733919,0.938305487,1,0.002245345,0.002711203,no
LOC107517577,-0.314918607,0.938260809,1,0.002190581,0.002656979,no
LOC107511829,-0.326745749,0.938187521,1,0.002190581,0.002656979,no
SLC27A3,-0.402597725,0.938158519,1,0.002245345,0.002711203,SLC27A3
OTOR,-0.221921116,0.93813814,1,0.002026287,0.002494306,OTOR
SYNGR3,-0.383358568,0.938135788,1,0.002135816,0.002602755,SYNGR3
CHRM4,-0.346070856,0.938097381,1,0.002026287,0.002494306,CHRM4
SPATC1L,-0.373728752,0.938082489,1,0.002081051,0.002548531,SPATC1L
HIST1H2AK_LOC107504170_P,-0.2054829,0.937921023,1,0.001807229,0.00227741,no
SLC47A2,-0.383320093,0.93788732,1,0.001861993,0.002331634,SLC47A2
CUNH2orf81,-0.127654389,0.937819521,1,0.007721796,0.008187832,no
SOX13,-0.4424842,0.93758556,1,0.001642935,0.002114738,SOX13
CHEK1,-0.028778346,0.937581249,1,0.012102957,0.01257998,no
LOC118602857,-0.261849433,0.937580074,1,0.001588171,0.002060514,no
