lps_names,lps_logfoldchanges_x,lps_pvals_x,lps_pvals_adj_x,lps_pts_x,UNST_pts_x,1to1_bat_dragon_x,lps_logfoldchanges_y,lps_pvals_y,lps_pvals_adj_y,lps_pts_y,UNST_pts_y,1to1_bat_dragon_y
RIPK2,0.981936097,4.54444e-57,8.003230000000001e-55,0.229134721,0.138108665,RIPK2,1.40587616,5.73568e-11,1.97198e-09,0.241322314,0.129221733,RIPK2
LRP8,0.977938414,1.17018e-05,0.000253236,0.059145674,0.032914001,LRP8,0.465508014,0.817412593,1.0,0.016528926,0.012236907,LRP8
UPP1,0.969369769,9.035949999999999e-37,1.10403e-34,0.173439211,0.09830821,UPP1,0.11352101,0.739814013,1.0,0.203856749,0.220264317,UPP1
SLC41A2,0.958114803,4.53914e-11,1.72231e-09,0.090909091,0.051729747,SLC41A2,1.449945092,3.59433e-58,1.1436100000000001e-55,0.558126722,0.321585903,SLC41A2
SDC4,0.951984286,2.35197e-17,1.28608e-15,0.137951807,0.090066153,SDC4,1.103098154,1.73291e-70,7.56517e-68,0.814325069,0.738619677,SDC4
USP25,0.950966835,2.9315e-115,8.7046e-113,0.3432092,0.211528034,USP25,-0.248571947,0.006855507,0.06010816,0.213774105,0.270190896,USP25
MOV10,0.945150614,8.261199999999999e-113,2.4248e-110,0.34101862,0.211094241,MOV10,3.149773121,0.065772569,0.406948805,0.042424242,0.008321096,MOV10
SLCO4A1,0.944983423,0.002273025,0.031804916,0.03871851,0.02033402,SLCO4A1,0.61402607,0.96591778,1.0,0.002754821,0.001957905,SLCO4A1
LGALS9,0.944101274,3.1484e-168,1.2181e-165,0.433406353,0.280826375,LGALS9,0.042474642,0.690580191,1.0,0.068319559,0.076847773,LGALS9
GALNT3,0.94147414,1.01314e-05,0.000221313,0.054819277,0.028142284,GALNT3,0.0,1.0,1.0,0.0,0.0,GALNT3
PRRG2,0.937990367,6.7185e-05,0.00130765,0.053723987,0.02982323,PRRG2,-19.77614594,0.937159598,1.0,0.0,0.001468429,PRRG2
SH3PXD2B,0.936073959,5.64393e-08,1.65216e-06,0.079299014,0.047120703,SH3PXD2B,1.204954386,1.31853e-07,2.91193e-06,0.236363636,0.151248164,SH3PXD2B
RNF24,0.929863214,9.53369e-06,0.000208614,0.062979189,0.036547012,RNF24,-0.845538139,0.738174647,1.0,0.005509642,0.01174743,RNF24
NAMPT,0.927411497,5.9095599999999995e-92,1.47948e-89,0.321522453,0.210606225,NAMPT,1.679841995,1.8605399999999998e-92,1.83821e-89,0.662809917,0.414096916,NAMPT
PIK3AP1,0.924714506,1.50147e-31,1.58437e-29,0.18263965,0.116473268,PIK3AP1,-0.276597381,0.096869569,0.549874676,0.089807163,0.122858541,PIK3AP1
RGS1,0.923557997,6.53961e-54,1.07048e-51,0.25788609,0.172649387,RGS1,-0.378991395,0.228380248,1.0,0.050137741,0.072931963,RGS1
PSMF1,0.918174207,1.39566e-82,3.23996e-80,0.297097481,0.18739833,PSMF1,0.363656461,0.896913188,1.0,0.037465565,0.035242291,PSMF1
NMI,0.917847037,5.2605000000000005e-154,1.8152999999999998e-151,0.42524644,0.277844052,NMI,-0.40654245,0.012350982,0.09955029,0.111294766,0.160548213,NMI
DUSP5,0.917560399,1.37624e-16,7.30637e-15,0.102738226,0.052380436,DUSP5,0.88433522,0.249316765,1.0,0.04738292,0.025942242,DUSP5
RNF213,0.909987211,0.0,0.0,0.712486309,0.543433467,RNF213,1.189821005,2.28053e-17,1.32539e-15,0.403305785,0.28536466,RNF213
