lps_names,lps_logfoldchanges,lps_pvals,lps_pvals_adj,lps_pts,UNST_pts,1to1_bat_dragon
RABGAP1L,0.255957484,6.815129999999999e-20,4.2985700000000004e-18,0.434063527,0.37078408,RABGAP1L
PIM2,0.605636179,6.81752e-20,4.2985700000000004e-18,0.185213582,0.13149333,PIM2
KIAA1109,0.418481469,1.07989e-19,6.74229e-18,0.241128149,0.185175144,KIAA1109
PMAIP1,0.509609699,1.15263e-19,7.17728e-18,0.208050383,0.153074504,PMAIP1
BCL6,0.419857532,1.16567e-19,7.22492e-18,0.25558598,0.201062791,BCL6
DNAJC13,0.48951298,1.80655e-19,1.11161e-17,0.230065717,0.177963345,DNAJC13
CREM,0.571960568,2.82058e-19,1.72725e-17,0.188882804,0.13523479,CREM
ETV7,1.65069139,3.14926e-19,1.92391e-17,0.081818182,0.027871164,ETV7
GPR155,0.464180648,3.78838e-19,2.30883e-17,0.239704272,0.187452554,GPR155
SAMSN1,0.327482939,5.35796e-19,3.23454e-17,0.392278204,0.3509923,SAMSN1
CGGBP1,0.227791473,6.18966e-19,3.72781e-17,0.546933187,0.495119835,CGGBP1
SKIL,0.216593787,1.0589600000000002e-18,6.31815e-17,0.597535597,0.548530528,SKIL
PSMA1,0.248360395,1.14641e-18,6.82397e-17,0.472727273,0.419097712,PSMA1
SERTAD1,0.348110557,2.7087400000000002e-18,1.57564e-16,0.302957284,0.251382713,SERTAD1
ERAP1,0.413604498,3.2778600000000004e-18,1.90235e-16,0.255531216,0.204858475,ERAP1
NOD1,1.04099524,1.08505e-17,6.06296e-16,0.104764513,0.053139573,NOD1
TNIP3,1.885095239,1.37658e-17,7.67518e-16,0.078368018,0.027437371,TNIP3
SDC4,0.951984286,2.35197e-17,1.28608e-15,0.137951807,0.090066153,SDC4
USP37,0.632015049,4.25837e-17,2.31366e-15,0.163800657,0.114087409,USP37
UBE2J1,0.652444422,7.22372e-17,3.89166e-15,0.160733844,0.111809999,UBE2J1
TERF2IP_LOC107502665,0.609666526,8.63796e-17,4.6243e-15,0.167305586,0.117883093,TERF2IP
B3GNT2,0.591021419,1.21903e-16,6.4988e-15,0.163964951,0.114250081,B3GNT2
DUSP5,0.917560399,1.37624e-16,7.30637e-15,0.102738226,0.052380436,DUSP5
PTPRC,0.149648309,1.86309e-16,9.85007e-15,0.891456736,0.866608828,PTPRC
PTGES,3.37374568,2.85718e-16,1.4951e-14,0.0567908,0.007645592,PTGES
PNRC1,0.16737555,5.41592e-16,2.79396e-14,0.795290252,0.761739508,PNRC1
KDM6B,0.483341873,5.56333e-16,2.86422e-14,0.183899233,0.134150309,KDM6B
CALCOCO2,0.515707135,7.12352e-16,3.65274e-14,0.193154436,0.146188049,CALCOCO2
TNFAIP6,2.199447393,1.27889e-15,6.46687e-14,0.066757941,0.018869971,TNFAIP6
