pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
TSPAN3,0.250613928,3.3073e-07,6.17143e-06,0.661104718,0.560450318,TSPAN3
KRR1,0.476545244,3.33802e-07,6.22257e-06,0.36593786,0.272148801,KRR1
PFKFB3,1.618434548,3.36263e-07,6.25603e-06,0.151898734,0.05628977,PFKFB3
SSRP1,0.37340796,3.44759e-07,6.40774e-06,0.546605293,0.444933921,SSRP1
GPCPD1,0.462278485,3.50741e-07,6.50603e-06,0.362485616,0.262359276,GPCPD1
NOTCH1,0.266586572,3.52016e-07,6.52323e-06,0.780782509,0.669114048,NOTCH1
IFNAR2,0.781426609,3.62491e-07,6.70412e-06,0.226121979,0.131669114,IFNAR2
CNOT4,0.455956787,3.73326e-07,6.89771e-06,0.394706559,0.303475281,CNOT4
RNMT,0.328141004,3.74297e-07,6.90885e-06,0.463751438,0.363191385,RNMT
POLR3GL,0.906116724,3.76483e-07,6.94156e-06,0.223820483,0.131179638,POLR3GL
GPR65,1.140683651,3.76809e-07,6.94156e-06,0.175489068,0.07978463,GPR65
PSMD6,0.296081156,3.91056e-07,7.19697e-06,0.52013809,0.418991679,PSMD6
SMARCA5,0.316359401,4.00412e-07,7.36193e-06,0.590909091,0.491923642,SMARCA5
RD3,2.353928804,4.17675e-07,7.66432e-06,0.123130035,0.028389623,RD3
A4GALT,0.940787613,4.59164e-07,8.37651e-06,0.189873418,0.095447871,A4GALT
TSKU,0.850442529,5.02653e-07,9.16098e-06,0.256041427,0.170337739,TSKU
HNRNPH1,0.282377273,5.226e-07,9.50606e-06,0.707134638,0.607929515,HNRNPH1
ATP1B3,0.312670797,5.29143e-07,9.61093e-06,0.524741082,0.423396965,ATP1B3
TAF1D,0.67648536,5.2939e-07,9.61093e-06,0.276179517,0.182085169,TAF1D
PTGES,1.940496564,5.3689e-07,9.73768e-06,0.133486766,0.039158101,PTGES
STXBP1,0.398058861,5.5117e-07,9.98704e-06,0.425201381,0.330396476,STXBP1
FCF1,0.503921449,5.6223e-07,1.01776e-05,0.331990794,0.241311796,FCF1
RASSF1,1.00043869,5.6978e-07,1.02976e-05,0.20023015,0.10866373,RASSF1
CFAP36,0.482085615,5.69956e-07,1.02976e-05,0.370540852,0.280469897,CFAP36
PLRG1,0.588943779,5.9939e-07,1.0819e-05,0.289988493,0.195301028,PLRG1
CSF1,1.461447954,6.41286e-07,1.1553e-05,0.161680092,0.068526676,CSF1
RBM34,0.305760801,6.47803e-07,1.16592e-05,0.548906789,0.445912873,RBM34
TMEM50A,0.209328264,6.78271e-07,1.21959e-05,0.870540852,0.82329907,TMEM50A
ZCCHC10,0.711368799,6.92418e-07,1.24264e-05,0.242232451,0.148800783,ZCCHC10
SAMSN1,0.293769926,6.9922e-07,1.25365e-05,0.529919448,0.427802252,SAMSN1
MED13,0.312453985,7.49248e-07,1.34079e-05,0.52013809,0.418991679,MED13
CSNK2B,0.596384227,7.55833e-07,1.35129e-05,0.263521289,0.166911405,CSNK2B
SH3PXD2B,0.819846928,7.58215e-07,1.35425e-05,0.241081703,0.151248164,SH3PXD2B
PSMD2,0.276031673,7.73133e-07,1.37828e-05,0.653624856,0.558981889,PSMD2
NOL8,0.532305658,7.78606e-07,1.38672e-05,0.343498274,0.25256975,NOL8
MAP1LC3B,0.466921061,7.798e-07,1.38753e-05,0.30264672,0.207048458,MAP1LC3B
SUZ12,0.56437844,8.58863e-07,1.52387e-05,0.31990794,0.226627509,SUZ12
ACER3,0.659346879,8.7575e-07,1.5509e-05,0.211162255,0.115516397,ACER3
DNAJC2,0.575532794,9.10974e-07,1.61176e-05,0.288837745,0.198727362,DNAJC2
CCNL1,0.394059092,9.17104e-07,1.62091e-05,0.447065593,0.358296623,CCNL1
DTX2,0.399309039,9.4188e-07,1.66175e-05,0.407364787,0.313264807,DTX2
CCDC124,0.292149723,9.67888e-07,1.70603e-05,0.562140391,0.45814978,CCDC124
ETV6,0.856344879,1.00851e-06,1.77429e-05,0.210586881,0.117963779,ETV6
UBXN4,0.249124661,1.01196e-06,1.7787e-05,0.791139241,0.69114048,UBXN4
ACP1,0.250588685,1.03322e-06,1.81098e-05,0.630609896,0.544297602,ACP1
ADIPOR2,0.224522665,1.04481e-06,1.82958e-05,0.727272727,0.624571708,ADIPOR2
RAPGEF1,0.432347775,1.05467e-06,1.84342e-05,0.375719217,0.283896231,RAPGEF1
ROMO1,0.210098341,1.07656e-06,1.87817e-05,0.687571922,0.576603035,ROMO1
LRRC59,0.338311225,1.09754e-06,1.91301e-05,0.468929804,0.375428292,LRRC59
FBXL21,0.371890426,1.09887e-06,1.91355e-05,0.393555811,0.294664709,FBXL21
RBM5,0.252520472,1.11175e-06,1.93239e-05,0.650172612,0.552129222,RBM5
VAV3,0.377454311,1.12887e-06,1.96033e-05,0.520713464,0.439060206,VAV3
KIF5B,0.261369616,1.13435e-06,1.96802e-05,0.712888377,0.597650514,KIF5B
EFCAB14,0.246854648,1.19502e-06,2.07137e-05,0.571921749,0.468428781,EFCAB14
KXD1,0.29837957,1.23487e-06,2.13649e-05,0.532796318,0.432207538,KXD1
CORO1C,0.671364248,1.23897e-06,2.14161e-05,0.304948216,0.219285365,CORO1C
GPR84,1.464176774,1.25003e-06,2.15875e-05,0.136363636,0.044052863,GPR84
PRPF40A,0.280833364,1.2863e-06,2.21935e-05,0.608745685,0.495839452,PRPF40A
PPP1R8,0.761856377,1.29816e-06,2.23775e-05,0.235903337,0.144884973,PPP1R8
DLAT,0.277201474,1.30639e-06,2.24987e-05,0.533371692,0.435144395,DLAT
MBD1,0.265307873,1.33147e-06,2.29096e-05,0.527042578,0.424375918,MBD1
EIF3E,0.240574062,1.3497e-06,2.32019e-05,0.79689298,0.708761625,EIF3E
ARAP2,0.383628994,1.37547e-06,2.36234e-05,0.391829689,0.299069995,ARAP2
TMEM39A,0.594897032,1.41386e-06,2.42605e-05,0.252589183,0.161527166,TMEM39A
CWC22,0.457089633,1.42343e-06,2.44024e-05,0.365362486,0.275085658,CWC22
PHRF1,0.251438588,1.47035e-06,2.51608e-05,0.641542002,0.516397455,PHRF1
RCAN3,1.737505436,1.57104e-06,2.68348e-05,0.141542002,0.05237396,RCAN3
NR1H2,0.505475283,1.63403e-06,2.78602e-05,0.288262371,0.197748409,NR1H2
VCP,0.282235175,1.67135e-06,2.84705e-05,0.853279632,0.719530103,VCP
HNRNPL,0.250817508,1.71547e-06,2.91956e-05,0.562715765,0.453255017,HNRNPL
SLTM,0.343900114,1.73459e-06,2.94943e-05,0.443613349,0.348507097,SLTM
LONRF2,0.714814782,1.74494e-06,2.96166e-05,0.246260069,0.157611356,LONRF2
AP3S1,0.391739964,1.76123e-06,2.98661e-05,0.37456847,0.279490945,AP3S1
TRAF3,0.842399061,1.79066e-06,3.03377e-05,0.20598389,0.116984826,TRAF3
TOB2,0.495993406,1.81597e-06,3.07388e-05,0.325086306,0.234459129,TOB2
TMEM33,0.207252026,1.92824e-06,3.25805e-05,0.707134638,0.6020558,TMEM33
MAK16,0.386070549,1.93282e-06,3.26284e-05,0.373993096,0.283406755,MAK16
RPL34,0.210848629,1.96805e-06,3.31933e-05,0.947640967,0.905041605,RPL34
CSNK1G3,0.370402485,2.01296e-06,3.39203e-05,0.405638665,0.311306902,CSNK1G3
NDUFA9,0.267754942,2.40905e-06,4.04497e-05,0.638665132,0.539402839,NDUFA9
ACTR3,0.255922109,2.44235e-06,4.0972e-05,0.927502877,0.864415076,ACTR3
MAP7D1,0.267067313,2.55105e-06,4.27193e-05,0.623705409,0.520802741,MAP7D1
HMGB1,0.279765457,2.58831e-06,4.33046e-05,0.86881473,0.782183064,HMGB1
PRPF6,0.268218309,2.7958e-06,4.65612e-05,0.50287687,0.403817915,PRPF6
DNAJB9,0.38033855,2.79784e-06,4.65612e-05,0.378596087,0.288301517,DNAJB9
LTV1,0.341625005,2.92594e-06,4.84353e-05,0.449942463,0.366128243,LTV1
