pic_names,pic_logfoldchanges,pic_pvals,pic_pvals_adj,pic_pts,UNST_pts,1to1_bat_dragon
DNAL1,-0.089048862,0.938560437,1,0.033947066,0.032305433,DNAL1
MYO5B,0.233983472,0.938869588,1,0.006329114,0.004894763,MYO5B
VPS53_2,-0.005440592,0.938988494,1,0.02013809,0.018600098,no
PET117,0.648133516,0.939036058,1,0.006329114,0.004894763,PET117
PACRG,0.434394121,0.939131184,1,0.006329114,0.004894763,PACRG
SPAG1_1,-0.107325517,0.939143075,1,0.009781358,0.008321096,no
TENM2,0.586423695,0.939154966,1,0.006329114,0.004894763,TENM2
ACP5,0.242591158,0.939178748,1,0.006329114,0.004894763,ACP5
ORC5,0.188291147,0.939261985,1,0.032220944,0.030837004,ORC5
USP2,0.024586769,0.939654397,1,0.006329114,0.004894763,USP2
SETBP1,-0.40931496,0.939737638,1,0.016685846,0.015173764,SETBP1
HEXIM1,0.105391137,0.939868446,1,0.296317606,0.296133138,HEXIM1
GMNN,0.204772115,0.940070607,1,0.022439586,0.021047479,GMNN
SDHAF1,-0.096564785,0.940130067,1,0.006329114,0.004894763,SDHAF1
BAIAP2L1,1.436182976,0.940284665,1,0.00287687,0.001468429,BAIAP2L1
MFAP5,1.183809042,0.940308449,1,0.00287687,0.001468429,MFAP5
NAPRT,1.410320401,0.940308449,1,0.00287687,0.001468429,NAPRT
RAD51,1.23281014,0.940332234,1,0.00287687,0.001468429,RAD51
PLCL1,1.540362477,0.940332234,1,0.00287687,0.001468429,PLCL1
ENSVKKG00000016001,1.148963928,0.940356018,1,0.00287687,0.001468429,no
MAPK7_2,1.081173301,0.940356018,1,0.00287687,0.001468429,no
VWA5B2,1.243574619,0.940356018,1,0.00287687,0.001468429,VWA5B2
ENSVKKG00000015148,1.097226858,0.940356018,1,0.00287687,0.001468429,no
NFKBID,1.184134722,0.940379803,1,0.00287687,0.001468429,NFKBID
CENPW,0.90360415,0.940403587,1,0.00287687,0.001468429,CENPW
CDH23_1,1.922340155,0.940403587,1,0.00287687,0.001468429,no
LYL1,1.716695666,0.940403587,1,0.00287687,0.001468429,LYL1
WDR66,1.139146686,0.940427372,1,0.00287687,0.001468429,no
ANKRD53,0.688151836,0.940427372,1,0.00287687,0.001468429,ANKRD53
DUSP11,-0.031248586,0.940427372,1,0.071921749,0.069995105,DUSP11
LZTS1,1.301002979,0.940427372,1,0.00287687,0.001468429,LZTS1
DAPK2,0.644044638,0.940451157,1,0.00287687,0.001468429,DAPK2
PRSS55,1.037934899,0.940451157,1,0.00287687,0.001468429,PRSS55
MXI1,0.121622927,0.940474942,1,0.00287687,0.001468429,MXI1
TPPP,-0.037275266,0.940474942,1,0.00287687,0.001468429,TPPP
ENSVKKG00000011086,0.791548014,0.940474942,1,0.00287687,0.001468429,no
ADRA2A,0.767385006,0.940474942,1,0.00287687,0.001468429,ADRA2A
PDZD2,0.683682799,0.940474942,1,0.00287687,0.001468429,PDZD2
PHR_2,-0.0078333,0.940474942,1,0.00287687,0.001468429,no
ENSVKKG00000005795,-0.437163919,0.940498727,1,0.00287687,0.001468429,no
RASGRP1,0.376390189,0.940498727,1,0.00287687,0.001468429,RASGRP1
TDRP,0.672133267,0.940498727,1,0.00287687,0.001468429,TDRP
ENSVKKG00000016013,0.203683481,0.940522512,1,0.00287687,0.001468429,no
DNAI1_2,0.588228703,0.940522512,1,0.00287687,0.001468429,no
ENSVKKG00000006719,0.392031074,0.940522512,1,0.00287687,0.001468429,no
ADCY3,-0.387517035,0.940546296,1,0.00287687,0.001468429,ADCY3
PROSER2,-0.09417145,0.940546296,1,0.00287687,0.001468429,PROSER2
