	chicken_a_control_1	chicken_a_control_2	chicken_a_lps_4h	chicken_d_lps_4h
ENSGALG00010028752	2167	1141	2089	1065
ENSGALG00010028589	265	157	199	83
ENSGALG00010028587	37	36	43	11
ENSGALG00010028586	869	635	847	405
ENSGALG00010028585	2282	1531	2070	1148
ENSGALG00010030109	487	335	538	287
ENSGALG00010028582	413	288	269	163
ENSGALG00010028580	583	443	538	359
ENSGALG00010028579	76	26	60	29
ENSGALG00010028575	1743	1360	1804	970
ENSGALG00010028574	586	379	587	364
ENSGALG00010028573	30	26	116	9
ENSGALG00010028568	1663	969	1297	639
ENSGALG00010028565	291	160	244	147
ENSGALG00010028559	121	74	154	66
ENSGALG00010028553	20	13	26	3
ENSGALG00010028549	104	48	96	48
ENSGALG00010028536	1556	863	1391	710
ENSGALG00010028528	207	100	171	58
ENSGALG00010028525	3	3	0	0
ENSGALG00010028517	361	147	636	210
ENSGALG00010028514	6449	3792	6431	3563
ENSGALG00010028507	5135	1655	4775	1979
ENSGALG00010028505	3	5	6	0
ENSGALG00010028498	781	667	956	558
ENSGALG00010028497	21	9	28	19
ENSGALG00010028494	53	37	73	40
ENSGALG00010028490	4	2	16	1
ENSGALG00010028488	1	1	13	3
ENSGALG00010028487	21	11	29	17
ENSGALG00010028486	6423	3721	7641	3716
ENSGALG00010028485	1692	1254	2077	1175
ENSGALG00010028482	123	110	154	82
ENSGALG00010028481	280	144	290	113
ENSGALG00010028480	181	104	186	93
ENSGALG00010028478	2125	1144	2002	1235
ENSGALG00010028477	179	138	121	21
ENSGALG00010028476	1791	1224	1854	940
ENSGALG00010028473	822	1016	981	519
ENSGALG00010028471	178	112	180	91
ENSGALG00010028468	519	428	519	334
ENSGALG00010028467	1693	2467	2111	809
ENSGALG00010028466	18	10	23	7
ENSGALG00010028462	4461	3924	5489	3159
ENSGALG00010028461	10594	7066	21271	12211
ENSGALG00010028458	1700	937	3079	1394
ENSGALG00010028457	10	7	14	8
ENSGALG00010028455	3379	3268	3624	1453
ENSGALG00010028453	3167	3185	2875	1584
ENSGALG00010028449	29	35	38	17
ENSGALG00010028448	2854	2431	3129	1823
ENSGALG00010028447	3	6	2	0
ENSGALG00010028446	69	0	56	39
ENSGALG00010028440	2228	1583	2469	1413
ENSGALG00010029228	565	406	617	383
ENSGALG00010028439	362	308	469	282
ENSGALG00010028437	2244	1865	2191	1135
ENSGALG00010028432	274	201	434	265
ENSGALG00010028431	290	179	298	108
ENSGALG00010028429	1650	1364	1865	903
ENSGALG00010028428	1456	1199	1216	836
ENSGALG00010028425	399	308	423	245
ENSGALG00010028422	1017	648	725	410
ENSGALG00010028421	2521	2247	2806	1274
ENSGALG00010028415	360	287	391	210
ENSGALG00010028412	7385	7920	7141	2001
ENSGALG00010028399	1356	711	1316	623
ENSGALG00010028394	1639	1114	1645	837
ENSGALG00010028377	573	459	513	370
ENSGALG00010028372	1858	1771	1804	868
ENSGALG00010028346	878	434	881	644
ENSGALG00010028344	584	326	530	281
ENSGALG00010028339	10	11	10	1
ENSGALG00010028337	32	35	33	24
ENSGALG00010028322	140	80	146	75
ENSGALG00010028318	672	358	408	294
ENSGALG00010028262	1259	1173	1556	863
ENSGALG00010028232	398	269	415	224
ENSGALG00010028221	496	421	566	283
ENSGALG00010028208	13	5	8	5
ENSGALG00010028207	479	306	432	172
ENSGALG00010028205	100	76	52	17
ENSGALG00010029759	2950	2100	2327	1324
ENSGALG00010028202	617	316	662	425
ENSGALG00010028199	1622	1236	1560	888
ENSGALG00010028197	2654	2152	2869	1609
ENSGALG00010028192	1	5	9	5
ENSGALG00010028189	439	344	483	293
ENSGALG00010028188	556	411	691	342
ENSGALG00010028187	1197	754	1147	670
ENSGALG00010028186	3239	2270	3644	1888
ENSGALG00010028185	1714	973	1767	992
ENSGALG00010028184	497	253	502	279
ENSGALG00010028181	232	143	226	102
ENSGALG00010028178	18	3	4	4
ENSGALG00010028176	4031	2797	3690	2685
ENSGALG00010028174	1531	787	1456	837
ENSGALG00010028173	313	152	297	123
ENSGALG00010028172	315	162	309	130
ENSGALG00010028170	2103	1266	2243	1268
ENSGALG00010004016	0	8	7	4
ENSGALG00010028165	1391	1415	1690	834
ENSGALG00010028164	329	263	481	255
ENSGALG00010028159	1275	1166	1345	882
ENSGALG00010028155	1044	648	1040	607
ENSGALG00010028153	2716	1903	2743	1632
ENSGALG00010028150	715	554	815	416
ENSGALG00010028149	697	610	648	380
ENSGALG00010028148	371	251	258	219
ENSGALG00010028147	308	153	318	151
ENSGALG00010028145	124	104	142	78
ENSGALG00010028139	2074	1485	2218	1157
ENSGALG00010028138	69	50	80	27
ENSGALG00010028134	557	409	640	391
ENSGALG00010028133	104	44	100	39
ENSGALG00010028129	843	526	941	449
ENSGALG00010028128	3815	2531	3207	1989
ENSGALG00010028127	3521	2348	6347	4631
ENSGALG00010028124	421	276	349	197
ENSGALG00010028121	1030	732	1019	639
ENSGALG00010028120	1614	2191	1858	716
ENSGALG00010028116	381	229	251	208
ENSGALG00010028115	4144	5018	4775	2316
ENSGALG00010028113	888	1077	953	540
ENSGALG00010028110	1392	899	1185	838
ENSGALG00010028105	1400	822	1636	1094
ENSGALG00010028103	724	437	822	451
ENSGALG00010028100	6	2	6	3
ENSGALG00010028093	180	97	130	113
ENSGALG00010028092	20	10	20	10
ENSGALG00010028091	310	183	360	152
ENSGALG00010028089	202	157	127	46
ENSGALG00010028088	923	326	799	330
ENSGALG00010028086	3003	2535	2291	921
ENSGALG00010028084	41	10	87	145
ENSGALG00010028083	2978	1893	2614	1366
ENSGALG00010028078	1405	1007	1203	1159
ENSGALG00010028071	484	319	493	270
ENSGALG00010028068	374	212	384	195
ENSGALG00010028066	479	432	473	164
ENSGALG00010028064	1279	869	1437	788
ENSGALG00010028062	163	137	189	73
ENSGALG00010028058	452	258	381	196
ENSGALG00010028056	1897	1269	1996	908
ENSGALG00010028054	5328	4676	6177	3473
ENSGALG00010028050	1958	1219	1844	1040
ENSGALG00010028049	2228	1306	1856	1355
ENSGALG00010028048	2388	2541	2963	1650
ENSGALG00010028047	176	119	138	87
ENSGALG00010028044	28	19	28	10
ENSGALG00010028042	3180	2001	3143	1870
ENSGALG00010028041	37	27	41	24
ENSGALG00010028036	1624	996	1599	849
ENSGALG00010028746	926	537	739	406
ENSGALG00010028033	112	71	116	46
ENSGALG00010028738	686	434	857	339
ENSGALG00010028030	784	505	834	538
ENSGALG00010028029	9	4	16	10
ENSGALG00010028025	6	6	5	2
ENSGALG00010028024	5594	3353	5269	2365
ENSGALG00010028023	5	4	10	0
ENSGALG00010028022	1118	679	1204	693
ENSGALG00010028019	3538	3500	4539	2444
ENSGALG00010028014	45	0	58	57
ENSGALG00010028013	506	246	394	146
ENSGALG00010028012	1	2	4	4
ENSGALG00010028011	83	66	87	40
ENSGALG00010028009	569	366	665	343
ENSGALG00010028003	4	1	10	3
ENSGALG00010028002	2108	1122	1876	1238
ENSGALG00010027999	99	90	82	69
ENSGALG00010027998	1695	1379	1798	1163
ENSGALG00010027997	15	0	8	0
ENSGALG00010027996	5038	3998	3794	2575
ENSGALG00010027993	7	4	12	7
ENSGALG00010027988	339	103	301	167
ENSGALG00010027987	203	112	203	114
ENSGALG00010027986	33	34	55	11
ENSGALG00010027984	20505	19130	20235	10134
ENSGALG00010027981	3162	2290	3480	1831
ENSGALG00010028074	528	206	966	553
ENSGALG00010027979	6064	4254	6941	3618
ENSGALG00010027975	599	272	370	221
ENSGALG00010027974	253	287	214	94
ENSGALG00010027972	1404	1251	1486	829
ENSGALG00010027965	3087	2226	2601	1635
ENSGALG00010027964	348	201	404	224
ENSGALG00010027962	1094	799	1109	558
ENSGALG00010027961	23	24	6	1
ENSGALG00010027955	4149	2184	4016	1826
ENSGALG00010027952	2	2	2	1
ENSGALG00010027949	11	6	5	4
ENSGALG00010027947	3981	4516	4863	2191
ENSGALG00010027946	1940	956	1908	979
ENSGALG00010027941	7167	3413	7096	3416
ENSGALG00010027940	316	183	427	353
ENSGALG00010027939	21	14	33	4
ENSGALG00010027935	518	417	505	249
ENSGALG00010028512	1060	734	1080	673
ENSGALG00010027932	569	277	676	374
ENSGALG00010027927	2598	2278	3086	1810
ENSGALG00010027923	1136	718	1064	553
ENSGALG00010027922	2990	2678	3021	1742
ENSGALG00010027918	1994	1556	2222	987
ENSGALG00010027915	1234	781	1155	589
ENSGALG00010028649	342	182	391	153
ENSGALG00010027914	887	656	1089	675
ENSGALG00010027910	58	42	65	32
ENSGALG00010027909	109	57	80	54
ENSGALG00010027908	3255	1966	2977	1124
ENSGALG00010027907	7949	8616	10188	3649
ENSGALG00010027905	16	6	30	30
ENSGALG00010027901	1265	1042	1599	784
ENSGALG00010027899	485	216	393	117
ENSGALG00010027896	1720	1789	2122	1376
ENSGALG00010027888	651	481	1255	757
ENSGALG00010027887	16	3	13	3
ENSGALG00010027885	891	572	962	513
ENSGALG00010027880	63	63	62	31
ENSGALG00010027877	14741	7497	16143	7938
ENSGALG00010027876	1370	883	1601	1117
ENSGALG00010027870	833	497	856	433
ENSGALG00010027869	159	92	186	223
ENSGALG00010029399	5458	3330	5113	2429
ENSGALG00010027867	3673	2723	3701	2163
ENSGALG00010027861	536	433	519	373
ENSGALG00010027860	7	7	12	6
ENSGALG00010027847	5	7	7	1
ENSGALG00010027838	3	0	2	4
ENSGALG00010027821	759	712	724	186
ENSGALG00010027816	310	188	312	177
ENSGALG00010027813	93	137	93	39
ENSGALG00010027811	588	450	538	277
ENSGALG00010027808	0	0	8	2
ENSGALG00010027801	204	117	175	89
ENSGALG00010027784	2091	2630	2499	1143
ENSGALG00010027752	477	304	442	289
ENSGALG00010028442	3112	2107	3323	1669
ENSGALG00010027751	0	0	30	31
ENSGALG00010027747	2	4	0	6
ENSGALG00010027745	3568	2031	3436	1353
ENSGALG00010027743	30	22	27	24
ENSGALG00010027741	3297	2695	3114	1565
ENSGALG00010027740	1489	1519	1866	762
ENSGALG00010027738	15	19	23	16
ENSGALG00010027727	1505	1034	1420	717
ENSGALG00010027725	1057	646	1137	472
ENSGALG00010027722	8493	6905	8333	4804
ENSGALG00010027721	287	186	358	129
ENSGALG00010027718	406	265	384	188
ENSGALG00010027713	715	518	759	600
ENSGALG00010027712	1072	475	965	362
ENSGALG00010027709	1824	1398	2360	1516
ENSGALG00010027708	1447	1285	1400	498
ENSGALG00010027706	5418	5659	6279	3169
ENSGALG00010027702	240	124	251	180
ENSGALG00010027701	11	17	13	6
ENSGALG00010027699	325	159	421	212
ENSGALG00010027697	265	0	358	3
ENSGALG00010027695	465	398	626	510
ENSGALG00010027693	5248	2628	5193	2805
ENSGALG00010027692	1266	1259	1480	650
ENSGALG00010027668	1912	1392	2045	1250
ENSGALG00010027665	686	500	713	359
ENSGALG00010027653	3	3	1	0
ENSGALG00010027648	1260	744	1061	550
ENSGALG00010028154	192	125	169	92
ENSGALG00010027641	279	181	294	177
ENSGALG00010027639	0	2	5	3
ENSGALG00010027929	1539	1104	1549	812
ENSGALG00010027636	49	18	440	203
ENSGALG00010027634	1261	449	1280	603
ENSGALG00010027626	36	4	37	11
ENSGALG00010027619	4633	2674	4960	2036
ENSGALG00010027618	788	389	724	470
ENSGALG00010027616	1	0	2	3
ENSGALG00010028157	3282	2490	2413	1173
ENSGALG00010027611	48	32	38	20
ENSGALG00010027605	2600	1626	2933	1653
ENSGALG00010027593	11	5	8	2
ENSGALG00010027592	2894	2275	2817	1488
ENSGALG00010027584	44	16	39	11
ENSGALG00010027578	8243	5831	6838	3493
ENSGALG00010027577	36	23	55	15
ENSGALG00010029459	5	0	6	0
ENSGALG00010027574	2199	1101	1895	796
ENSGALG00010027570	2513	1796	2800	1533
ENSGALG00010027569	4464	2740	5175	3022
ENSGALG00010027567	353	225	338	252
ENSGALG00010027562	307	164	337	176
ENSGALG00010027561	23	13	28	13
ENSGALG00010027553	13	9	12	7
ENSGALG00010027547	1048	807	1107	615
ENSGALG00010029736	33691	35157	45917	30776
ENSGALG00010027540	311	138	269	134
ENSGALG00010027539	127	90	131	126
ENSGALG00010027538	94	57	105	76
ENSGALG00010027537	1389	967	1501	774
ENSGALG00010027536	206	191	200	114
ENSGALG00010027529	381	261	392	256
ENSGALG00010027522	885	583	932	570
ENSGALG00010027520	200	72	222	67
ENSGALG00010027516	397	329	555	525
ENSGALG00010027511	1045	844	1005	652
ENSGALG00010027499	1412	1065	2132	1182
ENSGALG00010027490	6497	3934	3085	1771
ENSGALG00010027479	23	20	24	12
ENSGALG00010027475	1795	1198	2008	679
ENSGALG00010027468	9475	9573	9164	5370
ENSGALG00010027448	1	2	3	0
ENSGALG00010027444	61	50	82	28
ENSGALG00010027440	4779	3795	5638	3301
ENSGALG00010027427	1103	700	1085	519
ENSGALG00010027423	320	109	343	207
ENSGALG00010028183	897	1008	770	443
ENSGALG00010027412	87	124	133	81
ENSGALG00010027803	125	120	133	72
ENSGALG00010027402	1101	766	1138	753
ENSGALG00010027397	900	784	1051	528
ENSGALG00010027395	28	23	24	17
ENSGALG00010027394	1691	1109	1266	891
ENSGALG00010027387	27	24	25	13
ENSGALG00010027382	35	12	94	27
ENSGALG00010027380	5596	4364	6487	3460
ENSGALG00010027377	10	1	6	3
ENSGALG00010027376	1022	771	851	521
ENSGALG00010027371	61	3	54	1
ENSGALG00010027370	238	264	223	93
ENSGALG00010027369	1638	1373	1711	1034
ENSGALG00010027366	2071	1460	2004	1215
ENSGALG00010027365	1	1	3	8
ENSGALG00010027364	22	12	59	12
ENSGALG00010027898	2135	1378	1863	1006
ENSGALG00010027363	7	3	3	0
ENSGALG00010027362	3085	2581	4005	2423
ENSGALG00010027361	1751	1365	1839	1155
ENSGALG00010027356	2356	1840	2301	735
ENSGALG00010027348	252	127	158	63
ENSGALG00010028484	112	137	155	66
ENSGALG00010027341	355	225	308	114
ENSGALG00010027340	35	16	80	67
ENSGALG00010027339	894	715	1059	625
ENSGALG00010027336	1051	703	1027	667
ENSGALG00010027332	3267	2382	3364	1702
ENSGALG00010027327	1295	1106	1441	879
ENSGALG00010027326	1286	805	1382	733
