	chicken_a_control_1	chicken_a_control_2	chicken_a_pic_4h	chicken_d_pic_4h
ENSGALG00010029572	130	94	95	93
ENSGALG00010029570	574	412	372	476
ENSGALG00010029567	729	374	426	314
ENSGALG00010029566	325	134	182	177
ENSGALG00010029562	929	313	40265	30830
ENSGALG00010029659	878	330	387	257
ENSGALG00010029561	1389	852	735	582
ENSGALG00010029556	3	0	5	1
ENSGALG00010029551	17	19	590	168
ENSGALG00010029548	287	154	195	153
ENSGALG00010029546	6195	4347	6353	6062
ENSGALG00010029541	637	331	182	108
ENSGALG00010029538	12	10	14	11
ENSGALG00010029534	1973	1488	1148	1171
ENSGALG00010029533	180	80	20	6
ENSGALG00010029532	1119	447	1941	1207
ENSGALG00010029531	615	404	172	156
ENSGALG00010029529	688	526	434	558
ENSGALG00010029526	1221	1052	804	792
ENSGALG00010029519	133	77	38	37
ENSGALG00010029516	7	10	13	7
ENSGALG00010029515	2158	1600	1176	1175
ENSGALG00010029514	438	314	190	146
ENSGALG00010029513	360	195	150	123
ENSGALG00010029512	48	83	7	9
ENSGALG00010029510	8	15	18	10
ENSGALG00010029509	140	70	46	49
ENSGALG00010029508	174	99	93	75
ENSGALG00010029507	52	19	7	22
ENSGALG00010029506	73	54	42	60
ENSGALG00010029501	278	222	192	124
ENSGALG00010029500	0	3	0	3
ENSGALG00010029495	3460	3690	3337	1667
ENSGALG00010029491	142	157	81	56
ENSGALG00010029487	277	169	1230	1149
ENSGALG00010029481	359	439	165	210
ENSGALG00010029477	1263	886	898	860
ENSGALG00010029476	4	7	1	4
ENSGALG00010029473	821	671	609	531
ENSGALG00010029472	9	3	0	19
ENSGALG00010029456	275	134	728	211
ENSGALG00010029454	90	20	120	47
ENSGALG00010029451	512	520	228	215
ENSGALG00010029449	1018	757	1880	1389
ENSGALG00010029447	8	5	87	61
ENSGALG00010029446	646	531	949	933
ENSGALG00010029436	2082	1496	1953	1115
ENSGALG00010029427	46	41	13	29
ENSGALG00010029424	76	36	30	23
ENSGALG00010029423	777	584	532	279
ENSGALG00010029413	327	200	156	125
ENSGALG00010029411	1	3	1	4
ENSGALG00010029406	267	149	153	98
ENSGALG00010029404	93	58	36	29
ENSGALG00010029402	2048	1678	1494	1248
ENSGALG00010029401	25	44	51	52
ENSGALG00010029398	2107	1515	834	518
ENSGALG00010029397	185	134	155	102
ENSGALG00010029396	1213	1067	938	662
ENSGALG00010029395	306	182	148	123
ENSGALG00010029391	254	167	153	146
ENSGALG00010029390	1077	687	544	496
ENSGALG00010029388	2	1	11	5
ENSGALG00010029387	0	1	4	9
ENSGALG00010029384	1975	1352	612	401
ENSGALG00010029383	4831	2642	4036	4357
ENSGALG00010029382	49	25	59	29
ENSGALG00010029378	5	5	9	11
ENSGALG00010029375	1148	810	1064	1063
ENSGALG00010029373	26	6	19	8
ENSGALG00010029372	51	46	37	36
ENSGALG00010029367	224	117	147	119
ENSGALG00010029362	208	162	147	83
ENSGALG00010029359	5	6	10	2
ENSGALG00010029357	15072	11417	7228	3382
ENSGALG00010029354	100	92	53	39
ENSGALG00010029350	1286	828	608	498
ENSGALG00010029348	6799	5646	5149	3152
ENSGALG00010029347	9160	6748	5711	4509
ENSGALG00010029346	86	46	80	58
ENSGALG00010029345	306	229	671	428
ENSGALG00010029342	709	562	544	417
ENSGALG00010029341	8129	6027	4770	4683
ENSGALG00010029340	2121	1661	2433	1725
ENSGALG00010029338	1094	531	677	710
ENSGALG00010029336	3637	1955	1733	846
ENSGALG00010029331	76	11	222	131
ENSGALG00010029327	1762	1053	1178	1162
ENSGALG00010029325	96	52	21	7
ENSGALG00010029324	398	245	199	219
ENSGALG00010029323	971	471	722	599
ENSGALG00010029322	4009	2988	2915	3000
ENSGALG00010029321	17	8	9	16
ENSGALG00010029315	1617	1311	1291	1302
ENSGALG00010029311	66	63	47	27
ENSGALG00010029597	1189	799	984	614
ENSGALG00010029310	712	562	380	367
ENSGALG00010029344	5321	3957	5071	3134
ENSGALG00010029309	57	28	48	40
ENSGALG00010029307	1893	987	1446	600
ENSGALG00010029305	154	67	77	106
ENSGALG00010029304	801	729	431	370
ENSGALG00010029303	875	536	1494	1021
ENSGALG00010029301	9721	7745	121963	101532
ENSGALG00010029300	3	13	19	12
ENSGALG00010029298	351	277	2078	1685
ENSGALG00010029295	274	87	7080	4544
ENSGALG00010029294	709	460	2077	1464
ENSGALG00010029292	33	12	26	21
ENSGALG00010029290	1684	1128	867	903
ENSGALG00010029284	9467	7400	8624	6608
ENSGALG00010029281	942	522	475	609
ENSGALG00010029280	1295	882	471	300
ENSGALG00010029275	1737	1540	1060	1039
ENSGALG00010029274	1712	530	2157	1556
ENSGALG00010029273	0	2	2	0
ENSGALG00010029271	7	1	8	1
ENSGALG00010029270	4012	2865	1740	2620
ENSGALG00010029269	296	157	50	98
ENSGALG00010029266	546	310	224	165
ENSGALG00010029264	5	2	6	7
ENSGALG00010029261	111	60	61	60
ENSGALG00010029259	391	277	230	166
ENSGALG00010029255	2885	3203	1323	1949
ENSGALG00010029252	385	284	191	140
ENSGALG00010029251	135	60	57	80
ENSGALG00010029250	1773	1195	1040	1108
ENSGALG00010029248	2303	1716	1263	775
ENSGALG00010029245	486	341	334	250
ENSGALG00010029242	826	575	581	555
ENSGALG00010029241	11	7	20	11
ENSGALG00010029385	1435	1503	1180	902
ENSGALG00010029227	641	434	313	297
ENSGALG00010029224	1148	871	649	678
ENSGALG00010029223	3874	2957	2241	1525
ENSGALG00010029221	106	42	74	65
ENSGALG00010029218	8974	7705	8686	5078
ENSGALG00010029217	152	54	100	90
ENSGALG00010029216	34	23	20	14
ENSGALG00010029212	5130	4980	3546	3164
ENSGALG00010029210	20	21	16	13
ENSGALG00010029207	66	40	56	27
ENSGALG00010029203	16684	13339	10418	6293
ENSGALG00010029200	1138	528	663	447
ENSGALG00010029198	1016	872	2478	2000
ENSGALG00010029233	10	4	3	0
ENSGALG00010029196	125	62	41	46
ENSGALG00010029194	60	40	35	43
ENSGALG00010029187	10359	8769	9031	8401
ENSGALG00010029186	396	282	245	249
ENSGALG00010029181	211	154	114	133
ENSGALG00010029179	108	50	43	63
ENSGALG00010029175	372	224	188	160
ENSGALG00010029172	491	419	386	414
ENSGALG00010029170	226	190	91	69
ENSGALG00010029169	1165	787	917	663
ENSGALG00010029164	367	209	159	124
ENSGALG00010029163	2500	1633	1259	1171
ENSGALG00010029162	74	87	52	61
ENSGALG00010029158	646	451	1729	1238
ENSGALG00010029151	2874	1986	1832	1559
ENSGALG00010029150	10871	5413	3496	2249
ENSGALG00010029149	45	40	5	3
ENSGALG00010029146	3521	1838	2258	1548
ENSGALG00010029143	450	281	182	121
ENSGALG00010029140	82	38	70	53
ENSGALG00010028926	210	152	89	11
ENSGALG00010028924	316	171	152	160
ENSGALG00010028923	1243	495	1862	1233
ENSGALG00010028922	7	10	16	8
ENSGALG00010028921	178	103	81	77
ENSGALG00010028916	1	3	10	5
ENSGALG00010028915	10	5	4	0
ENSGALG00010029463	9	19	8	3
ENSGALG00010028914	2279	1343	2091	1854
ENSGALG00010028909	129	61	32	22
ENSGALG00010028901	7	5	12	18
ENSGALG00010028900	2	0	1	3
ENSGALG00010028898	54	11	459	133
ENSGALG00010028897	4234	2417	2179	820
ENSGALG00010028896	7087	4643	4097	1613
ENSGALG00010028893	4356	4403	3708	3174
ENSGALG00010028890	2	0	4	0
ENSGALG00010028887	2917	2329	2762	2130
ENSGALG00010028885	1180	1057	719	886
ENSGALG00010028875	305	215	196	155
ENSGALG00010028874	0	1	2	34
ENSGALG00010028872	1075	502	4911	2911
ENSGALG00010028871	1008	713	824	590
ENSGALG00010028870	146	43	56	71
ENSGALG00010028869	22	24	43	67
ENSGALG00010028860	253	190	159	124
ENSGALG00010028856	2460	1901	1748	1323
ENSGALG00010028854	10867	8592	9984	5268
ENSGALG00010028849	0	2	3	4
ENSGALG00010028833	343	193	308	165
ENSGALG00010028829	241	191	229	181
ENSGALG00010028818	4513	4094	2433	2593
ENSGALG00010028783	479	324	306	274
ENSGALG00010028782	7	3	6	4
ENSGALG00010028772	857	488	595	417
ENSGALG00010028771	1918	1254	2938	2285
ENSGALG00010028768	55	45	138	179
ENSGALG00010028763	38028	40367	18740	3208
ENSGALG00010028753	46	56	54	87
ENSGALG00010028751	3436	2366	1680	1105
ENSGALG00010028745	1173	808	697	658
ENSGALG00010028743	780	431	2647	2295
ENSGALG00010029343	1886	1294	1307	546
ENSGALG00010028735	33	15	12	6
ENSGALG00010028734	20	15	3	2
ENSGALG00010028695	6	9	76	61
ENSGALG00010028678	3	0	3	78
ENSGALG00010028675	740	349	485	513
ENSGALG00010028671	6	3	7	17
ENSGALG00010028669	1027	353	587	741
ENSGALG00010028658	1339	909	754	629
ENSGALG00010028626	1577	935	709	579
ENSGALG00010028613	216	134	22	23
ENSGALG00010028612	1	2	3	1
ENSGALG00010028611	1	0	2	2
ENSGALG00010028614	6	3	3	1
ENSGALG00010028610	851	562	19206	14550
ENSGALG00010028605	134	80	148	107
ENSGALG00010028604	3215	2588	1994	1625
ENSGALG00010028603	432	293	204	150
ENSGALG00010028601	708	292	1082	429
ENSGALG00010028596	2766	2143	2926	2400
ENSGALG00010028594	191	111	109	102
ENSGALG00010028593	414	341	210	135
ENSGALG00010028591	214	120	104	108
ENSGALG00010028590	3777	2938	2953	2056
ENSGALG00010028752	2167	1141	1860	2500
ENSGALG00010028589	265	157	176	123
ENSGALG00010028587	37	36	51	20
ENSGALG00010028586	869	635	453	326
ENSGALG00010028585	2282	1531	937	800
ENSGALG00010030109	487	335	276	194
ENSGALG00010028582	413	288	101	54
ENSGALG00010028580	583	443	238	265
ENSGALG00010028579	76	26	44	70
ENSGALG00010028575	1743	1360	1081	822
ENSGALG00010028574	586	379	234	161
ENSGALG00010028573	30	26	100	9
ENSGALG00010028568	1663	969	886	728
ENSGALG00010028565	291	160	101	33
ENSGALG00010028559	121	74	39	24
ENSGALG00010028553	20	13	71	35
ENSGALG00010028549	104	48	29	15
ENSGALG00010028536	1556	863	867	765
ENSGALG00010028528	207	100	85	115
ENSGALG00010028525	3	3	0	0
ENSGALG00010028517	361	147	199	89
ENSGALG00010028514	6449	3792	3536	2720
ENSGALG00010028507	5135	1655	2096	2353
ENSGALG00010028505	3	5	12	11
ENSGALG00010028498	781	667	1289	926
ENSGALG00010028497	21	9	139	117
ENSGALG00010028494	53	37	37	25
ENSGALG00010028490	4	2	5	0
ENSGALG00010028488	1	1	136	76
ENSGALG00010028487	21	11	56	40
ENSGALG00010028486	6423	3721	3223	2578
ENSGALG00010028485	1692	1254	1260	1053
ENSGALG00010028482	123	110	39	44
ENSGALG00010028481	280	144	160	133
ENSGALG00010028480	181	104	98	82
ENSGALG00010028478	2125	1144	3408	2400
ENSGALG00010028477	179	138	168	79
ENSGALG00010028476	1791	1224	1242	940
ENSGALG00010028473	822	1016	296	351
ENSGALG00010028471	178	112	84	68
ENSGALG00010028468	519	428	230	194
ENSGALG00010028467	1693	2467	3227	2060
ENSGALG00010028466	18	10	5	26
ENSGALG00010028462	4461	3924	3589	3023
ENSGALG00010028461	10594	7066	12319	6117
ENSGALG00010028458	1700	937	4819	3470
ENSGALG00010028457	10	7	16	4
ENSGALG00010028455	3379	3268	2898	2026
ENSGALG00010028453	3167	3185	1430	1655
ENSGALG00010028449	29	35	42	29
ENSGALG00010028448	2854	2431	3083	2646
ENSGALG00010028447	3	6	2	0
ENSGALG00010028446	69	0	24	47
ENSGALG00010028441	1	0	34	29
ENSGALG00010028440	2228	1583	1495	765
ENSGALG00010029228	565	406	453	384
ENSGALG00010028439	362	308	245	135
ENSGALG00010028437	2244	1865	1363	1153
ENSGALG00010028434	1	1	4	4
ENSGALG00010028432	274	201	135	73
ENSGALG00010028431	290	179	114	42
ENSGALG00010028429	1650	1364	1411	1067
ENSGALG00010028428	1456	1199	799	707
ENSGALG00010028425	399	308	196	173
ENSGALG00010028422	1017	648	391	199
ENSGALG00010028421	2521	2247	2472	1906
ENSGALG00010028415	360	287	280	198
ENSGALG00010028414	0	1	5	3
ENSGALG00010028412	7385	7920	4652	974
ENSGALG00010028399	1356	711	774	724
ENSGALG00010028394	1639	1114	1165	1360
ENSGALG00010028384	0	0	3	2
ENSGALG00010028377	573	459	294	310
ENSGALG00010028372	1858	1771	738	1028
ENSGALG00010028362	2	0	2	0
ENSGALG00010028346	878	434	517	380
ENSGALG00010028344	584	326	402	321
ENSGALG00010028339	10	11	12	6
ENSGALG00010028337	32	35	58	40
ENSGALG00010028322	140	80	179	203
ENSGALG00010028318	672	358	902	645
ENSGALG00010028262	1259	1173	1004	707
ENSGALG00010028232	398	269	177	172
ENSGALG00010028221	496	421	113	91
ENSGALG00010028208	13	5	7	18
ENSGALG00010028207	479	306	316	157
ENSGALG00010028205	100	76	24	18
ENSGALG00010029759	2950	2100	1492	989
ENSGALG00010028202	617	316	304	228
ENSGALG00010028199	1622	1236	856	747
ENSGALG00010028197	2654	2152	2059	1950
ENSGALG00010028192	1	5	15	4
ENSGALG00010028189	439	344	381	311
ENSGALG00010028188	556	411	322	186
ENSGALG00010028187	1197	754	844	779
ENSGALG00010028186	3239	2270	1533	1183
ENSGALG00010028185	1714	973	755	551
ENSGALG00010028184	497	253	296	242
ENSGALG00010028181	232	143	138	98
ENSGALG00010028178	18	3	3	6
ENSGALG00010028176	4031	2797	2350	2209
ENSGALG00010028174	1531	787	630	383
ENSGALG00010028173	313	152	139	126
ENSGALG00010028172	315	162	146	123
ENSGALG00010028170	2103	1266	983	517
ENSGALG00010004016	0	8	21	8
ENSGALG00010028165	1391	1415	4534	3348
ENSGALG00010028164	329	263	178	149
ENSGALG00010028159	1275	1166	1949	1732
ENSGALG00010028155	1044	648	536	315
ENSGALG00010028153	2716	1903	1142	782
ENSGALG00010028150	715	554	448	362
ENSGALG00010028149	697	610	367	395
ENSGALG00010028148	371	251	111	45
ENSGALG00010028147	308	153	94	134
ENSGALG00010028145	124	104	77	72
ENSGALG00010028139	2074	1485	2032	1699
ENSGALG00010028138	69	50	269	188
ENSGALG00010028134	557	409	401	375
ENSGALG00010028133	104	44	139	50
ENSGALG00010028129	843	526	506	475
ENSGALG00010028128	3815	2531	1086	532
ENSGALG00010028127	3521	2348	2794	783
ENSGALG00010028124	421	276	202	259
ENSGALG00010028121	1030	732	611	496
ENSGALG00010028120	1614	2191	1571	1232
ENSGALG00010028116	381	229	114	133
ENSGALG00010028115	4144	5018	7083	5232
ENSGALG00010028113	888	1077	674	533
ENSGALG00010028110	1392	899	451	509
ENSGALG00010028105	1400	822	980	514
ENSGALG00010028103	724	437	455	333
ENSGALG00010028100	6	2	8	7
ENSGALG00010028093	180	97	119	106
ENSGALG00010028092	20	10	22	14
ENSGALG00010028091	310	183	98	105
ENSGALG00010028089	202	157	118	109
ENSGALG00010028088	923	326	415	257
ENSGALG00010028086	3003	2535	2224	985
ENSGALG00010028084	41	10	4	5
ENSGALG00010028083	2978	1893	1631	1594
ENSGALG00010028078	1405	1007	551	502
ENSGALG00010028071	484	319	263	198
ENSGALG00010028068	374	212	321	264
ENSGALG00010028066	479	432	427	335
ENSGALG00010028064	1279	869	748	444
ENSGALG00010028062	163	137	87	51
ENSGALG00010028058	452	258	112	91
ENSGALG00010028056	1897	1269	2550	1613
ENSGALG00010028054	5328	4676	5406	3208
ENSGALG00010028050	1958	1219	1427	1207
ENSGALG00010028049	2228	1306	1124	984
ENSGALG00010028048	2388	2541	1841	767
ENSGALG00010028047	176	119	103	78
ENSGALG00010028044	28	19	66	51
ENSGALG00010028042	3180	2001	1292	661
ENSGALG00010028041	37	27	32	19
ENSGALG00010028036	1624	996	1305	829
ENSGALG00010028746	926	537	355	296
ENSGALG00010028033	112	71	88	62
ENSGALG00010028738	686	434	1545	878
ENSGALG00010028030	784	505	555	488
ENSGALG00010028029	9	4	4	4
ENSGALG00010028025	6	6	7	9
ENSGALG00010028024	5594	3353	4454	3768
ENSGALG00010028023	5	4	52	8
ENSGALG00010028022	1118	679	969	747
ENSGALG00010028019	3538	3500	4504	2468
ENSGALG00010028014	45	0	22	33
ENSGALG00010028013	506	246	199	111
ENSGALG00010028012	1	2	31	10
ENSGALG00010028011	83	66	89	53
ENSGALG00010028009	569	366	355	284
ENSGALG00010028003	4	1	15	21
ENSGALG00010028002	2108	1122	908	982
ENSGALG00010027999	99	90	94	127
ENSGALG00010027998	1695	1379	1133	772
ENSGALG00010027997	15	0	21	30
ENSGALG00010027996	5038	3998	1610	856
ENSGALG00010027993	7	4	6	6
ENSGALG00010027988	339	103	232	345
ENSGALG00010027987	203	112	69	52
ENSGALG00010027986	33	34	36	27
ENSGALG00010027984	20505	19130	11097	11034
ENSGALG00010027981	3162	2290	1353	992
ENSGALG00010028074	528	206	1006	651
ENSGALG00010027979	6064	4254	5025	3027
ENSGALG00010027975	599	272	110	71
ENSGALG00010027974	253	287	142	120
ENSGALG00010027972	1404	1251	794	658
ENSGALG00010027965	3087	2226	1686	1209
ENSGALG00010027964	348	201	280	206
ENSGALG00010027962	1094	799	498	356
ENSGALG00010027961	23	24	4	2
ENSGALG00010027955	4149	2184	1789	1398
ENSGALG00010027952	2	2	1	3
ENSGALG00010027949	11	6	1	3
ENSGALG00010027947	3981	4516	2799	2777
ENSGALG00010027946	1940	956	1001	818
ENSGALG00010027941	7167	3413	3042	3002
ENSGALG00010027940	316	183	499	281
ENSGALG00010027939	21	14	8	11
ENSGALG00010027935	518	417	330	318
ENSGALG00010028512	1060	734	741	509
ENSGALG00010027932	569	277	308	272
ENSGALG00010027927	2598	2278	1821	1244
ENSGALG00010027923	1136	718	894	696
ENSGALG00010027922	2990	2678	1266	1019
ENSGALG00010027918	1994	1556	2035	1497
ENSGALG00010027915	1234	781	826	363
ENSGALG00010028649	342	182	358	217
ENSGALG00010027914	887	656	653	453
ENSGALG00010027910	58	42	82	58
ENSGALG00010027909	109	57	29	23
ENSGALG00010027908	3255	1966	2073	1756
ENSGALG00010027907	7949	8616	11858	7553
ENSGALG00010027905	16	6	1	9
ENSGALG00010027901	1265	1042	1323	917
ENSGALG00010027899	485	216	210	200
ENSGALG00010027896	1720	1789	4523	3382
ENSGALG00010027888	651	481	469	303
ENSGALG00010027887	16	3	30	5
ENSGALG00010027885	891	572	594	466
ENSGALG00010027880	63	63	65	58
ENSGALG00010027877	14741	7497	22737	11923
ENSGALG00010027876	1370	883	1150	862
ENSGALG00010027870	833	497	472	367
ENSGALG00010027869	159	92	174	127
ENSGALG00010029399	5458	3330	5064	4769
ENSGALG00010027867	3673	2723	2586	1972
ENSGALG00010027861	536	433	219	223
ENSGALG00010027860	7	7	18	16
ENSGALG00010027847	5	7	5	6
ENSGALG00010027838	3	0	58	33
ENSGALG00010027821	759	712	395	75
ENSGALG00010027816	310	188	162	149
ENSGALG00010027813	93	137	93	113
ENSGALG00010027811	588	450	302	291
ENSGALG00010027801	204	117	120	67
ENSGALG00010027784	2091	2630	1688	1600
ENSGALG00010027752	477	304	313	543
ENSGALG00010028442	3112	2107	2529	2472
ENSGALG00010027751	0	0	92	119
ENSGALG00010027747	2	4	0	3
ENSGALG00010027745	3568	2031	2841	2048
ENSGALG00010027743	30	22	7	16
ENSGALG00010027741	3297	2695	2567	2039
ENSGALG00010027740	1489	1519	2627	2179
ENSGALG00010027738	15	19	100	60
ENSGALG00010027727	1505	1034	877	370
ENSGALG00010027725	1057	646	2423	1723
ENSGALG00010027722	8493	6905	3702	2464
ENSGALG00010027721	287	186	354	257
ENSGALG00010027718	406	265	318	235
ENSGALG00010027713	715	518	393	320
ENSGALG00010027712	1072	475	1311	998
ENSGALG00010027709	1824	1398	1442	1031
ENSGALG00010027708	1447	1285	1285	914
ENSGALG00010027706	5418	5659	5810	3659
ENSGALG00010027702	240	124	62	41
ENSGALG00010027701	11	17	10	11
ENSGALG00010027699	325	159	146	74
ENSGALG00010027697	265	0	402	0
ENSGALG00010027695	465	398	971	433
ENSGALG00010027693	5248	2628	2908	2314
ENSGALG00010027692	1266	1259	4472	3730
ENSGALG00010027668	1912	1392	1459	1174
ENSGALG00010027665	686	500	1268	950
ENSGALG00010027653	3	3	3	0
ENSGALG00010027648	1260	744	709	836
ENSGALG00010028154	192	125	121	74
ENSGALG00010027641	279	181	1057	966
ENSGALG00010027639	0	2	2	1
ENSGALG00010027929	1539	1104	1152	942
ENSGALG00010027636	49	18	13	7
ENSGALG00010027634	1261	449	105278	78060
ENSGALG00010027626	36	4	48	31
ENSGALG00010027619	4633	2674	3084	2522
ENSGALG00010027618	788	389	449	465
ENSGALG00010027616	1	0	515	362
ENSGALG00010028157	3282	2490	1414	1363
ENSGALG00010027611	48	32	48	17
ENSGALG00010027605	2600	1626	1868	1797
ENSGALG00010027593	11	5	7	6
ENSGALG00010027592	2894	2275	2656	1732
ENSGALG00010027584	44	16	32	34
ENSGALG00010027578	8243	5831	2357	1726
ENSGALG00010027577	36	23	34	18
ENSGALG00010029459	5	0	181	62
ENSGALG00010027574	2199	1101	1267	1107
ENSGALG00010027570	2513	1796	1578	1007
ENSGALG00010027569	4464	2740	2934	1722
ENSGALG00010027567	353	225	260	237
ENSGALG00010027562	307	164	161	118
ENSGALG00010027561	23	13	53	11
ENSGALG00010027553	13	9	1	2
ENSGALG00010027547	1048	807	629	433
ENSGALG00010029736	33691	35157	44197	34480
ENSGALG00010027540	311	138	97	88
ENSGALG00010027539	127	90	300	216
ENSGALG00010027538	94	57	50	28
ENSGALG00010027537	1389	967	787	589
ENSGALG00010027536	206	191	156	128
ENSGALG00010027529	381	261	265	226
ENSGALG00010027522	885	583	573	505
ENSGALG00010027520	200	72	135	116
ENSGALG00010027516	397	329	3463	3018
ENSGALG00010027511	1045	844	627	501
ENSGALG00010027499	1412	1065	24777	19323
ENSGALG00010027490	6497	3934	2753	1236
ENSGALG00010027479	23	20	21	23
ENSGALG00010027475	1795	1198	1479	820
ENSGALG00010027468	9475	9573	4776	4385
ENSGALG00010027448	1	2	2	1
ENSGALG00010027444	61	50	123	58
ENSGALG00010027440	4779	3795	4575	2531
ENSGALG00010027427	1103	700	523	408
ENSGALG00010027423	320	109	214	167
ENSGALG00010028183	897	1008	402	462
ENSGALG00010027412	87	124	58	85
ENSGALG00010027803	125	120	51	57
ENSGALG00010027402	1101	766	714	633
ENSGALG00010027397	900	784	2360	2121
ENSGALG00010027395	28	23	21	8
ENSGALG00010027394	1691	1109	516	468
ENSGALG00010027387	27	24	48	44
ENSGALG00010027382	35	12	56	6
ENSGALG00010027380	5596	4364	3532	1909
ENSGALG00010027377	10	1	7	3
ENSGALG00010027376	1022	771	606	538
ENSGALG00010027371	61	3	48	1
ENSGALG00010027370	238	264	208	219
ENSGALG00010027369	1638	1373	1757	1707
ENSGALG00010027366	2071	1460	1349	1243
ENSGALG00010027365	1	1	5	11
ENSGALG00010027364	22	12	82	4
ENSGALG00010027898	2135	1378	2396	2369
ENSGALG00010027363	7	3	7	1
ENSGALG00010027362	3085	2581	2746	1889
ENSGALG00010027361	1751	1365	1205	1004
ENSGALG00010027356	2356	1840	1852	1644
