,logFC,logCPM,PValue,QValue
ENSGALG00010023151,3.26327502823318,4.05074376413163,5.72327352729226e-23,4.30036021940192e-21
ENSGALG00010012050,10.2199133250501,1.89383918920043,6.1411325930019e-23,4.58897820136405e-21
ENSGALG00010008275,6.5964619463836,2.14768143649573,6.96748646919434e-23,5.17802273120454e-21
ENSGALG00010013172,2.65855745379424,6.29439791382057,2.40188948313559e-22,1.77530961796979e-20
ENSGALG00010029295,3.86109182109259,5.83442819020151,2.52687640075367e-22,1.85759562433784e-20
ENSGALG00010004065,2.96259554354952,4.68794810843439,3.23440538227887e-22,2.36494156983831e-20
ENSGALG00010023572,2.34451578331697,5.7745216882214,3.33332551237408e-22,2.42423673627206e-20
ENSGALG00010011626,2.71256883202532,4.64645250536444,3.55271007002471e-22,2.57004558257107e-20
ENSGALG00010013183,-2.49962589980315,7.05350328409576,3.65594849010908e-22,2.63073542145416e-20
ENSGALG00010012090,2.49526171845789,6.75079067763926,4.26075006439589e-22,3.0498000460939e-20
ENSGALG00010010505,3.15839749937005,6.18259849589,4.78401223274102e-22,3.40641708718732e-20
ENSGALG00010010153,2.46829009939962,6.51288576791907,5.20309339410285e-22,3.68552448748952e-20
ENSGALG00010004987,2.67042707615901,5.23627252123947,5.37850536101152e-22,3.7900348657905e-20
ENSGALG00010005459,2.80257100278639,5.77069423700315,5.5050773949234e-22,3.85922951396692e-20
ENSGALG00010007391,2.86162854140675,7.51372181373937,6.9125099130616e-22,4.82103255475066e-20
ENSGALG00010008232,-4.36436767842007,3.97344811780277,9.28066403067535e-22,6.4396444294482e-20
ENSGALG00010024254,2.49591907663373,6.14505137183777,9.40233608015698e-22,6.49095282691041e-20
ENSGALG00010012702,5.9389239199208,2.4646049268914,1.05298996553169e-21,7.23265834910657e-20
ENSGALG00010015306,-2.42148989591012,5.78549920466202,1.55844302211331e-21,1.06506658797694e-19
ENSGALG00010021601,2.3792232908911,6.26467310639569,1.57326189813371e-21,1.06981809073092e-19
ENSGALG00010000167,10.2916978241124,1.96916423000725,1.80869528566758e-21,1.22379382512831e-19
ENSGALG00010023453,-2.91861301661998,4.16631432917175,1.90369597908856e-21,1.2816963027527e-19
ENSGALG00010017796,2.44188552069587,6.17703059265783,2.30416312792605e-21,1.54367579013765e-19
ENSGALG00010001307,-2.30738698214958,5.75622134492322,2.55580340743715e-21,1.70386893829144e-19
ENSGALG00010021709,10.3318362025924,2.00936714351195,2.87350296042723e-21,1.89706991562186e-19
ENSGALG00010001632,3.98144642186939,3.37439689050345,2.86520186151346e-21,1.89706991562186e-19
ENSGALG00010008187,2.7902119671994,7.39146442682272,3.22384288185432e-21,2.11808034749849e-19
ENSGALG00010010924,3.98233120064374,3.12135105958382,3.3551454488154e-21,2.19374894730238e-19
ENSGALG00010004420,2.58245471979277,5.97687304402482,4.40645550275658e-21,2.86735860466457e-19
ENSGALG00010002972,-3.50411521177776,3.51587834690532,4.6866992459203e-21,3.03519570211981e-19
ENSGALG00010027076,-3.33047765662705,5.03036794132025,4.75408225083965e-21,3.06424258821892e-19
ENSGALG00010005360,2.7714131003847,4.85174584037094,5.0471537084335e-21,3.23779671861772e-19
ENSGALG00010024658,7.25597912890068,5.05167320539335,5.24211598207936e-21,3.3470787491211e-19
ENSGALG00010028039,-2.51409004760844,10.3244935360691,5.37390823654184e-21,3.41519401948454e-19
ENSGALG00010028743,2.3674518313945,6.31734595253629,1.00987140258396e-20,6.38802375587994e-19
ENSGALG00010003453,6.35546047415587,1.90950471681509,1.26573422478735e-20,7.96943771162406e-19
ENSGALG00010010227,10.0828384383443,1.76123695608557,1.27166308804298e-20,7.96987004487766e-19
ENSGALG00010029552,5.22461577358484,8.011875495569,1.38353172172137e-20,8.59469068730798e-19
ENSGALG00010029496,-2.40130136702278,6.56602237554027,1.3839979856768e-20,8.59469068730798e-19
ENSGALG00010024424,3.39991736816178,7.23630228753289,1.45321483358061e-20,8.98350988031649e-19
ENSGALG00010008058,2.47191977389968,7.34697242457128,1.52174313547965e-20,9.36457314141321e-19
ENSGALG00010017380,5.18483269808324,7.18013023748377,1.5918612195256e-20,9.75194260610279e-19
ENSGALG00010006245,2.64064571838356,8.02157953466716,1.62898303655508e-20,9.93460506598616e-19
ENSGALG00010024542,2.84471179554629,9.99783198502372,2.39214134946177e-20,1.45237153360179e-18
ENSGALG00010019376,4.15679558257359,6.54340807523701,2.57728208680042e-20,1.5578238391327e-18
ENSGALG00010008265,2.55912212915733,5.31268008043436,2.75749015841818e-20,1.65937460860563e-18
ENSGALG00010020770,4.58908392729779,2.62515426625529,3.04232979923163e-20,1.82271741275552e-18
ENSGALG00010027641,2.47330912490779,5.03479353777117,3.48148346883906e-20,2.07667434983383e-18
ENSGALG00010003159,2.43837790056548,8.42399975001828,3.55540901540395e-20,2.11150928425737e-18
ENSGALG00010021602,-3.51055459525069,4.32945153966898,3.71560295574867e-20,2.19705218252965e-18
ENSGALG00010028372,-2.99227914562212,5.53808162596955,3.86497983702733e-20,2.27548596465679e-18
ENSGALG00010018843,-4.15398468778334,2.98089533254973,5.18416223664427e-20,3.03899165596388e-18
ENSGALG00010013509,-2.42057830118237,6.09044359146329,6.61982237341517e-20,3.86393065572731e-18
ENSGALG00010022219,2.33364841082658,5.60593662073539,1.01813733750461e-19,5.9173793974627e-18
ENSGALG00010011077,3.22126306926672,8.09680217567354,2.97691040899477e-19,1.72280772605655e-17
ENSGALG00010014537,2.58806743891512,4.33427609339175,3.18181843444955e-19,1.83359028425906e-17
ENSGALG00010007893,3.11372164379631,4.34196263683119,3.24488766246892e-19,1.86204524091043e-17
ENSGALG00010002380,3.11112595714651,9.14510514760053,3.26810832264708e-19,1.86749047008404e-17
ENSGALG00010013573,6.83406657125323,2.00590454796781,3.67398880546298e-19,2.09063798135132e-17
ENSGALG00010020695,5.09500068200912,2.47485851848802,3.72213210229724e-19,2.10920819130177e-17
ENSGALG00010029197,5.75796957244154,1.8823518084851,5.18384805377448e-19,2.9253250427939e-17
ENSGALG00010013125,5.89199215473841,1.81844450494853,5.62478951691205e-19,3.16103873677702e-17
ENSGALG00010024761,2.76875731795842,4.25575514159696,6.76205773321069e-19,3.78452613875166e-17
ENSGALG00010012511,-2.54910347092462,5.62093012459718,1.00498582149715e-18,5.6015603165415e-17
ENSGALG00010013015,2.25154008129988,5.64229477315809,1.04948023271239e-18,5.82568618975043e-17
ENSGALG00010008229,-4.10441339590679,3.04618574589564,1.12106240950037e-18,6.19774340211588e-17
ENSGALG00010015954,-2.32326800168268,9.94555491912923,1.47479086791739e-18,8.12030599339131e-17
ENSGALG00010022150,2.30782194423796,5.26985946340876,1.51423539160489e-18,8.30387150234939e-17
ENSGALG00010016274,2.1896210074522,5.80569100850203,2.01053879457767e-18,1.09812560667696e-16
ENSGALG00010019346,4.22632159320445,2.57573105569204,3.28522065061017e-18,1.78716003393193e-16
ENSGALG00010013678,2.25677734502746,7.44797185460671,3.48892820496324e-18,1.89041528237052e-16
ENSGALG00010028488,6.75713434358112,1.44696056338664,3.60848595229089e-18,1.94743686314112e-16
ENSGALG00010009578,2.39900167157112,5.84399373773478,3.65586263515787e-18,1.96520679202162e-16
ENSGALG00010021390,-2.25163129747014,7.76753354952422,4.03495711058522e-18,2.16044947653382e-16
ENSGALG00010010663,-2.14823312135132,6.43479355598221,4.16962897015511e-18,2.22380211741606e-16
ENSGALG00010028458,2.27204477634144,7.35913893202615,4.2172395439322e-18,2.24040850771398e-16
ENSGALG00010010915,-2.31745711738408,7.25334508116967,5.00287611753674e-18,2.63717500769378e-16
ENSGALG00010011461,2.24779159319503,5.21110254102628,4.9973441857804e-18,2.63717500769378e-16
ENSGALG00010000729,5.61421386384393,1.74158699213666,5.23527482721558e-18,2.74902461969621e-16
ENSGALG00010022860,2.16429697739669,6.00474323567074,5.39284430931013e-18,2.82087240794684e-16
ENSGALG00010027789,-2.43990374377681,5.07664041506143,7.66338141907638e-18,3.99317959001681e-16
ENSGALG00010023601,-2.53434000406596,4.45220670295458,8.28197514336725e-18,4.29904053243491e-16
ENSGALG00010000791,6.28923630556291,6.37803094156641,1.08170094017131e-17,5.59358661077178e-16
ENSGALG00010002768,2.82139992532251,5.34798725839474,1.26333311473308e-17,6.5080796819583e-16
ENSGALG00010004577,5.71925312143262,2.07095805207955,1.36267820068692e-17,6.99336736956308e-16
ENSGALG00010029158,2.17397073624442,6.04950805629168,1.49452966213017e-17,7.64120428758283e-16
ENSGALG00010005278,2.46635812014732,6.9337073774562,1.78997127335392e-17,9.11745667326342e-16
ENSGALG00010016480,-2.59642196419112,6.9993544008622,2.24984282229091e-17,1.1417112829536e-15
ENSGALG00010001507,2.92025407705907,4.36468477142176,2.56728832485199e-17,1.29795989657944e-15
ENSGALG00010011001,4.25228235567509,4.02722198588325,2.9470676655832e-17,1.48444889821969e-15
ENSGALG00010027374,2.65906367590233,7.87388013505564,3.09782281122396e-17,1.55462694585409e-15
ENSGALG00010012148,2.67349093099101,4.30501053032632,3.12838074068393e-17,1.56419037034197e-15
ENSGALG00010022453,2.29568609500407,6.9221332870161,3.24120834471995e-17,1.61466789334034e-15
ENSGALG00010019996,-2.3068664312956,7.47850664849991,3.25411892863583e-17,1.61518311786304e-15
ENSGALG00010018460,4.66141056067465,6.2056473160799,3.32409039043669e-17,1.64391379308869e-15
ENSGALG00010027173,-2.15920712753976,7.62779927996403,3.95032411655571e-17,1.94653652120136e-15
ENSGALG00010016449,2.58804071767319,7.37540484199615,4.35911550368931e-17,2.14021555415793e-15
ENSGALG00010021552,3.20791881767777,3.27228741005582,4.79101954525375e-17,2.34380812285795e-15
ENSGALG00010013082,3.11627909183749,5.10498317364631,4.84760240439932e-17,2.36298898565701e-15
ENSGALG00010001320,-3.74172623018548,2.80248744739494,5.11932709875819e-17,2.48653030511112e-15
ENSGALG00010027214,-2.06932898753658,5.61261265422147,5.73895367226284e-17,2.77757188408451e-15
ENSGALG00010016651,-3.03682894898446,4.41123961331149,5.95974147015029e-17,2.87420156007248e-15
ENSGALG00010025753,-2.35081821810021,4.7913587002133,6.54166580914805e-17,3.14369805669305e-15
ENSGALG00010003634,-2.67023681718092,4.84074797762746,6.60294843815281e-17,3.1619753084112e-15
ENSGALG00010010980,2.61576679601912,5.84199168531558,6.72208503743357e-17,3.20773180733672e-15
ENSGALG00010012904,2.55815647652406,5.61006139199593,7.98589349392232e-17,3.79748781529173e-15
ENSGALG00010013664,2.06044902242799,6.70947117367756,9.73173497261659e-17,4.61155385461971e-15
ENSGALG00010017513,2.51608149245041,5.28190073310064,1.00898996420142e-16,4.76467483095113e-15
ENSGALG00010007658,2.51874124527971,10.7244047053322,1.12504264814024e-16,5.29431834418935e-15
ENSGALG00010010871,-4.53999760718472,3.12930757988374,1.16178405042213e-16,5.44836658129e-15
ENSGALG00010006715,2.18558739776414,8.34813840798729,1.17339193187529e-16,5.48389356477798e-15
ENSGALG00010005554,-2.11319207272472,5.2450784071518,1.40699085228134e-16,6.55310807911858e-15
ENSGALG00010028884,2.29738732672849,5.59502668137296,1.60805990501747e-16,7.46403232363058e-15
ENSGALG00010026334,2.28411619182323,8.46983472008684,1.7103636671062e-16,7.91188635123957e-15
ENSGALG00010005467,-2.37328738480515,5.29549170715072,1.79813445985196e-16,8.28970462847004e-15
ENSGALG00010008227,3.11636313009993,4.4653122215975,2.19630316333518e-16,1.00911226423508e-14
ENSGALG00010018323,-2.00897280897664,5.4832849161384,2.60251316757357e-16,1.19172320131315e-14
ENSGALG00010027578,-2.16199869779916,7.56229858567127,2.61656761969886e-16,1.19413824254713e-14
ENSGALG00010001499,2.18797049921876,7.00594234809307,2.65423018683758e-16,1.20727526892947e-14
ENSGALG00010011450,2.04773238247026,6.19194700297768,2.98327557193661e-16,1.35241825927793e-14
ENSGALG00010028198,-2.09114679553476,7.08994597709026,3.3794713644075e-16,1.52693722777216e-14
ENSGALG00010021556,-3.06519860803177,3.48876015872945,3.41275594293582e-16,1.53687022595785e-14
